StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Solar Industries India Limited,SOLARINDS,2024-03-28,9080.95,9080.95,8668.4,8781.75,8890.75,275152
Solar Industries India Limited,SOLARINDS,2024-03-27,9305.95,9349.95,8781.95,8890.75,9300.95,250547
Solar Industries India Limited,SOLARINDS,2024-03-26,9300.0,9449.0,9200.0,9300.95,9322.0,316702
Solar Industries India Limited,SOLARINDS,2024-03-22,8860.0,9418.95,8798.8,9322.0,8898.75,482996
Solar Industries India Limited,SOLARINDS,2024-03-21,8670.0,8969.0,8562.0,8898.75,8504.35,306195
Solar Industries India Limited,SOLARINDS,2024-03-20,8780.0,8845.05,8401.0,8504.35,8607.1,247307
Solar Industries India Limited,SOLARINDS,2024-03-19,8679.0,8924.85,8505.05,8607.1,8544.15,540528
Solar Industries India Limited,SOLARINDS,2024-03-18,8900.05,9290.0,8460.0,8544.15,8855.5,565419
Solar Industries India Limited,SOLARINDS,2024-03-15,8270.0,8989.0,8103.4,8855.5,8144.85,769363
Solar Industries India Limited,SOLARINDS,2024-03-14,7346.25,8369.95,7300.1,8144.85,7346.25,404594
Solar Industries India Limited,SOLARINDS,2024-03-13,7738.35,7995.0,7255.55,7346.25,7664.3,404359
Solar Industries India Limited,SOLARINDS,2024-03-12,7790.6,8020.0,7476.0,7664.3,7731.4,378825
Solar Industries India Limited,SOLARINDS,2024-03-11,7564.0,8086.0,7550.15,7731.4,7513.1,528731
Solar Industries India Limited,SOLARINDS,2024-03-07,7218.3,7595.1,7141.0,7513.1,7218.3,227768
Solar Industries India Limited,SOLARINDS,2024-03-06,7760.15,7783.75,6975.0,7218.3,7760.15,505717
Solar Industries India Limited,SOLARINDS,2024-03-05,7349.0,7820.0,7221.1,7760.15,7288.4,533030
Solar Industries India Limited,SOLARINDS,2024-03-04,6923.05,7399.9,6855.25,7288.4,6847.35,414758
Solar Industries India Limited,SOLARINDS,2024-03-02,6932.9,6932.9,6814.2,6847.35,6877.65,3434
Solar Industries India Limited,SOLARINDS,2024-03-01,6824.75,6928.45,6751.0,6877.65,6730.25,49454
Solar Industries India Limited,SOLARINDS,2024-02-29,6824.95,6860.55,6701.0,6730.25,6773.35,51176
Solar Industries India Limited,SOLARINDS,2024-02-28,6878.0,6934.95,6751.0,6773.35,6850.25,25669
Solar Industries India Limited,SOLARINDS,2024-02-27,6864.4,6887.2,6775.95,6850.25,6811.3,30713
Solar Industries India Limited,SOLARINDS,2024-02-26,6920.0,6969.0,6801.0,6811.3,6872.45,44813
Solar Industries India Limited,SOLARINDS,2024-02-23,6885.5,6920.0,6832.0,6872.45,6830.85,48994
Solar Industries India Limited,SOLARINDS,2024-02-22,6721.05,6878.0,6705.0,6830.85,6687.9,106298
Solar Industries India Limited,SOLARINDS,2024-02-21,6669.8,6747.9,6623.0,6687.9,6593.75,56329
Solar Industries India Limited,SOLARINDS,2024-02-20,6652.75,6708.85,6551.0,6593.75,6626.2,67597
Solar Industries India Limited,SOLARINDS,2024-02-19,6789.8,6821.0,6601.1,6626.2,6690.6,55827
Solar Industries India Limited,SOLARINDS,2024-02-16,6832.9,6854.95,6617.0,6690.6,6765.8,88202
Solar Industries India Limited,SOLARINDS,2024-02-15,7097.8,7097.85,6731.0,6765.8,7020.1,104756
Solar Industries India Limited,SOLARINDS,2024-02-14,6926.75,7148.0,6900.0,7020.1,6926.0,159850
Solar Industries India Limited,SOLARINDS,2024-02-13,6774.0,7038.75,6751.0,6926.0,6798.0,182210
Solar Industries India Limited,SOLARINDS,2024-02-12,6894.95,6990.0,6776.0,6798.0,6890.7,50197
Solar Industries India Limited,SOLARINDS,2024-02-09,6908.45,6937.1,6812.45,6890.7,6910.55,50897
Solar Industries India Limited,SOLARINDS,2024-02-08,6906.95,6997.8,6851.0,6910.55,6908.45,63237
Solar Industries India Limited,SOLARINDS,2024-02-07,6810.0,6925.0,6701.0,6908.45,6731.25,143280
Solar Industries India Limited,SOLARINDS,2024-02-06,6690.0,6770.0,6625.25,6731.25,6631.4,58331
Solar Industries India Limited,SOLARINDS,2024-02-05,6490.0,6667.5,6416.0,6631.4,6450.55,89344
Solar Industries India Limited,SOLARINDS,2024-02-02,6350.0,6465.85,6275.0,6450.55,6341.9,91210
Solar Industries India Limited,SOLARINDS,2024-02-01,6509.2,6509.2,6320.95,6341.9,6457.35,94117
Solar Industries India Limited,SOLARINDS,2024-01-31,6350.0,6490.05,6330.0,6457.35,6355.5,76568
Solar Industries India Limited,SOLARINDS,2024-01-30,6450.0,6531.5,6350.0,6355.5,6442.2,97648
Solar Industries India Limited,SOLARINDS,2024-01-29,6572.4,6608.0,6412.0,6442.2,6508.15,58998
Solar Industries India Limited,SOLARINDS,2024-01-25,6697.6,6697.6,6454.65,6508.15,6624.0,161021
Solar Industries India Limited,SOLARINDS,2024-01-24,6847.25,6888.0,6605.0,6624.0,6843.55,111534
Solar Industries India Limited,SOLARINDS,2024-01-23,7000.0,7050.0,6790.8,6843.55,6930.8,111155
Solar Industries India Limited,SOLARINDS,2024-01-20,6920.0,7018.85,6904.45,6930.8,6938.0,15571
Solar Industries India Limited,SOLARINDS,2024-01-19,6967.75,6989.75,6901.0,6938.0,6913.8,68551
Solar Industries India Limited,SOLARINDS,2024-01-18,6776.95,6945.95,6675.25,6913.8,6777.05,121064
Solar Industries India Limited,SOLARINDS,2024-01-17,6920.0,6938.0,6727.6,6777.05,6963.35,147890
Solar Industries India Limited,SOLARINDS,2024-01-16,7195.0,7213.45,6941.95,6963.35,7149.55,109845
Solar Industries India Limited,SOLARINDS,2024-01-15,7320.0,7320.0,7085.7,7149.55,7309.5,102848
Solar Industries India Limited,SOLARINDS,2024-01-12,7390.0,7390.0,7220.0,7309.5,7347.05,120681
Solar Industries India Limited,SOLARINDS,2024-01-11,6925.0,7366.9,6844.05,7347.05,6875.75,363134
Solar Industries India Limited,SOLARINDS,2024-01-10,6869.0,6922.0,6745.45,6875.75,6821.1,83806
Solar Industries India Limited,SOLARINDS,2024-01-09,6689.0,6848.6,6643.65,6821.1,6622.1,142430
Solar Industries India Limited,SOLARINDS,2024-01-08,6696.05,6838.0,6580.0,6622.1,6703.5,139096
Solar Industries India Limited,SOLARINDS,2024-01-05,6787.75,6820.0,6664.1,6703.5,6733.7,69701
Solar Industries India Limited,SOLARINDS,2024-01-04,6750.0,6810.0,6680.0,6733.7,6707.8,92613
Solar Industries India Limited,SOLARINDS,2024-01-03,6728.45,6765.0,6590.0,6707.8,6678.85,200360
Solar Industries India Limited,SOLARINDS,2024-01-02,6817.0,6866.75,6603.0,6678.85,6778.05,73311
Solar Industries India Limited,SOLARINDS,2024-01-01,6781.35,6812.95,6728.95,6778.05,6727.5,40189
Solar Industries India Limited,SOLARINDS,2023-12-29,6790.0,6790.0,6674.05,6727.5,6797.9,50371
Solar Industries India Limited,SOLARINDS,2023-12-28,6800.0,6880.0,6768.0,6797.9,6755.2,70291
Solar Industries India Limited,SOLARINDS,2023-12-27,6853.45,6865.75,6700.6,6755.2,6793.15,51537
Solar Industries India Limited,SOLARINDS,2023-12-26,6600.9,6825.0,6596.65,6793.15,6594.9,83150
Solar Industries India Limited,SOLARINDS,2023-12-22,6654.55,6720.15,6539.95,6594.9,6559.25,69091
Solar Industries India Limited,SOLARINDS,2023-12-21,6430.0,6638.95,6311.1,6559.25,6512.35,101276
Solar Industries India Limited,SOLARINDS,2023-12-20,6769.0,6801.25,6400.0,6512.35,6761.9,114621
Solar Industries India Limited,SOLARINDS,2023-12-19,6861.8,6866.35,6682.05,6761.9,6861.8,80665
Solar Industries India Limited,SOLARINDS,2023-12-18,6349.95,6939.75,6150.0,6861.8,6884.9,454436
Solar Industries India Limited,SOLARINDS,2023-12-15,6839.0,6930.0,6770.0,6884.9,6796.8,124726
Solar Industries India Limited,SOLARINDS,2023-12-14,6725.0,6880.0,6650.0,6796.8,6490.7,192257
Solar Industries India Limited,SOLARINDS,2023-12-13,6580.0,6605.15,6452.7,6490.7,6529.1,42855
Solar Industries India Limited,SOLARINDS,2023-12-12,6650.0,6739.0,6450.0,6529.1,6605.2,72697
Solar Industries India Limited,SOLARINDS,2023-12-11,6349.25,6650.0,6221.0,6605.2,6298.55,87251
Solar Industries India Limited,SOLARINDS,2023-12-08,6345.0,6346.0,6251.0,6298.55,6294.2,72026
Solar Industries India Limited,SOLARINDS,2023-12-07,6273.9,6350.0,6221.0,6294.2,6273.9,68352
Solar Industries India Limited,SOLARINDS,2023-12-06,5999.45,6400.0,5999.45,6273.9,5937.65,199165
Solar Industries India Limited,SOLARINDS,2023-12-05,6035.0,6095.0,5909.35,5937.65,6033.1,144363
Solar Industries India Limited,SOLARINDS,2023-12-04,6310.2,6310.2,6000.0,6033.1,6188.75,174187
Solar Industries India Limited,SOLARINDS,2023-12-01,6235.05,6270.8,6125.0,6188.75,6288.9,146972
Solar Industries India Limited,SOLARINDS,2023-11-30,6554.95,6592.65,6079.0,6288.9,6536.35,930123
Solar Industries India Limited,SOLARINDS,2023-11-29,6700.1,6720.0,6491.4,6536.35,6666.95,86331
Solar Industries India Limited,SOLARINDS,2023-11-28,6838.45,6838.45,6640.0,6666.95,6786.4,80274
Solar Industries India Limited,SOLARINDS,2023-11-24,6764.0,6850.0,6661.0,6786.4,6746.35,112024
Solar Industries India Limited,SOLARINDS,2023-11-23,6650.0,6925.0,6520.1,6746.35,6649.25,109601
Solar Industries India Limited,SOLARINDS,2023-11-22,7000.0,7046.05,6565.7,6649.25,6944.1,110689
Solar Industries India Limited,SOLARINDS,2023-11-21,7100.0,7198.85,6861.75,6944.1,6956.5,160148
