StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Sonata Software Limited,SONATSOFTW,2024-03-28,750.0,750.1,720.0,722.35,743.2,443175
Sonata Software Limited,SONATSOFTW,2024-03-27,751.5,752.0,736.3,743.2,747.6,195954
Sonata Software Limited,SONATSOFTW,2024-03-26,738.0,750.4,729.1,747.6,742.55,335336
Sonata Software Limited,SONATSOFTW,2024-03-22,742.0,755.15,731.05,742.55,749.05,953407
Sonata Software Limited,SONATSOFTW,2024-03-21,730.0,763.0,722.0,749.05,728.65,774076
Sonata Software Limited,SONATSOFTW,2024-03-20,753.1,756.0,725.0,728.65,750.1,998435
Sonata Software Limited,SONATSOFTW,2024-03-19,750.4,753.9,733.65,750.1,745.45,291232
Sonata Software Limited,SONATSOFTW,2024-03-18,731.5,749.1,723.35,745.45,731.5,351460
Sonata Software Limited,SONATSOFTW,2024-03-15,728.0,747.4,718.25,731.5,728.0,528367
Sonata Software Limited,SONATSOFTW,2024-03-14,737.0,741.2,704.05,728.0,740.3,964087
Sonata Software Limited,SONATSOFTW,2024-03-13,754.2,757.7,705.95,740.3,754.2,937981
Sonata Software Limited,SONATSOFTW,2024-03-12,777.7,782.45,743.6,754.2,782.85,585798
Sonata Software Limited,SONATSOFTW,2024-03-11,793.0,793.45,765.0,782.85,789.05,277164
Sonata Software Limited,SONATSOFTW,2024-03-07,812.4,816.95,785.0,789.05,805.1,507791
Sonata Software Limited,SONATSOFTW,2024-03-06,825.0,825.0,774.95,805.1,822.7,660313
Sonata Software Limited,SONATSOFTW,2024-03-05,811.0,834.8,803.2,822.7,816.85,430078
Sonata Software Limited,SONATSOFTW,2024-03-04,822.6,826.15,797.85,816.85,822.15,408787
Sonata Software Limited,SONATSOFTW,2024-03-02,824.8,840.0,820.35,822.15,817.3,21092
Sonata Software Limited,SONATSOFTW,2024-03-01,815.0,825.0,806.55,817.3,810.95,379858
Sonata Software Limited,SONATSOFTW,2024-02-29,840.0,840.8,793.15,810.95,840.8,1030469
Sonata Software Limited,SONATSOFTW,2024-02-28,860.2,864.95,826.7,840.8,857.65,359864
Sonata Software Limited,SONATSOFTW,2024-02-27,854.15,870.0,837.45,857.65,847.5,434501
Sonata Software Limited,SONATSOFTW,2024-02-26,839.35,852.0,818.7,847.5,839.35,338114
Sonata Software Limited,SONATSOFTW,2024-02-23,846.9,846.9,831.55,839.35,844.2,178701
Sonata Software Limited,SONATSOFTW,2024-02-22,833.85,852.55,826.0,844.2,833.45,407885
Sonata Software Limited,SONATSOFTW,2024-02-21,821.15,859.9,821.15,833.45,821.15,785562
Sonata Software Limited,SONATSOFTW,2024-02-20,850.0,865.65,815.0,821.15,842.2,735116
Sonata Software Limited,SONATSOFTW,2024-02-19,802.0,848.0,801.45,842.2,797.45,1176036
Sonata Software Limited,SONATSOFTW,2024-02-16,815.2,820.75,786.0,797.45,812.7,331847
Sonata Software Limited,SONATSOFTW,2024-02-15,782.95,827.0,780.0,812.7,777.2,551870
Sonata Software Limited,SONATSOFTW,2024-02-14,781.0,788.65,762.75,777.2,780.65,213471
Sonata Software Limited,SONATSOFTW,2024-02-13,786.5,786.5,745.3,780.65,783.8,546438
Sonata Software Limited,SONATSOFTW,2024-02-12,797.55,808.7,775.1,783.8,796.7,243205
Sonata Software Limited,SONATSOFTW,2024-02-09,802.45,814.0,777.5,796.7,798.25,267815
Sonata Software Limited,SONATSOFTW,2024-02-08,806.55,810.05,787.7,798.25,805.3,429345
Sonata Software Limited,SONATSOFTW,2024-02-07,830.0,830.7,802.15,805.3,823.25,392437
Sonata Software Limited,SONATSOFTW,2024-02-06,825.0,838.1,813.45,823.25,808.25,969433
Sonata Software Limited,SONATSOFTW,2024-02-05,768.4,815.0,762.15,808.25,768.4,2233078
Sonata Software Limited,SONATSOFTW,2024-02-02,744.95,774.0,710.5,768.4,764.65,750592
Sonata Software Limited,SONATSOFTW,2024-02-01,769.9,778.0,752.9,764.65,768.0,398384
Sonata Software Limited,SONATSOFTW,2024-01-31,736.85,770.0,735.5,768.0,734.6,725180
Sonata Software Limited,SONATSOFTW,2024-01-30,742.5,751.6,730.4,734.6,740.35,259382
Sonata Software Limited,SONATSOFTW,2024-01-29,748.45,754.1,733.5,740.35,748.5,295146
Sonata Software Limited,SONATSOFTW,2024-01-25,754.25,757.75,738.55,748.5,754.25,249950
Sonata Software Limited,SONATSOFTW,2024-01-24,736.0,759.85,718.5,754.25,739.55,580239
Sonata Software Limited,SONATSOFTW,2024-01-23,762.0,766.45,734.15,739.55,760.95,449923
Sonata Software Limited,SONATSOFTW,2024-01-20,776.0,776.0,758.0,760.95,770.2,181015
