StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Sterlite Technologies Limited,STLTECH,2024-03-28,112.0,115.4,110.25,110.8,110.8,2814745
Sterlite Technologies Limited,STLTECH,2024-03-27,113.75,115.55,110.1,110.8,113.05,4224542
Sterlite Technologies Limited,STLTECH,2024-03-26,117.6,118.45,112.3,113.05,117.8,4187970
Sterlite Technologies Limited,STLTECH,2024-03-22,117.35,119.45,117.35,117.8,117.5,1475682
Sterlite Technologies Limited,STLTECH,2024-03-21,119.0,119.95,116.5,117.5,116.75,2133082
Sterlite Technologies Limited,STLTECH,2024-03-20,119.45,121.25,115.8,116.75,119.05,1925895
Sterlite Technologies Limited,STLTECH,2024-03-19,120.9,121.95,118.6,119.05,120.9,1293181
Sterlite Technologies Limited,STLTECH,2024-03-18,122.75,124.8,120.1,120.9,122.75,858141
Sterlite Technologies Limited,STLTECH,2024-03-15,122.75,124.7,119.0,122.75,121.0,1349086
Sterlite Technologies Limited,STLTECH,2024-03-14,116.5,123.95,115.75,121.0,116.8,1454119
Sterlite Technologies Limited,STLTECH,2024-03-13,126.95,128.4,115.65,116.8,126.5,2581993
Sterlite Technologies Limited,STLTECH,2024-03-12,130.0,131.25,126.0,126.5,128.6,1683972
Sterlite Technologies Limited,STLTECH,2024-03-11,134.2,134.25,126.0,128.6,133.2,1276175
Sterlite Technologies Limited,STLTECH,2024-03-07,132.6,134.9,132.55,133.2,132.15,729807
Sterlite Technologies Limited,STLTECH,2024-03-06,135.0,135.8,131.7,132.15,134.55,1164777
Sterlite Technologies Limited,STLTECH,2024-03-05,136.95,138.25,134.2,134.55,136.9,1227264
Sterlite Technologies Limited,STLTECH,2024-03-04,140.2,142.0,136.4,136.9,140.1,1199072
Sterlite Technologies Limited,STLTECH,2024-03-02,140.35,141.4,139.8,140.1,140.35,138727
Sterlite Technologies Limited,STLTECH,2024-03-01,137.9,142.5,136.8,140.35,136.9,1606130
Sterlite Technologies Limited,STLTECH,2024-02-29,137.5,138.4,135.15,136.9,137.35,1035500
