StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Sundram Fasteners Limited,SUNDRMFAST,2024-03-28,1063.75,1108.85,1042.95,1093.6,1062.25,129494
Sundram Fasteners Limited,SUNDRMFAST,2024-03-27,1040.0,1069.95,1028.3,1062.25,1040.1,99211
Sundram Fasteners Limited,SUNDRMFAST,2024-03-26,1038.05,1046.4,1032.05,1040.1,1039.55,56117
Sundram Fasteners Limited,SUNDRMFAST,2024-03-22,1026.0,1047.9,1022.25,1039.55,1025.9,74105
Sundram Fasteners Limited,SUNDRMFAST,2024-03-21,1018.0,1030.15,1017.2,1025.9,1015.85,121847
Sundram Fasteners Limited,SUNDRMFAST,2024-03-20,1030.0,1033.7,1009.2,1015.85,1032.4,67920
Sundram Fasteners Limited,SUNDRMFAST,2024-03-19,1022.75,1036.95,1020.5,1032.4,1022.05,115030
Sundram Fasteners Limited,SUNDRMFAST,2024-03-18,1018.0,1072.0,1013.55,1022.05,1017.85,64174
Sundram Fasteners Limited,SUNDRMFAST,2024-03-15,1040.0,1059.45,1003.05,1017.85,1033.25,246629
Sundram Fasteners Limited,SUNDRMFAST,2024-03-14,1034.9,1048.0,1016.85,1033.25,1027.8,201997
Sundram Fasteners Limited,SUNDRMFAST,2024-03-13,1052.0,1054.4,1016.0,1027.8,1060.7,114651
Sundram Fasteners Limited,SUNDRMFAST,2024-03-12,1058.0,1072.0,1032.6,1060.7,1062.1,66175
Sundram Fasteners Limited,SUNDRMFAST,2024-03-11,1039.0,1067.3,1005.3,1062.1,1037.95,147592
Sundram Fasteners Limited,SUNDRMFAST,2024-03-07,1038.0,1055.0,1026.1,1037.95,1037.2,192681
Sundram Fasteners Limited,SUNDRMFAST,2024-03-06,1035.0,1045.75,1015.1,1037.2,1033.4,104345
Sundram Fasteners Limited,SUNDRMFAST,2024-03-05,1062.0,1068.2,1021.0,1033.4,1062.65,162281
Sundram Fasteners Limited,SUNDRMFAST,2024-03-04,1096.0,1098.35,1058.05,1062.65,1093.3,51326
Sundram Fasteners Limited,SUNDRMFAST,2024-03-02,1103.65,1103.65,1090.0,1093.3,1097.05,1898
Sundram Fasteners Limited,SUNDRMFAST,2024-03-01,1074.0,1100.0,1066.7,1097.05,1070.5,49243
Sundram Fasteners Limited,SUNDRMFAST,2024-02-29,1072.95,1082.2,1051.4,1070.5,1072.95,154514
Sundram Fasteners Limited,SUNDRMFAST,2024-02-28,1096.2,1098.95,1060.1,1072.95,1098.6,53464
Sundram Fasteners Limited,SUNDRMFAST,2024-02-27,1096.75,1120.8,1064.6,1098.6,1096.4,63499
Sundram Fasteners Limited,SUNDRMFAST,2024-02-26,1098.8,1124.7,1061.0,1096.4,1099.5,77796
Sundram Fasteners Limited,SUNDRMFAST,2024-02-23,1104.55,1114.4,1089.5,1099.5,1109.05,88321
Sundram Fasteners Limited,SUNDRMFAST,2024-02-22,1115.0,1117.75,1101.0,1109.05,1111.0,31513
Sundram Fasteners Limited,SUNDRMFAST,2024-02-21,1096.1,1122.0,1093.15,1111.0,1093.1,42727
Sundram Fasteners Limited,SUNDRMFAST,2024-02-20,1102.0,1107.55,1088.0,1093.1,1102.95,26850
Sundram Fasteners Limited,SUNDRMFAST,2024-02-19,1103.45,1119.95,1087.55,1102.95,1100.6,56679
Sundram Fasteners Limited,SUNDRMFAST,2024-02-16,1096.0,1105.0,1075.15,1100.6,1089.6,122451
Sundram Fasteners Limited,SUNDRMFAST,2024-02-15,1093.1,1105.0,1035.0,1089.6,1094.45,155123
Sundram Fasteners Limited,SUNDRMFAST,2024-02-14,1085.0,1119.0,1069.6,1094.45,1090.8,130498
Sundram Fasteners Limited,SUNDRMFAST,2024-02-13,1087.0,1100.0,1049.65,1090.8,1086.2,196991
Sundram Fasteners Limited,SUNDRMFAST,2024-02-12,1134.5,1139.5,1071.55,1086.2,1128.6,187300
Sundram Fasteners Limited,SUNDRMFAST,2024-02-09,1189.65,1194.55,1124.2,1128.6,1189.25,292992
Sundram Fasteners Limited,SUNDRMFAST,2024-02-08,1230.0,1231.0,1184.8,1189.25,1225.9,100600
Sundram Fasteners Limited,SUNDRMFAST,2024-02-07,1249.1,1256.8,1211.15,1225.9,1249.1,215685
Sundram Fasteners Limited,SUNDRMFAST,2024-02-06,1192.2,1286.5,1162.45,1249.1,1192.2,374336
Sundram Fasteners Limited,SUNDRMFAST,2024-02-05,1220.0,1234.1,1179.0,1192.2,1228.1,74293
Sundram Fasteners Limited,SUNDRMFAST,2024-02-02,1232.1,1238.0,1217.0,1228.1,1229.85,104199
Sundram Fasteners Limited,SUNDRMFAST,2024-02-01,1225.25,1233.95,1210.25,1229.85,1219.15,138431
Sundram Fasteners Limited,SUNDRMFAST,2024-01-31,1223.0,1239.0,1216.25,1219.15,1219.6,104662
Sundram Fasteners Limited,SUNDRMFAST,2024-01-30,1245.0,1245.0,1215.0,1219.6,1233.65,204869
Sundram Fasteners Limited,SUNDRMFAST,2024-01-29,1270.0,1280.0,1230.0,1233.65,1270.2,59209
Sundram Fasteners Limited,SUNDRMFAST,2024-01-25,1280.0,1280.5,1264.05,1270.2,1273.65,22288
Sundram Fasteners Limited,SUNDRMFAST,2024-01-24,1267.65,1284.55,1250.0,1273.65,1264.55,83185
Sundram Fasteners Limited,SUNDRMFAST,2024-01-23,1277.0,1289.15,1253.8,1264.55,1276.25,33045
Sundram Fasteners Limited,SUNDRMFAST,2024-01-20,1275.0,1295.0,1252.35,1276.25,1274.35,27543
Sundram Fasteners Limited,SUNDRMFAST,2024-01-19,1268.0,1295.0,1267.0,1274.35,1275.8,53198
Sundram Fasteners Limited,SUNDRMFAST,2024-01-18,1274.0,1280.0,1247.35,1275.8,1267.7,51703
Sundram Fasteners Limited,SUNDRMFAST,2024-01-17,1253.2,1275.0,1237.0,1267.7,1255.85,45261
Sundram Fasteners Limited,SUNDRMFAST,2024-01-16,1267.2,1278.15,1251.3,1255.85,1263.35,38864
