StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-28,1609.95,1634.0,1607.95,1620.55,1604.15,4427587
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-27,1602.0,1626.15,1592.1,1604.15,1598.1,2530169
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-26,1595.05,1614.7,1593.1,1598.1,1608.9,3649049
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-22,1568.9,1621.0,1566.1,1608.9,1565.2,4941447
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-21,1564.8,1570.85,1542.55,1565.2,1549.35,2567975
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-20,1559.95,1559.95,1520.5,1549.35,1548.45,3412218
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-19,1574.0,1579.75,1540.4,1548.45,1571.25,3692624
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-18,1548.25,1576.25,1543.45,1571.25,1548.2,2281873
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-15,1568.75,1573.5,1541.2,1548.2,1570.2,3421374
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-14,1567.25,1574.3,1546.25,1570.2,1558.6,3062556
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-13,1581.2,1592.2,1544.0,1558.6,1584.3,2881503
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-12,1592.2,1603.8,1580.15,1584.3,1593.6,1294598
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-11,1615.15,1627.0,1586.4,1593.6,1605.7,2994345
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-07,1610.75,1619.95,1600.4,1605.7,1604.0,2440999
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-06,1575.0,1606.75,1566.4,1604.0,1574.2,1761032
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-05,1553.8,1576.4,1535.4,1574.2,1552.1,1408172
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-04,1550.55,1569.1,1548.9,1552.1,1550.55,2298105
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-02,1570.0,1570.0,1524.0,1550.55,1559.25,95487
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-03-01,1580.0,1581.9,1548.05,1559.25,1577.95,4069161
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-29,1575.0,1587.8,1556.5,1577.95,1573.85,2350244
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-28,1586.5,1587.45,1562.65,1573.85,1582.75,578316
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-27,1556.75,1585.45,1549.05,1582.75,1556.95,2140963
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-26,1562.0,1566.9,1548.7,1556.95,1561.25,974892
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-23,1558.0,1568.45,1550.4,1561.25,1558.05,1340283
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-22,1549.6,1561.0,1535.0,1558.05,1543.4,1981678
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-21,1540.05,1549.5,1533.0,1543.4,1538.7,1993748
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-20,1532.0,1542.0,1512.25,1538.7,1530.1,2230669
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-19,1514.85,1532.75,1507.4,1530.1,1509.95,777823
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-16,1515.0,1522.0,1504.85,1509.95,1509.9,3480879
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-15,1529.05,1529.05,1505.55,1509.9,1520.4,2161691
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-14,1545.8,1545.8,1508.05,1520.4,1542.2,2105672
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-13,1537.5,1551.0,1525.45,1542.2,1534.45,4687838
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-12,1539.85,1555.1,1521.1,1534.45,1534.8,4059288
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-09,1500.9,1539.0,1492.25,1534.8,1499.6,6343881
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-08,1501.05,1507.5,1485.35,1499.6,1496.2,2213750
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-07,1483.0,1500.45,1480.4,1496.2,1475.1,2259235
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-06,1450.0,1478.0,1446.55,1475.1,1463.8,1893995
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-05,1426.8,1466.0,1423.6,1463.8,1416.65,3481964
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-02,1409.0,1433.85,1405.15,1416.65,1407.95,1775449
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-02-01,1427.0,1430.45,1398.9,1407.95,1418.45,2442481
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-31,1371.7,1438.9,1366.9,1418.45,1371.75,5796356
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-30,1401.9,1409.2,1369.15,1371.75,1400.85,1935332
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-29,1365.0,1420.85,1355.2,1400.85,1368.3,3413149
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-25,1382.1,1382.1,1382.1,1382.1,1013.55,130898
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-25,1383.55,1390.1,1348.5,1368.3,1382.1,1870910
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-24,1380.0,1390.0,1360.35,1382.1,1378.3,1719845
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-23,1316.0,1394.6,1316.0,1378.3,1326.15,4129729
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-20,1339.0,1346.35,1324.25,1326.15,1335.6,284105
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-19,1340.0,1344.4,1329.15,1335.6,1335.75,1605745
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-18,1298.95,1343.4,1290.0,1335.75,1299.0,2842572
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-17,1312.0,1320.45,1294.35,1299.0,1313.45,2544642
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-16,1330.05,1331.55,1307.55,1313.45,1329.35,824502
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-15,1329.2,1340.0,1321.6,1329.35,1325.95,1475983
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-12,1319.0,1330.0,1305.55,1325.95,1316.25,1538242
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-11,1328.0,1331.9,1310.2,1316.25,1324.85,1320281
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-10,1330.05,1333.5,1313.15,1324.85,1324.0,1278475
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-09,1314.95,1333.45,1306.85,1324.0,1305.3,1712486
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-08,1305.4,1309.95,1299.3,1305.3,1300.2,1678133
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-05,1318.0,1318.0,1287.0,1300.2,1312.95,2960339
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-04,1304.0,1328.5,1297.05,1312.95,1298.6,2851729
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-03,1296.2,1304.65,1291.15,1298.6,1296.2,1699057
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-02,1261.0,1299.0,1257.15,1296.2,1260.25,3174447
Sun Pharmaceutical Industries Limited,SUNPHARMA,2024-01-01,1261.0,1263.95,1252.5,1260.25,1259.45,733452
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-29,1262.1,1271.95,1252.55,1259.45,1262.15,1840160
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-28,1254.95,1264.65,1249.55,1262.15,1252.45,2043365
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-27,1250.0,1255.4,1241.25,1252.45,1247.5,2005268
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-26,1243.65,1250.0,1239.3,1247.5,1243.65,1796483
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-22,1240.0,1251.0,1236.05,1243.65,1233.5,2058127
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-21,1224.1,1237.95,1208.55,1233.5,1232.15,1916222
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-20,1255.0,1255.0,1228.45,1232.15,1244.95,1837031
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-19,1264.8,1267.95,1236.5,1244.95,1252.75,2187458
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-18,1235.75,1267.9,1234.0,1252.75,1235.75,2135393
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-15,1241.0,1246.5,1233.0,1235.75,1231.3,3474624
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-14,1239.0,1239.9,1224.25,1231.3,1233.1,2341190
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-13,1218.3,1239.6,1212.65,1233.1,1218.0,2448178
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-12,1249.0,1250.0,1212.65,1218.0,1241.4,2832873
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-11,1236.0,1246.35,1215.1,1241.4,1235.8,1172972
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-08,1236.05,1247.6,1230.65,1235.8,1239.3,1612113
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-07,1231.0,1241.9,1228.9,1239.3,1240.35,1478355
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-06,1248.55,1258.0,1233.3,1240.35,1239.55,1704590
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-05,1225.9,1243.6,1220.55,1239.55,1231.15,930042
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-04,1237.25,1240.0,1220.5,1231.15,1231.25,1615837
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-12-01,1233.05,1241.85,1225.0,1231.25,1225.85,1749751
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-30,1192.35,1231.15,1192.35,1225.85,1202.2,4672807
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-29,1191.95,1209.5,1184.5,1202.2,1191.35,1813462
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-28,1197.15,1200.35,1189.75,1191.35,1195.45,886708
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-24,1200.0,1209.6,1192.8,1195.45,1198.8,1376695
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-23,1203.55,1209.9,1194.75,1198.8,1204.1,1177434
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-22,1205.0,1214.8,1199.0,1204.1,1201.4,1401782
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-21,1189.0,1205.0,1186.25,1201.4,1188.0,999135
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-20,1196.0,1198.25,1185.25,1188.0,1194.6,1054810
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-17,1189.8,1198.4,1187.95,1194.6,1189.55,891965
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-16,1182.0,1194.9,1179.6,1189.55,1180.9,2205723
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-15,1179.5,1184.4,1171.0,1180.9,1177.8,2246320
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-13,1180.1,1187.55,1173.75,1177.8,1180.6,816825
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-12,1181.5,1187.0,1177.3,1180.6,1179.35,127953
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-10,1174.05,1181.5,1170.1,1179.35,1176.2,957539
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-09,1181.0,1183.25,1166.85,1176.2,1176.7,1849169
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-08,1175.0,1182.9,1171.0,1176.7,1170.95,1702301
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-07,1149.0,1173.55,1146.55,1170.95,1150.0,1811831
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-06,1140.1,1151.0,1140.0,1150.0,1141.1,1428537
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-03,1138.5,1145.7,1131.5,1141.1,1132.85,1741756
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-02,1127.85,1137.55,1110.6,1132.85,1116.2,3454692
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-11-01,1092.0,1132.55,1082.6,1116.2,1088.6,3973264
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-31,1119.45,1119.6,1068.35,1088.6,1115.2,6475786
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-30,1115.7,1119.95,1103.85,1115.2,1111.3,1078813
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-27,1112.0,1119.8,1107.65,1111.3,1103.7,1250965
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-26,1115.95,1117.95,1097.5,1103.7,1120.3,2223975
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-25,1125.0,1129.7,1112.8,1120.3,1122.45,1800673
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-23,1135.0,1149.2,1118.0,1122.45,1142.2,702730
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-20,1138.0,1145.0,1133.1,1142.2,1141.5,957910
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-19,1147.4,1150.0,1135.0,1141.5,1153.4,1765065
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-18,1137.0,1161.8,1134.05,1153.4,1136.8,2178517
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-17,1138.65,1144.0,1134.0,1136.8,1135.3,798807
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-16,1141.5,1147.25,1133.05,1135.3,1145.3,1144308
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-13,1126.1,1147.2,1122.0,1145.3,1130.4,1934884
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-12,1129.0,1132.55,1121.2,1130.4,1128.75,1221965
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-11,1128.0,1134.45,1122.35,1128.75,1126.5,1456045
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-10,1122.0,1130.4,1119.8,1126.5,1123.05,1092093
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-09,1111.0,1133.8,1109.0,1123.05,1127.3,1080276
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-06,1128.0,1132.15,1123.1,1127.3,1119.1,1056281
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-05,1124.65,1128.65,1111.8,1119.1,1123.8,2348562
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-04,1138.1,1139.0,1113.0,1123.8,1141.45,1803871
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-10-03,1159.55,1161.95,1139.25,1141.45,1158.65,1946966
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-09-29,1134.3,1167.4,1134.3,1158.65,1132.3,2288577
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-09-28,1142.95,1152.0,1128.85,1132.3,1139.95,2685663
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-09-27,1126.15,1145.9,1123.2,1139.95,1125.85,2332018
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-09-26,1125.0,1130.0,1118.5,1125.85,1124.05,1966198
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-09-25,1126.2,1136.8,1121.65,1124.05,1132.35,1009279
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-09-22,1142.5,1148.0,1128.3,1132.35,1146.15,1585418
Sun Pharmaceutical Industries Limited,SUNPHARMA,2023-09-21,1149.0,1156.95,1141.15,1146.15,1153.15,2088934
