StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Sunteck Realty Limited,SUNTECK,2024-03-28,403.0,404.95,385.55,389.5,399.65,333218
Sunteck Realty Limited,SUNTECK,2024-03-27,399.05,401.5,390.2,399.65,399.05,1095641
Sunteck Realty Limited,SUNTECK,2024-03-26,401.95,409.65,395.0,399.05,401.95,249361
Sunteck Realty Limited,SUNTECK,2024-03-22,392.45,407.9,391.0,401.95,390.45,385756
Sunteck Realty Limited,SUNTECK,2024-03-21,386.25,393.95,385.15,390.45,385.25,281872
Sunteck Realty Limited,SUNTECK,2024-03-20,385.0,387.55,380.05,385.25,385.0,210703
Sunteck Realty Limited,SUNTECK,2024-03-19,391.0,392.3,381.0,385.0,392.3,195264
Sunteck Realty Limited,SUNTECK,2024-03-18,394.4,400.4,386.0,392.3,397.3,414562
Sunteck Realty Limited,SUNTECK,2024-03-15,399.1,405.0,390.2,397.3,397.3,516397
Sunteck Realty Limited,SUNTECK,2024-03-14,399.7,405.4,380.25,397.3,399.9,1322168
Sunteck Realty Limited,SUNTECK,2024-03-13,430.1,432.15,395.0,399.9,428.05,408551
Sunteck Realty Limited,SUNTECK,2024-03-12,447.0,447.95,425.05,428.05,447.0,251109
Sunteck Realty Limited,SUNTECK,2024-03-11,459.55,460.15,443.25,447.0,457.1,146266
Sunteck Realty Limited,SUNTECK,2024-03-07,459.4,468.95,455.25,457.1,459.35,175331
Sunteck Realty Limited,SUNTECK,2024-03-06,461.05,468.35,448.5,459.35,461.85,289010
Sunteck Realty Limited,SUNTECK,2024-03-05,469.8,470.3,458.1,461.85,467.45,148776
Sunteck Realty Limited,SUNTECK,2024-03-04,479.0,479.0,466.0,467.45,475.75,131723
Sunteck Realty Limited,SUNTECK,2024-03-02,470.05,479.85,470.0,475.75,468.6,41452
Sunteck Realty Limited,SUNTECK,2024-03-01,463.95,470.5,462.8,468.6,462.3,179687
Sunteck Realty Limited,SUNTECK,2024-02-29,466.15,468.5,460.8,462.3,465.9,367590
Sunteck Realty Limited,SUNTECK,2024-02-28,479.65,480.9,462.6,465.9,478.65,371702
Sunteck Realty Limited,SUNTECK,2024-02-27,490.7,490.7,475.25,478.65,488.6,388823
Sunteck Realty Limited,SUNTECK,2024-02-26,487.85,495.9,485.3,488.6,485.1,463013
Sunteck Realty Limited,SUNTECK,2024-02-23,489.75,491.45,482.6,485.1,483.85,973605
Sunteck Realty Limited,SUNTECK,2024-02-22,497.0,499.0,480.2,483.85,492.5,595399
Sunteck Realty Limited,SUNTECK,2024-02-21,484.8,502.2,482.25,492.5,483.1,2657103
Sunteck Realty Limited,SUNTECK,2024-02-20,467.5,485.9,464.15,483.1,463.5,1072117
Sunteck Realty Limited,SUNTECK,2024-02-19,463.0,470.4,458.8,463.5,461.25,355854
Sunteck Realty Limited,SUNTECK,2024-02-16,457.2,464.95,457.2,461.25,457.8,293876
Sunteck Realty Limited,SUNTECK,2024-02-15,457.3,459.3,451.0,457.8,450.25,231188
Sunteck Realty Limited,SUNTECK,2024-02-14,445.25,456.8,445.25,450.25,452.95,230256
Sunteck Realty Limited,SUNTECK,2024-02-13,459.5,460.0,443.0,452.95,458.65,331990
Sunteck Realty Limited,SUNTECK,2024-02-12,468.7,468.7,444.1,458.65,461.95,531245
Sunteck Realty Limited,SUNTECK,2024-02-09,462.1,466.8,447.85,461.95,461.25,403930
Sunteck Realty Limited,SUNTECK,2024-02-08,475.05,476.2,455.1,461.25,472.2,289211
Sunteck Realty Limited,SUNTECK,2024-02-07,484.0,489.0,470.0,472.2,477.15,596313
Sunteck Realty Limited,SUNTECK,2024-02-06,474.25,479.4,472.0,477.15,474.25,322442
Sunteck Realty Limited,SUNTECK,2024-02-05,468.5,479.7,466.75,474.25,467.6,596052
Sunteck Realty Limited,SUNTECK,2024-02-02,477.0,484.2,462.65,467.6,470.65,604517
Sunteck Realty Limited,SUNTECK,2024-02-01,474.7,477.85,468.6,470.65,469.7,500544
Sunteck Realty Limited,SUNTECK,2024-01-31,473.5,475.95,465.5,469.7,471.45,559978
Sunteck Realty Limited,SUNTECK,2024-01-30,475.0,480.35,460.75,471.45,458.9,1795505
Sunteck Realty Limited,SUNTECK,2024-01-29,452.0,462.0,448.0,458.9,447.65,805827
Sunteck Realty Limited,SUNTECK,2024-01-25,434.7,461.8,433.55,447.65,429.9,1441310
Sunteck Realty Limited,SUNTECK,2024-01-24,443.0,449.95,426.35,429.9,441.15,1516291
Sunteck Realty Limited,SUNTECK,2024-01-23,464.9,469.85,438.75,441.15,452.45,1401096
Sunteck Realty Limited,SUNTECK,2024-01-20,449.05,459.0,445.0,452.45,462.65,679667
Sunteck Realty Limited,SUNTECK,2024-01-19,461.1,465.9,455.35,462.65,458.8,1402177
Sunteck Realty Limited,SUNTECK,2024-01-18,449.15,461.75,432.0,458.8,450.95,813616
Sunteck Realty Limited,SUNTECK,2024-01-17,457.0,457.0,448.8,450.95,458.8,450992
Sunteck Realty Limited,SUNTECK,2024-01-16,466.25,472.9,446.9,458.8,463.9,1456812
Sunteck Realty Limited,SUNTECK,2024-01-15,464.6,467.8,456.2,463.9,461.45,416003
Sunteck Realty Limited,SUNTECK,2024-01-12,461.9,463.4,455.35,461.45,462.2,359461
Sunteck Realty Limited,SUNTECK,2024-01-11,465.0,471.0,455.05,462.2,464.95,630545
