StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Sun TV Network Limited,SUNTV,2024-03-28,595.0,602.5,592.65,600.25,596.2,436534
Sun TV Network Limited,SUNTV,2024-03-27,586.0,601.7,586.0,596.2,585.4,514510
Sun TV Network Limited,SUNTV,2024-03-26,586.35,595.1,583.4,585.4,586.35,559350
Sun TV Network Limited,SUNTV,2024-03-22,587.0,594.1,585.05,586.35,593.45,317386
Sun TV Network Limited,SUNTV,2024-03-21,580.95,596.0,580.9,593.45,575.55,471015
Sun TV Network Limited,SUNTV,2024-03-20,575.65,580.85,567.6,575.55,574.65,299793
Sun TV Network Limited,SUNTV,2024-03-19,592.0,594.3,573.2,574.65,591.15,383147
Sun TV Network Limited,SUNTV,2024-03-18,592.0,598.5,588.1,591.15,590.2,363598
Sun TV Network Limited,SUNTV,2024-03-15,593.7,598.95,580.65,590.2,593.7,524707
Sun TV Network Limited,SUNTV,2024-03-14,585.75,601.25,580.05,593.7,585.75,370547
Sun TV Network Limited,SUNTV,2024-03-13,608.1,618.4,582.25,585.75,608.45,1123714
Sun TV Network Limited,SUNTV,2024-03-12,615.7,617.55,604.85,608.45,615.6,269006
Sun TV Network Limited,SUNTV,2024-03-11,622.45,625.5,610.0,615.6,622.45,361211
Sun TV Network Limited,SUNTV,2024-03-07,617.1,630.65,617.0,622.45,615.9,508209
Sun TV Network Limited,SUNTV,2024-03-06,643.8,646.0,597.6,615.9,643.8,1026553
Sun TV Network Limited,SUNTV,2024-03-05,639.05,648.7,632.15,643.8,639.05,820141
Sun TV Network Limited,SUNTV,2024-03-04,628.25,640.3,620.0,639.05,628.15,536739
Sun TV Network Limited,SUNTV,2024-03-02,613.9,630.1,610.0,628.15,613.9,61217
Sun TV Network Limited,SUNTV,2024-03-01,615.85,622.25,612.0,613.9,615.8,415197
Sun TV Network Limited,SUNTV,2024-02-29,595.0,620.0,595.0,615.8,607.3,699878
Sun TV Network Limited,SUNTV,2024-02-28,620.0,623.3,603.0,607.3,619.85,292616
Sun TV Network Limited,SUNTV,2024-02-27,633.0,635.05,618.5,619.85,633.0,344037
Sun TV Network Limited,SUNTV,2024-02-26,637.0,647.9,630.95,633.0,634.4,862564
Sun TV Network Limited,SUNTV,2024-02-23,627.0,638.1,620.25,634.4,624.65,812345
Sun TV Network Limited,SUNTV,2024-02-22,610.0,627.1,606.25,624.65,610.5,931848
Sun TV Network Limited,SUNTV,2024-02-21,621.3,622.5,608.5,610.5,621.3,489671
Sun TV Network Limited,SUNTV,2024-02-20,622.05,630.1,616.85,621.3,620.1,706363
Sun TV Network Limited,SUNTV,2024-02-19,630.0,630.7,618.6,620.1,624.6,363239
