StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-28,641.2,693.95,641.2,677.1,639.95,319943
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-27,638.25,645.25,636.65,639.95,642.35,61318
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-26,653.0,653.0,633.85,642.35,650.05,200308
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-22,630.3,655.0,628.7,650.05,630.8,368493
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-21,617.45,638.85,613.9,630.8,620.05,439127
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-20,612.8,624.0,608.0,620.05,610.45,77121
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-19,614.75,618.0,608.0,610.45,617.85,71124
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-18,613.0,629.4,599.05,617.85,618.6,149954
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-15,637.55,641.15,612.0,618.6,637.95,228319
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-14,628.0,640.35,624.05,637.95,632.45,140676
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-13,657.2,657.2,624.0,632.45,653.8,238886
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-12,644.8,656.65,637.95,653.8,650.7,884796
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-11,661.8,665.3,645.15,650.7,661.8,90280
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-07,673.0,678.6,657.55,661.8,675.1,118644
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-06,662.0,678.9,645.3,675.1,659.0,514264
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-05,683.05,689.4,651.15,659.0,694.85,401755
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-04,730.0,730.0,685.0,694.85,720.4,786425
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-02,690.0,720.4,688.55,720.4,686.1,143704
Suven Pharmaceuticals Limited,SUVENPHAR,2024-03-01,648.9,715.0,645.0,686.1,629.4,14277053
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-29,643.0,645.8,625.0,629.4,642.6,300601
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-28,660.9,667.6,636.95,642.6,664.3,278121
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-27,674.0,674.0,658.0,664.3,670.65,91797
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-26,678.0,698.8,666.0,670.65,664.6,283809
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-23,668.3,669.95,658.0,664.6,665.0,378135
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-22,671.7,675.0,662.0,665.0,668.4,147973
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-21,674.15,683.0,664.2,668.4,672.15,143772
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-20,676.0,677.9,668.65,672.15,673.15,69914
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-19,672.5,686.0,669.65,673.15,669.65,123953
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-16,654.0,676.4,653.95,669.65,655.75,209948
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-15,656.25,661.0,652.45,655.75,655.15,67305
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-14,658.95,658.95,650.05,655.15,656.35,147914
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-13,636.8,672.85,634.95,656.35,635.55,994479
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-12,627.05,644.4,627.05,635.55,625.0,409812
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-09,637.8,639.95,619.05,625.0,634.55,152053
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-08,624.35,640.1,623.3,634.55,621.25,1068698
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-07,616.0,634.65,615.05,621.25,614.15,516783
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-06,606.0,634.0,585.2,614.15,653.1,2019278
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-05,653.0,655.25,642.75,653.1,652.6,179323
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-02,663.0,669.7,646.0,652.6,659.95,139987
Suven Pharmaceuticals Limited,SUVENPHAR,2024-02-01,674.8,674.8,644.8,659.95,672.8,181735
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-31,682.2,682.2,670.0,672.8,685.1,72134
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-30,680.0,699.0,671.65,685.1,683.4,293448
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-29,685.0,695.95,673.55,683.4,681.6,160981
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-25,688.55,696.7,675.0,681.6,685.15,47969
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-24,682.7,691.25,651.85,685.15,686.8,109434
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-23,707.25,720.0,675.25,686.8,708.3,113067
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-20,692.95,721.0,690.5,708.3,686.85,68832
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-19,685.5,698.0,682.0,686.85,680.75,301472
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-18,674.8,685.0,651.15,680.75,668.15,202820
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-17,694.3,694.3,651.1,668.15,694.3,149206
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-16,706.0,706.55,675.35,694.3,703.05,208612
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-15,720.5,724.05,695.55,703.05,718.2,275874
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-12,727.8,727.8,712.05,718.2,724.6,120274
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-11,736.95,739.5,713.25,724.6,734.55,120786
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-10,729.0,735.7,720.6,734.55,729.6,189695
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-09,726.6,739.65,719.85,729.6,723.0,94449
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-08,743.95,747.45,717.8,723.0,743.9,97512
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-05,754.9,760.95,737.2,743.9,750.9,120106
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-04,740.05,768.0,740.05,750.9,738.75,277193
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-03,730.0,750.0,723.05,738.75,727.55,389437
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-02,722.0,731.6,712.45,727.55,720.35,424799
Suven Pharmaceuticals Limited,SUVENPHAR,2024-01-01,728.0,740.0,712.0,720.35,722.8,207098
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-29,699.4,730.0,697.05,722.8,698.2,396489
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-28,705.0,706.0,693.1,698.2,697.05,124206
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-27,715.0,720.0,694.15,697.05,709.7,129841
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-26,720.0,720.0,694.0,709.7,712.1,144654
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-22,679.0,720.0,674.85,712.1,675.8,390855
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-21,656.0,681.25,656.0,675.8,674.85,162847
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-20,691.1,697.5,660.7,674.85,687.65,210550
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-19,698.1,700.0,680.25,687.65,694.6,127803
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-18,695.5,708.95,687.0,694.6,698.6,513694
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-15,676.75,718.1,671.55,698.6,673.25,663281
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-14,691.7,691.7,669.55,673.25,688.1,193133
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-13,698.8,698.8,680.15,688.1,695.75,145370
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-12,692.0,701.6,680.1,695.75,690.2,181296
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-11,665.65,700.0,663.05,690.2,665.65,649196
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-08,686.1,688.0,660.0,665.65,682.55,132985
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-07,666.0,686.7,660.25,682.55,666.3,377445
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-06,670.0,676.85,655.3,666.3,667.3,325843
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-05,678.35,681.4,662.35,667.3,675.0,183098
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-04,680.5,690.0,670.0,675.0,674.35,157787
Suven Pharmaceuticals Limited,SUVENPHAR,2023-12-01,659.7,683.0,659.7,674.35,659.7,387978
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-30,655.6,665.0,648.0,659.7,655.35,184501
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-29,652.75,671.45,643.2,655.35,649.4,509064
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-28,624.9,659.45,611.8,649.4,615.4,1333986
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-24,614.0,634.95,608.5,615.4,614.05,589234
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-23,611.5,621.0,604.2,614.05,611.05,149910
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-22,615.0,622.0,605.0,611.05,600.05,583129
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-21,600.0,615.0,593.35,600.05,593.4,461932
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-20,580.0,595.0,577.0,593.4,579.9,393959
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-17,570.5,580.0,563.0,579.9,570.5,192190
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-16,573.2,576.85,565.05,570.5,570.2,154853
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-15,578.0,580.7,558.5,570.2,577.95,237076
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-13,582.65,584.85,576.0,577.95,587.9,92624
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-12,586.0,598.95,582.2,587.9,580.7,60726
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-10,549.7,585.9,542.1,580.7,556.6,769856
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-09,568.3,569.85,550.0,556.6,568.25,212363
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-08,572.0,574.8,565.0,568.25,571.85,163900
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-07,573.75,579.95,566.9,571.85,570.8,251607
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-06,557.0,574.0,554.1,570.8,557.0,143915
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-03,576.5,585.5,552.05,557.0,578.7,347532
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-02,573.15,580.75,573.15,578.7,573.15,120752
Suven Pharmaceuticals Limited,SUVENPHAR,2023-11-01,581.55,581.55,570.15,573.15,578.7,55970
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-31,564.15,588.2,560.45,578.7,564.15,247346
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-30,568.0,575.0,560.4,564.15,568.35,165475
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-27,569.95,572.45,558.9,568.35,570.6,116797
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-26,571.6,575.0,541.0,570.6,574.75,380960
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-25,579.0,580.0,565.6,574.75,572.45,470890
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-23,588.05,589.1,560.1,572.45,589.1,159983
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-20,571.6,600.0,571.15,589.1,574.5,834489
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-19,576.1,576.1,568.0,574.5,580.0,141567
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-18,582.0,587.9,564.85,580.0,582.0,257194
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-17,583.0,587.8,572.6,582.0,582.45,259326
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-16,586.45,591.0,579.05,582.45,589.95,262661
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-13,589.0,595.0,576.1,589.95,589.95,360319
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-12,573.45,594.65,573.0,589.95,573.45,552601
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-11,562.15,576.1,562.15,573.45,562.15,190055
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-10,565.05,567.35,557.5,562.15,565.9,414403
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-09,561.9,568.7,545.1,565.9,565.25,211392
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-06,572.1,574.45,564.0,565.25,573.55,129886
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-05,567.0,575.0,556.4,573.55,567.1,286455
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-04,570.0,570.0,558.65,567.1,573.9,140615
Suven Pharmaceuticals Limited,SUVENPHAR,2023-10-03,578.95,578.95,565.25,573.9,561.35,402551
Suven Pharmaceuticals Limited,SUVENPHAR,2023-09-29,547.0,567.0,544.1,561.35,544.05,441833
Suven Pharmaceuticals Limited,SUVENPHAR,2023-09-28,535.55,550.0,533.0,544.05,535.1,257318
Suven Pharmaceuticals Limited,SUVENPHAR,2023-09-27,531.9,540.95,528.0,535.1,530.7,132995
Suven Pharmaceuticals Limited,SUVENPHAR,2023-09-26,528.35,544.9,524.25,530.7,527.15,360749
Suven Pharmaceuticals Limited,SUVENPHAR,2023-09-25,528.0,533.55,518.0,527.15,529.85,114406
Suven Pharmaceuticals Limited,SUVENPHAR,2023-09-22,536.9,541.6,527.05,529.85,536.2,164729
Suven Pharmaceuticals Limited,SUVENPHAR,2023-09-21,540.1,545.0,531.25,536.2,543.35,240325
