StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Suzlon Energy Limited,SUZLON,2024-03-28,39.0,40.4,38.6,40.4,38.5,44688873
Suzlon Energy Limited,SUZLON,2024-03-27,37.4,38.95,37.1,38.5,37.1,92336818
Suzlon Energy Limited,SUZLON,2024-03-26,37.5,37.65,36.8,37.1,37.35,25064700
Suzlon Energy Limited,SUZLON,2024-03-22,37.0,37.95,36.35,37.35,37.3,17891396
Suzlon Energy Limited,SUZLON,2024-03-21,37.0,38.1,36.5,37.3,36.3,54916534
Suzlon Energy Limited,SUZLON,2024-03-20,37.15,37.7,35.6,36.3,37.15,26893468
Suzlon Energy Limited,SUZLON,2024-03-19,38.4,38.4,36.8,37.15,38.55,20548501
Suzlon Energy Limited,SUZLON,2024-03-18,38.85,38.9,37.7,38.55,39.4,22647157
Suzlon Energy Limited,SUZLON,2024-03-15,39.0,40.0,37.5,39.4,39.05,144957453
Suzlon Energy Limited,SUZLON,2024-03-14,35.5,39.2,35.5,39.05,37.35,67013191
Suzlon Energy Limited,SUZLON,2024-03-13,38.5,39.3,37.35,37.35,39.3,38160910
Suzlon Energy Limited,SUZLON,2024-03-12,39.35,40.0,37.4,39.3,39.35,47404379
Suzlon Energy Limited,SUZLON,2024-03-11,41.5,42.0,39.0,39.35,40.6,39527748
Suzlon Energy Limited,SUZLON,2024-03-07,37.2,40.6,37.2,40.6,38.7,58288425
Suzlon Energy Limited,SUZLON,2024-03-06,39.0,39.0,38.7,38.7,40.7,29049668
Suzlon Energy Limited,SUZLON,2024-03-05,41.65,41.65,40.7,40.7,42.8,53278004
Suzlon Energy Limited,SUZLON,2024-03-04,42.8,43.8,41.75,42.8,43.95,55074786
Suzlon Energy Limited,SUZLON,2024-03-02,44.5,44.5,43.5,43.95,44.3,5069403
Suzlon Energy Limited,SUZLON,2024-03-01,45.6,46.0,44.1,44.3,45.25,22093410
Suzlon Energy Limited,SUZLON,2024-02-29,43.0,45.35,41.05,45.25,43.2,117200579
Suzlon Energy Limited,SUZLON,2024-02-28,44.6,44.65,42.35,43.2,44.55,36887600
Suzlon Energy Limited,SUZLON,2024-02-27,44.2,45.0,43.5,44.55,43.75,22624252
Suzlon Energy Limited,SUZLON,2024-02-26,45.75,45.75,43.35,43.75,44.9,30050547
Suzlon Energy Limited,SUZLON,2024-02-23,45.15,45.6,44.8,44.9,44.8,25286705
Suzlon Energy Limited,SUZLON,2024-02-22,44.85,45.3,43.8,44.8,44.75,23276564
Suzlon Energy Limited,SUZLON,2024-02-21,45.95,46.0,43.75,44.75,45.8,30440623
Suzlon Energy Limited,SUZLON,2024-02-20,46.65,46.85,45.6,45.8,46.15,20108565
Suzlon Energy Limited,SUZLON,2024-02-19,47.5,47.6,46.05,46.15,46.85,19476010
Suzlon Energy Limited,SUZLON,2024-02-16,47.7,47.7,46.0,46.85,47.05,23858185
Suzlon Energy Limited,SUZLON,2024-02-15,46.95,47.75,46.5,47.05,46.05,44781950
Suzlon Energy Limited,SUZLON,2024-02-14,42.45,46.05,42.05,46.05,43.9,59861806
Suzlon Energy Limited,SUZLON,2024-02-13,43.65,44.65,42.75,43.9,45.0,135410453
Suzlon Energy Limited,SUZLON,2024-02-12,47.95,48.2,45.0,45.0,47.35,65398403
Suzlon Energy Limited,SUZLON,2024-02-09,49.35,49.4,46.9,47.35,49.35,90732188
Suzlon Energy Limited,SUZLON,2024-02-08,49.5,49.75,48.5,49.35,49.25,53850076
Suzlon Energy Limited,SUZLON,2024-02-07,48.2,49.95,48.2,49.25,48.0,64866228
Suzlon Energy Limited,SUZLON,2024-02-06,48.8,48.8,47.2,48.0,48.25,53168885
Suzlon Energy Limited,SUZLON,2024-02-05,49.6,50.0,47.5,48.25,48.6,112297989
Suzlon Energy Limited,SUZLON,2024-02-02,49.9,50.6,48.0,48.6,48.2,219513812
Suzlon Energy Limited,SUZLON,2024-02-01,47.3,48.2,47.0,48.2,45.95,195541083
Suzlon Energy Limited,SUZLON,2024-01-31,44.4,45.95,44.2,45.95,43.8,145374835
Suzlon Energy Limited,SUZLON,2024-01-30,43.5,44.85,42.75,43.8,43.25,88270852
Suzlon Energy Limited,SUZLON,2024-01-29,43.0,43.85,42.55,43.25,42.55,64987571
Suzlon Energy Limited,SUZLON,2024-01-25,41.65,43.0,40.9,42.55,41.2,53839790
Suzlon Energy Limited,SUZLON,2024-01-24,41.6,41.6,40.35,41.2,41.15,33524849
Suzlon Energy Limited,SUZLON,2024-01-23,42.5,43.0,40.2,41.15,41.8,61821069
Suzlon Energy Limited,SUZLON,2024-01-20,42.0,42.45,41.25,41.8,41.85,39948658
Suzlon Energy Limited,SUZLON,2024-01-19,43.5,44.45,41.45,41.85,42.9,118653572
Suzlon Energy Limited,SUZLON,2024-01-18,40.9,42.9,40.1,42.9,40.9,77361249
Suzlon Energy Limited,SUZLON,2024-01-17,41.5,42.65,40.35,40.9,42.05,62350656
Suzlon Energy Limited,SUZLON,2024-01-16,44.0,44.2,41.65,42.05,43.85,73662300
Suzlon Energy Limited,SUZLON,2024-01-15,45.2,45.7,43.7,43.85,44.9,73414515
Suzlon Energy Limited,SUZLON,2024-01-12,43.8,45.4,43.15,44.9,43.6,88210161
