StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Syngene International Limited,SYNGENE,2024-03-28,712.1,713.9,698.65,702.55,711.95,795692
Syngene International Limited,SYNGENE,2024-03-27,708.9,715.85,702.5,711.95,705.15,628140
Syngene International Limited,SYNGENE,2024-03-26,696.55,711.35,692.2,705.15,698.45,711724
Syngene International Limited,SYNGENE,2024-03-22,689.2,701.65,686.4,698.45,685.25,613191
Syngene International Limited,SYNGENE,2024-03-21,678.95,692.95,677.35,685.25,676.05,889143
Syngene International Limited,SYNGENE,2024-03-20,673.0,678.95,665.05,676.05,674.45,378448
Syngene International Limited,SYNGENE,2024-03-19,682.0,682.0,662.05,674.45,682.0,747700
Syngene International Limited,SYNGENE,2024-03-18,677.2,684.5,670.05,682.0,673.7,482723
Syngene International Limited,SYNGENE,2024-03-15,675.85,687.9,671.9,673.7,676.55,951250
Syngene International Limited,SYNGENE,2024-03-14,670.0,679.5,660.35,676.55,670.45,909994
Syngene International Limited,SYNGENE,2024-03-13,697.0,697.4,665.25,670.45,693.7,771428
Syngene International Limited,SYNGENE,2024-03-12,683.0,698.5,682.15,693.7,685.15,1064897
Syngene International Limited,SYNGENE,2024-03-11,693.75,699.3,682.1,685.15,691.2,943054
Syngene International Limited,SYNGENE,2024-03-07,690.0,694.45,683.7,691.2,688.1,822173
Syngene International Limited,SYNGENE,2024-03-06,690.0,692.9,678.6,688.1,692.9,2102975
Syngene International Limited,SYNGENE,2024-03-05,700.0,700.5,685.2,692.9,697.1,384800
Syngene International Limited,SYNGENE,2024-03-04,711.25,713.75,696.0,697.1,710.45,1099072
Syngene International Limited,SYNGENE,2024-03-02,705.65,727.0,701.1,710.45,705.55,27048
Syngene International Limited,SYNGENE,2024-03-01,710.25,711.0,701.25,705.55,706.05,541119
Syngene International Limited,SYNGENE,2024-02-29,704.95,709.1,695.55,706.05,708.9,1081264
Syngene International Limited,SYNGENE,2024-02-28,728.05,731.0,702.0,708.9,727.5,612372
Syngene International Limited,SYNGENE,2024-02-27,731.0,736.9,721.8,727.5,730.75,608881
Syngene International Limited,SYNGENE,2024-02-26,744.45,747.35,728.7,730.75,744.5,376301
Syngene International Limited,SYNGENE,2024-02-23,746.0,752.7,738.95,744.5,748.15,460750
Syngene International Limited,SYNGENE,2024-02-22,749.25,751.5,738.7,748.15,747.9,310022
Syngene International Limited,SYNGENE,2024-02-21,762.25,765.1,746.1,747.9,755.1,296705
Syngene International Limited,SYNGENE,2024-02-20,757.5,767.05,751.0,755.1,763.25,320180
Syngene International Limited,SYNGENE,2024-02-19,770.0,772.95,762.0,763.25,764.7,340602
Syngene International Limited,SYNGENE,2024-02-16,755.6,774.0,752.3,764.7,751.85,964364
Syngene International Limited,SYNGENE,2024-02-15,754.6,761.75,746.95,751.85,749.95,315961
Syngene International Limited,SYNGENE,2024-02-14,740.0,753.0,735.25,749.95,745.55,297786
Syngene International Limited,SYNGENE,2024-02-13,740.35,748.5,733.45,745.55,739.85,363973
Syngene International Limited,SYNGENE,2024-02-12,755.95,755.95,736.4,739.85,748.3,1039026
Syngene International Limited,SYNGENE,2024-02-09,730.95,751.95,722.45,748.3,735.35,1034372
Syngene International Limited,SYNGENE,2024-02-08,752.5,756.55,727.85,735.35,752.3,760730
Syngene International Limited,SYNGENE,2024-02-07,773.0,773.0,751.05,752.3,769.85,545031
Syngene International Limited,SYNGENE,2024-02-06,734.8,771.5,734.8,769.85,741.5,1530997
Syngene International Limited,SYNGENE,2024-02-05,742.0,751.2,739.2,741.5,744.05,695607
Syngene International Limited,SYNGENE,2024-02-02,747.5,756.4,739.75,744.05,746.6,2037994
Syngene International Limited,SYNGENE,2024-02-01,750.0,754.85,739.1,746.6,750.5,929158
Syngene International Limited,SYNGENE,2024-01-31,718.5,753.45,715.6,750.5,716.85,2208093
Syngene International Limited,SYNGENE,2024-01-30,683.55,720.4,683.05,716.85,683.25,1884946
Syngene International Limited,SYNGENE,2024-01-29,662.5,685.0,662.5,683.25,685.3,2379976
Syngene International Limited,SYNGENE,2024-01-25,699.3,699.75,680.0,685.3,695.65,2081246
Syngene International Limited,SYNGENE,2024-01-24,681.5,698.0,680.2,695.65,681.1,812877
Syngene International Limited,SYNGENE,2024-01-23,685.0,690.75,680.0,681.1,682.85,957686
Syngene International Limited,SYNGENE,2024-01-20,696.0,700.9,681.5,682.85,696.0,321868
Syngene International Limited,SYNGENE,2024-01-19,700.0,701.9,692.0,696.0,696.65,651806
Syngene International Limited,SYNGENE,2024-01-18,702.4,707.75,684.3,696.65,702.6,1588610
Syngene International Limited,SYNGENE,2024-01-17,709.3,711.5,698.55,702.6,717.2,2730217
Syngene International Limited,SYNGENE,2024-01-16,727.1,727.1,711.2,717.2,734.1,2106087
Syngene International Limited,SYNGENE,2024-01-15,734.0,739.0,719.85,734.1,731.9,1001921
Syngene International Limited,SYNGENE,2024-01-12,749.8,749.8,724.3,731.9,742.5,984412
Syngene International Limited,SYNGENE,2024-01-11,719.6,745.0,716.75,742.5,715.85,1638413
Syngene International Limited,SYNGENE,2024-01-10,721.65,726.0,712.3,715.85,721.65,526606
Syngene International Limited,SYNGENE,2024-01-09,714.6,728.0,713.35,721.65,713.95,979691
Syngene International Limited,SYNGENE,2024-01-08,721.25,727.0,708.1,713.95,723.6,612583
Syngene International Limited,SYNGENE,2024-01-05,732.8,733.35,717.55,723.6,728.9,771509
Syngene International Limited,SYNGENE,2024-01-04,728.0,733.2,720.0,728.9,723.65,864004
Syngene International Limited,SYNGENE,2024-01-03,722.8,730.0,714.1,723.65,721.7,696719
Syngene International Limited,SYNGENE,2024-01-02,714.95,724.3,708.0,721.7,709.75,1508789
Syngene International Limited,SYNGENE,2024-01-01,702.3,711.9,701.3,709.75,701.45,487675
Syngene International Limited,SYNGENE,2023-12-29,700.0,707.3,696.1,701.45,699.6,1197119
Syngene International Limited,SYNGENE,2023-12-28,699.45,703.7,695.25,699.6,696.95,1085647
Syngene International Limited,SYNGENE,2023-12-27,705.0,707.1,695.0,696.95,700.2,1349525
Syngene International Limited,SYNGENE,2023-12-26,711.45,714.35,696.4,700.2,705.15,948066
Syngene International Limited,SYNGENE,2023-12-22,686.45,708.0,682.95,705.15,682.6,1438386
Syngene International Limited,SYNGENE,2023-12-21,684.55,689.5,675.6,682.6,689.3,1728709
Syngene International Limited,SYNGENE,2023-12-20,702.05,709.1,685.1,689.3,702.95,901287
Syngene International Limited,SYNGENE,2023-12-19,705.9,710.5,694.4,702.95,703.45,906111
Syngene International Limited,SYNGENE,2023-12-18,704.0,715.0,699.45,703.45,702.1,646710
Syngene International Limited,SYNGENE,2023-12-15,695.0,704.0,694.0,702.1,696.15,607206
Syngene International Limited,SYNGENE,2023-12-14,700.3,704.25,692.75,696.15,698.65,941776
Syngene International Limited,SYNGENE,2023-12-13,706.0,706.0,681.0,698.65,703.55,1441125
Syngene International Limited,SYNGENE,2023-12-12,715.0,715.95,700.05,703.55,712.65,1815778
Syngene International Limited,SYNGENE,2023-12-11,723.0,723.05,709.2,712.65,723.1,2388502
Syngene International Limited,SYNGENE,2023-12-08,734.0,737.35,716.7,723.1,728.35,942614
Syngene International Limited,SYNGENE,2023-12-07,725.0,730.5,713.15,728.35,721.3,1062415
