StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Tanla Platforms Limited,TANLA,2024-03-28,819.1,847.9,811.0,819.7,814.1,658094
Tanla Platforms Limited,TANLA,2024-03-27,830.0,849.8,791.0,814.1,825.2,722409
Tanla Platforms Limited,TANLA,2024-03-26,850.5,865.0,820.1,825.2,850.1,469958
Tanla Platforms Limited,TANLA,2024-03-22,841.0,856.5,835.0,850.1,838.4,369060
Tanla Platforms Limited,TANLA,2024-03-21,824.05,844.95,824.05,838.4,814.0,402650
Tanla Platforms Limited,TANLA,2024-03-20,828.4,845.0,810.0,814.0,823.95,388514
Tanla Platforms Limited,TANLA,2024-03-19,842.7,843.5,820.0,823.95,845.3,344298
Tanla Platforms Limited,TANLA,2024-03-18,855.55,865.0,840.0,845.3,855.95,258088
Tanla Platforms Limited,TANLA,2024-03-15,872.8,899.2,841.55,855.95,872.8,549717
Tanla Platforms Limited,TANLA,2024-03-14,803.4,879.75,791.05,872.8,804.5,882838
Tanla Platforms Limited,TANLA,2024-03-13,895.95,909.2,782.05,804.5,895.95,1038879
Tanla Platforms Limited,TANLA,2024-03-12,930.0,936.45,892.1,895.95,928.4,482955
Tanla Platforms Limited,TANLA,2024-03-11,961.0,961.0,925.0,928.4,955.1,281355
Tanla Platforms Limited,TANLA,2024-03-07,953.8,959.9,948.2,955.1,947.45,146516
Tanla Platforms Limited,TANLA,2024-03-06,967.3,970.55,942.0,947.45,964.45,275226
Tanla Platforms Limited,TANLA,2024-03-05,984.2,995.6,958.15,964.45,967.75,545536
Tanla Platforms Limited,TANLA,2024-03-04,979.95,988.95,964.0,967.75,979.9,272299
Tanla Platforms Limited,TANLA,2024-03-02,972.0,989.95,972.0,979.9,974.7,47318
Tanla Platforms Limited,TANLA,2024-03-01,984.0,994.75,968.0,974.7,979.6,434888
Tanla Platforms Limited,TANLA,2024-02-29,1003.95,1006.8,976.25,979.6,1007.1,564861
Tanla Platforms Limited,TANLA,2024-02-28,1013.0,1044.95,993.0,1007.1,997.85,1609250
Tanla Platforms Limited,TANLA,2024-02-27,997.85,1020.0,991.0,997.85,988.55,467997
Tanla Platforms Limited,TANLA,2024-02-26,997.85,1001.7,986.5,988.55,997.85,154209
Tanla Platforms Limited,TANLA,2024-02-23,1003.65,1018.0,993.5,997.85,998.15,212175
Tanla Platforms Limited,TANLA,2024-02-22,990.0,1005.0,985.0,998.15,991.45,192911
Tanla Platforms Limited,TANLA,2024-02-21,1006.2,1007.7,984.35,991.45,1003.65,241466
Tanla Platforms Limited,TANLA,2024-02-20,997.0,1008.35,997.0,1003.65,996.4,196863
Tanla Platforms Limited,TANLA,2024-02-19,998.4,1010.0,990.0,996.4,995.05,297272
Tanla Platforms Limited,TANLA,2024-02-16,1010.0,1019.95,990.95,995.05,1003.95,277669
Tanla Platforms Limited,TANLA,2024-02-15,973.4,1024.5,973.4,1003.95,970.8,695650
Tanla Platforms Limited,TANLA,2024-02-14,963.0,987.35,956.1,970.8,978.45,184380
Tanla Platforms Limited,TANLA,2024-02-13,955.7,988.9,935.85,978.45,953.2,435491
Tanla Platforms Limited,TANLA,2024-02-12,988.4,994.8,949.0,953.2,985.5,361790
