StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Tata Elxsi Limited,TATAELXSI,2024-03-28,7750.0,7870.0,7704.0,7785.15,7674.8,273766
Tata Elxsi Limited,TATAELXSI,2024-03-27,7725.0,7751.95,7632.1,7674.8,7693.75,156037
Tata Elxsi Limited,TATAELXSI,2024-03-26,7500.05,7725.0,7500.05,7693.75,7665.0,117670
Tata Elxsi Limited,TATAELXSI,2024-03-22,7655.55,7689.8,7616.95,7665.0,7704.75,63721
Tata Elxsi Limited,TATAELXSI,2024-03-21,7626.05,7719.95,7588.95,7704.75,7556.5,79906
Tata Elxsi Limited,TATAELXSI,2024-03-20,7633.0,7675.0,7525.0,7556.5,7635.85,67469
Tata Elxsi Limited,TATAELXSI,2024-03-19,7708.0,7718.75,7552.05,7635.85,7702.7,78340
Tata Elxsi Limited,TATAELXSI,2024-03-18,7725.0,7790.0,7657.0,7702.7,7707.0,79507
Tata Elxsi Limited,TATAELXSI,2024-03-15,7744.0,7825.0,7600.0,7707.0,7730.6,166240
Tata Elxsi Limited,TATAELXSI,2024-03-14,7456.75,7772.25,7351.95,7730.6,7392.8,134183
Tata Elxsi Limited,TATAELXSI,2024-03-13,7650.0,7837.65,7335.0,7392.8,7573.9,314712
Tata Elxsi Limited,TATAELXSI,2024-03-12,7706.0,7838.8,7515.0,7573.9,7702.95,112485
Tata Elxsi Limited,TATAELXSI,2024-03-11,7724.9,7748.0,7633.15,7702.95,7686.75,132700
Tata Elxsi Limited,TATAELXSI,2024-03-07,7590.1,7914.6,7585.85,7686.75,7602.3,302528
Tata Elxsi Limited,TATAELXSI,2024-03-06,7710.0,7723.9,7540.1,7602.3,7662.45,106522
Tata Elxsi Limited,TATAELXSI,2024-03-05,7692.9,7732.95,7601.05,7662.45,7692.9,107340
Tata Elxsi Limited,TATAELXSI,2024-03-04,7819.0,7839.8,7658.85,7692.9,7792.65,101325
Tata Elxsi Limited,TATAELXSI,2024-03-02,7753.0,7819.9,7745.0,7792.65,7745.25,13355
Tata Elxsi Limited,TATAELXSI,2024-03-01,7900.0,7993.2,7720.0,7745.25,7811.05,217687
Tata Elxsi Limited,TATAELXSI,2024-02-29,7580.0,7950.0,7440.0,7811.05,7593.65,307875
Tata Elxsi Limited,TATAELXSI,2024-02-28,7695.0,7716.45,7562.0,7593.65,7640.6,72324
Tata Elxsi Limited,TATAELXSI,2024-02-27,7715.0,7744.4,7605.0,7640.6,7706.9,92008
Tata Elxsi Limited,TATAELXSI,2024-02-26,7853.0,7859.8,7685.0,7706.9,7812.3,69244
