StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Tata Motors Limited,TATAMOTORS,2024-03-28,982.5,999.9,979.0,992.8,978.65,9862996
Tata Motors Limited,TATAMOTORS,2024-03-27,991.6,995.0,976.7,978.65,986.2,6640537
Tata Motors Limited,TATAMOTORS,2024-03-26,977.0,995.0,976.0,986.2,979.8,9461531
Tata Motors Limited,TATAMOTORS,2024-03-22,964.9,986.2,950.35,979.8,964.9,13638296
Tata Motors Limited,TATAMOTORS,2024-03-21,951.0,969.25,946.0,964.9,940.45,11074207
Tata Motors Limited,TATAMOTORS,2024-03-20,960.9,965.15,921.2,940.45,957.75,13900321
Tata Motors Limited,TATAMOTORS,2024-03-19,968.55,970.6,951.6,957.75,972.45,9483750
Tata Motors Limited,TATAMOTORS,2024-03-18,945.85,974.8,936.65,972.45,945.85,12121719
Tata Motors Limited,TATAMOTORS,2024-03-15,968.4,979.75,940.0,945.85,967.75,23390913
Tata Motors Limited,TATAMOTORS,2024-03-14,964.95,982.0,955.4,967.75,973.2,22931801
Tata Motors Limited,TATAMOTORS,2024-03-13,1019.0,1021.0,963.55,973.2,1016.5,16564155
Tata Motors Limited,TATAMOTORS,2024-03-12,1027.8,1037.0,1011.3,1016.5,1028.0,8763820
Tata Motors Limited,TATAMOTORS,2024-03-11,1034.75,1035.95,1021.0,1028.0,1039.3,7502450
Tata Motors Limited,TATAMOTORS,2024-03-07,1025.0,1047.0,1014.05,1039.3,1017.65,16877082
Tata Motors Limited,TATAMOTORS,2024-03-07,1017.65,1017.65,1017.65,1017.65,423.5,185410
Tata Motors Limited,TATAMOTORS,2024-03-06,1025.0,1030.65,1009.0,1017.65,1021.9,14214823
Tata Motors Limited,TATAMOTORS,2024-03-05,1027.0,1065.6,1005.35,1021.9,987.2,59811033
Tata Motors Limited,TATAMOTORS,2024-03-04,993.25,995.0,980.1,987.2,988.35,6084495
Tata Motors Limited,TATAMOTORS,2024-03-02,987.0,992.6,981.55,988.35,977.4,1783565
Tata Motors Limited,TATAMOTORS,2024-03-01,958.95,980.4,956.7,977.4,950.2,10645369
