StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Tata Power Company Limited,TATAPOWER,2024-03-28,391.0,398.9,391.0,394.2,388.4,16040575
Tata Power Company Limited,TATAPOWER,2024-03-27,391.55,393.85,387.5,388.4,390.1,9084482
Tata Power Company Limited,TATAPOWER,2024-03-26,390.5,394.0,387.75,390.1,390.7,9140496
Tata Power Company Limited,TATAPOWER,2024-03-22,389.9,395.5,386.5,390.7,392.15,11759985
Tata Power Company Limited,TATAPOWER,2024-03-21,385.1,394.35,384.0,392.15,379.9,16908086
Tata Power Company Limited,TATAPOWER,2024-03-20,386.0,388.35,371.1,379.9,383.25,18068658
Tata Power Company Limited,TATAPOWER,2024-03-19,392.15,392.9,381.1,383.25,392.75,14809242
Tata Power Company Limited,TATAPOWER,2024-03-18,382.85,394.45,378.55,392.75,380.75,34069247
Tata Power Company Limited,TATAPOWER,2024-03-15,384.45,388.0,372.0,380.75,384.45,20859247
Tata Power Company Limited,TATAPOWER,2024-03-14,371.95,386.3,365.55,384.45,371.95,27089563
Tata Power Company Limited,TATAPOWER,2024-03-13,399.25,399.8,367.75,371.95,396.1,36185918
Tata Power Company Limited,TATAPOWER,2024-03-12,414.4,414.7,395.0,396.1,413.15,26812422
Tata Power Company Limited,TATAPOWER,2024-03-11,414.0,421.5,404.65,413.15,425.25,39122073
Tata Power Company Limited,TATAPOWER,2024-03-07,396.0,433.3,396.0,425.25,394.95,98883541
Tata Power Company Limited,TATAPOWER,2024-03-06,396.15,397.6,384.7,394.95,396.15,15795532
Tata Power Company Limited,TATAPOWER,2024-03-05,392.0,399.95,390.5,396.15,391.75,18795182
Tata Power Company Limited,TATAPOWER,2024-03-04,381.05,394.0,380.2,391.75,379.15,25814019
Tata Power Company Limited,TATAPOWER,2024-03-02,378.95,380.6,377.65,379.15,377.4,1088134
Tata Power Company Limited,TATAPOWER,2024-03-01,375.55,379.75,374.55,377.4,371.75,7853708
Tata Power Company Limited,TATAPOWER,2024-02-29,367.0,374.0,363.05,371.75,365.75,8088079
Tata Power Company Limited,TATAPOWER,2024-02-28,375.5,378.25,364.6,365.75,375.55,8577264
Tata Power Company Limited,TATAPOWER,2024-02-27,379.0,379.5,373.95,375.55,378.4,6322898
Tata Power Company Limited,TATAPOWER,2024-02-26,379.0,381.4,377.7,378.4,378.4,6228934
Tata Power Company Limited,TATAPOWER,2024-02-23,379.35,381.75,377.5,378.4,377.9,5691333
Tata Power Company Limited,TATAPOWER,2024-02-22,377.05,379.7,369.25,377.9,375.45,8449170
Tata Power Company Limited,TATAPOWER,2024-02-21,380.7,383.85,373.5,375.45,378.95,10283746
Tata Power Company Limited,TATAPOWER,2024-02-20,381.0,382.5,376.05,378.95,380.5,7298102
Tata Power Company Limited,TATAPOWER,2024-02-19,383.1,385.8,379.1,380.5,376.3,12557987
Tata Power Company Limited,TATAPOWER,2024-02-16,383.0,383.0,375.25,376.3,378.85,9592754
Tata Power Company Limited,TATAPOWER,2024-02-15,376.65,382.35,374.75,378.85,373.7,16001298
Tata Power Company Limited,TATAPOWER,2024-02-14,364.3,374.6,358.2,373.7,365.05,15216135
Tata Power Company Limited,TATAPOWER,2024-02-13,361.7,366.5,354.6,365.05,361.7,21221871
