StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Tata Consultancy Services Limited,TCS,2024-03-28,3850.1,3915.0,3840.5,3876.3,3840.9,4311783
Tata Consultancy Services Limited,TCS,2024-03-27,3888.5,3895.0,3829.4,3840.9,3877.5,1968575
Tata Consultancy Services Limited,TCS,2024-03-26,3875.0,3946.7,3871.45,3877.5,3910.9,3440925
Tata Consultancy Services Limited,TCS,2024-03-22,3897.0,3938.0,3855.0,3910.9,3972.95,5852485
Tata Consultancy Services Limited,TCS,2024-03-21,3990.05,4008.4,3948.0,3972.95,3970.9,3829582
Tata Consultancy Services Limited,TCS,2024-03-20,3986.0,4018.0,3960.2,3970.9,3977.3,1817913
Tata Consultancy Services Limited,TCS,2024-03-19,4051.25,4058.0,3966.6,3977.3,4152.5,8931209
Tata Consultancy Services Limited,TCS,2024-03-18,4215.25,4254.75,4117.85,4152.5,4219.25,1526904
Tata Consultancy Services Limited,TCS,2024-03-15,4192.6,4239.0,4177.0,4219.25,4207.6,3373143
Tata Consultancy Services Limited,TCS,2024-03-14,4153.45,4225.0,4086.0,4207.6,4149.0,2919608
Tata Consultancy Services Limited,TCS,2024-03-13,4205.0,4241.0,4131.9,4149.0,4192.25,2837260
Tata Consultancy Services Limited,TCS,2024-03-12,4122.35,4229.95,4121.05,4192.25,4122.35,4039801
Tata Consultancy Services Limited,TCS,2024-03-11,4089.0,4153.0,4089.0,4122.35,4108.6,2304068
Tata Consultancy Services Limited,TCS,2024-03-07,4065.0,4124.0,4037.7,4108.6,4064.3,2688905
Tata Consultancy Services Limited,TCS,2024-03-06,3994.05,4072.0,3958.45,4064.3,4012.1,1744204
Tata Consultancy Services Limited,TCS,2024-03-05,4062.0,4064.0,3980.0,4012.1,4080.7,2070859
Tata Consultancy Services Limited,TCS,2024-03-04,4105.0,4117.9,4075.9,4080.7,4107.1,1749271
Tata Consultancy Services Limited,TCS,2024-03-02,4112.7,4129.5,4090.15,4107.1,4094.35,65057
Tata Consultancy Services Limited,TCS,2024-03-01,4107.2,4140.0,4086.8,4094.35,4095.1,2043265
Tata Consultancy Services Limited,TCS,2024-02-29,4099.0,4138.1,4064.55,4095.1,4118.95,3772719
Tata Consultancy Services Limited,TCS,2024-02-28,4095.6,4154.9,4089.0,4118.95,4104.4,1939225
Tata Consultancy Services Limited,TCS,2024-02-27,3999.0,4124.0,3999.0,4104.4,4001.05,2960475
Tata Consultancy Services Limited,TCS,2024-02-26,4036.0,4050.0,3982.75,4001.05,4052.1,1379284
Tata Consultancy Services Limited,TCS,2024-02-23,4130.0,4130.0,4046.4,4052.1,4087.1,2538072
Tata Consultancy Services Limited,TCS,2024-02-22,3971.0,4094.95,3971.0,4087.1,3991.5,2982052
Tata Consultancy Services Limited,TCS,2024-02-21,4013.0,4063.35,3980.6,3991.5,4030.65,1885939
Tata Consultancy Services Limited,TCS,2024-02-20,4082.1,4098.0,4010.0,4030.65,4103.8,1193648
Tata Consultancy Services Limited,TCS,2024-02-19,4123.05,4128.3,4055.0,4103.8,4128.3,772291
Tata Consultancy Services Limited,TCS,2024-02-16,4113.25,4147.95,4100.1,4128.3,4103.2,1307556
Tata Consultancy Services Limited,TCS,2024-02-15,4128.0,4146.3,4083.0,4103.2,4100.1,1091582
Tata Consultancy Services Limited,TCS,2024-02-14,4107.0,4114.9,4049.5,4100.1,4149.5,1391283
Tata Consultancy Services Limited,TCS,2024-02-13,4125.45,4170.0,4081.5,4149.5,4120.7,1257415
Tata Consultancy Services Limited,TCS,2024-02-12,4130.0,4159.6,4105.55,4120.7,4133.7,1013716
Tata Consultancy Services Limited,TCS,2024-02-09,4136.55,4184.75,4100.0,4133.7,4134.1,2100596
Tata Consultancy Services Limited,TCS,2024-02-08,4090.0,4158.0,4086.05,4134.1,4083.4,2345173
Tata Consultancy Services Limited,TCS,2024-02-07,4153.0,4155.0,4073.95,4083.4,4136.0,2124267
Tata Consultancy Services Limited,TCS,2024-02-06,3997.0,4149.9,3990.0,4136.0,3973.3,4474396
Tata Consultancy Services Limited,TCS,2024-02-05,3983.0,4022.0,3962.1,3973.3,3966.3,1691523
Tata Consultancy Services Limited,TCS,2024-02-02,3875.05,3984.4,3872.0,3966.3,3854.15,2826510
Tata Consultancy Services Limited,TCS,2024-02-01,3820.0,3904.9,3805.05,3854.15,3815.95,2363107
Tata Consultancy Services Limited,TCS,2024-01-31,3811.2,3834.0,3796.45,3815.95,3800.55,2459358
Tata Consultancy Services Limited,TCS,2024-01-30,3807.45,3847.8,3787.0,3800.55,3801.0,1411621
Tata Consultancy Services Limited,TCS,2024-01-29,3800.8,3820.0,3780.85,3801.0,3810.3,1646747
Tata Consultancy Services Limited,TCS,2024-01-25,3841.8,3841.8,3841.8,3841.8,3514.65,27024
Tata Consultancy Services Limited,TCS,2024-01-25,3839.9,3861.0,3778.7,3810.3,3841.8,2205154
Tata Consultancy Services Limited,TCS,2024-01-24,3880.0,3883.65,3805.6,3841.8,3858.25,2657709
Tata Consultancy Services Limited,TCS,2024-01-23,3900.0,3933.9,3842.75,3858.25,3860.65,2618854
Tata Consultancy Services Limited,TCS,2024-01-20,3948.0,3955.65,3855.55,3860.65,3943.05,516477
Tata Consultancy Services Limited,TCS,2024-01-19,3945.0,3963.55,3915.05,3943.05,3902.6,2941975
Tata Consultancy Services Limited,TCS,2024-01-18,3898.0,3908.8,3862.0,3902.6,3884.6,2239110
Tata Consultancy Services Limited,TCS,2024-01-17,3819.0,3909.95,3812.55,3884.6,3861.3,3458696
Tata Consultancy Services Limited,TCS,2024-01-16,3899.0,3899.0,3855.55,3861.3,3903.8,1432672
Tata Consultancy Services Limited,TCS,2024-01-15,3960.0,3965.0,3885.0,3903.8,3882.8,2801505
