StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Tech Mahindra Limited,TECHM,2024-03-28,1260.0,1264.95,1242.0,1248.1,1253.8,2436133
Tech Mahindra Limited,TECHM,2024-03-27,1258.0,1263.15,1246.55,1253.8,1254.35,2128854
Tech Mahindra Limited,TECHM,2024-03-26,1262.25,1271.6,1251.0,1254.35,1262.65,2144358
Tech Mahindra Limited,TECHM,2024-03-22,1258.5,1279.9,1236.1,1262.65,1282.75,2990908
Tech Mahindra Limited,TECHM,2024-03-21,1275.0,1287.45,1270.65,1282.75,1264.3,1420041
Tech Mahindra Limited,TECHM,2024-03-20,1252.0,1272.0,1247.0,1264.3,1252.25,1139621
Tech Mahindra Limited,TECHM,2024-03-19,1270.0,1272.65,1248.9,1252.25,1272.65,1243420
Tech Mahindra Limited,TECHM,2024-03-18,1282.0,1287.45,1268.05,1272.65,1282.2,630807
Tech Mahindra Limited,TECHM,2024-03-15,1293.0,1293.0,1268.5,1282.2,1293.35,2499025
Tech Mahindra Limited,TECHM,2024-03-14,1272.0,1297.45,1258.05,1293.35,1277.2,2129097
Tech Mahindra Limited,TECHM,2024-03-13,1292.3,1299.4,1266.3,1277.2,1292.3,2001399
Tech Mahindra Limited,TECHM,2024-03-12,1295.0,1307.65,1277.7,1292.3,1289.0,1963068
Tech Mahindra Limited,TECHM,2024-03-11,1288.15,1296.3,1275.5,1289.0,1288.15,1577732
Tech Mahindra Limited,TECHM,2024-03-07,1275.0,1293.1,1265.55,1288.15,1271.0,2073691
Tech Mahindra Limited,TECHM,2024-03-06,1267.5,1274.35,1250.1,1271.0,1272.5,2064350
Tech Mahindra Limited,TECHM,2024-03-05,1274.9,1279.9,1259.1,1272.5,1280.05,1420379
Tech Mahindra Limited,TECHM,2024-03-04,1275.6,1285.5,1270.1,1280.05,1272.5,1843831
Tech Mahindra Limited,TECHM,2024-03-02,1278.0,1282.0,1271.0,1272.5,1271.8,217683
Tech Mahindra Limited,TECHM,2024-03-01,1287.0,1287.0,1268.0,1271.8,1273.85,1560034
Tech Mahindra Limited,TECHM,2024-02-29,1280.0,1285.2,1264.25,1273.85,1285.85,2251498
Tech Mahindra Limited,TECHM,2024-02-28,1302.0,1306.05,1271.0,1285.85,1296.05,1289779
Tech Mahindra Limited,TECHM,2024-02-27,1295.0,1305.05,1283.7,1296.05,1298.25,1488661
Tech Mahindra Limited,TECHM,2024-02-26,1322.25,1324.9,1295.0,1298.25,1322.25,1196507
Tech Mahindra Limited,TECHM,2024-02-23,1338.9,1342.55,1316.3,1322.25,1328.1,1660506
Tech Mahindra Limited,TECHM,2024-02-22,1307.0,1330.5,1299.35,1328.1,1296.6,2201424
Tech Mahindra Limited,TECHM,2024-02-21,1320.0,1325.0,1292.2,1296.6,1320.55,1769508
Tech Mahindra Limited,TECHM,2024-02-20,1310.0,1323.65,1302.0,1320.55,1310.0,2113200
Tech Mahindra Limited,TECHM,2024-02-19,1302.95,1318.0,1287.45,1310.0,1302.55,1496111
Tech Mahindra Limited,TECHM,2024-02-16,1305.1,1309.2,1298.0,1302.55,1300.35,1994659
Tech Mahindra Limited,TECHM,2024-02-15,1304.7,1308.0,1291.55,1300.35,1292.9,1703763
Tech Mahindra Limited,TECHM,2024-02-14,1310.0,1319.95,1282.65,1292.9,1328.45,3426103
Tech Mahindra Limited,TECHM,2024-02-13,1321.95,1334.8,1300.0,1328.45,1318.8,1127361
Tech Mahindra Limited,TECHM,2024-02-12,1318.4,1331.0,1311.1,1318.8,1311.05,1149683
Tech Mahindra Limited,TECHM,2024-02-09,1317.0,1321.45,1305.95,1311.05,1309.25,1085349
Tech Mahindra Limited,TECHM,2024-02-08,1326.0,1329.65,1302.0,1309.25,1318.0,2308756
Tech Mahindra Limited,TECHM,2024-02-07,1351.5,1358.7,1314.05,1318.0,1351.05,2004588
Tech Mahindra Limited,TECHM,2024-02-06,1330.0,1362.4,1328.1,1351.05,1332.75,2713529
Tech Mahindra Limited,TECHM,2024-02-05,1345.8,1353.1,1328.0,1332.75,1338.1,953919
Tech Mahindra Limited,TECHM,2024-02-02,1323.5,1354.0,1323.05,1338.1,1312.5,1838847
Tech Mahindra Limited,TECHM,2024-02-01,1330.0,1336.35,1309.75,1312.5,1333.65,2286420
Tech Mahindra Limited,TECHM,2024-01-31,1318.1,1336.0,1312.3,1333.65,1317.85,1798462
Tech Mahindra Limited,TECHM,2024-01-30,1323.95,1340.95,1315.0,1317.85,1314.35,2293154
Tech Mahindra Limited,TECHM,2024-01-29,1338.0,1338.0,1311.0,1314.35,1322.05,2495791
Tech Mahindra Limited,TECHM,2024-01-25,1348.0,1356.35,1312.05,1322.05,1407.95,8424862
Tech Mahindra Limited,TECHM,2024-01-24,1372.95,1410.5,1365.55,1407.95,1366.65,2008135
Tech Mahindra Limited,TECHM,2024-01-23,1396.5,1416.3,1356.75,1366.65,1385.6,2683661
Tech Mahindra Limited,TECHM,2024-01-20,1405.0,1406.2,1376.0,1385.6,1389.9,1001018
Tech Mahindra Limited,TECHM,2024-01-19,1373.9,1397.85,1355.0,1389.9,1355.15,4463826
Tech Mahindra Limited,TECHM,2024-01-18,1326.7,1369.5,1306.0,1355.15,1326.75,4533782
Tech Mahindra Limited,TECHM,2024-01-17,1306.0,1334.5,1305.25,1326.75,1320.4,2313059
Tech Mahindra Limited,TECHM,2024-01-16,1330.1,1332.2,1310.5,1320.4,1337.65,1883106
Tech Mahindra Limited,TECHM,2024-01-15,1335.0,1401.5,1333.85,1337.65,1308.05,6012767
Tech Mahindra Limited,TECHM,2024-01-12,1271.8,1311.75,1267.0,1308.05,1249.4,5023455
Tech Mahindra Limited,TECHM,2024-01-11,1240.9,1261.8,1240.9,1249.4,1240.9,930492
Tech Mahindra Limited,TECHM,2024-01-10,1236.5,1246.45,1228.3,1240.9,1235.65,808638
Tech Mahindra Limited,TECHM,2024-01-09,1240.55,1251.2,1232.6,1235.65,1228.95,994439
Tech Mahindra Limited,TECHM,2024-01-08,1250.2,1254.25,1221.4,1228.95,1248.3,1320667
Tech Mahindra Limited,TECHM,2024-01-05,1254.9,1271.85,1245.55,1248.3,1247.5,1756868
Tech Mahindra Limited,TECHM,2024-01-04,1250.1,1254.7,1231.7,1247.5,1244.2,3355191
Tech Mahindra Limited,TECHM,2024-01-03,1265.0,1274.0,1240.0,1244.2,1278.1,2231707
Tech Mahindra Limited,TECHM,2024-01-02,1298.0,1299.1,1272.85,1278.1,1297.15,1615064
Tech Mahindra Limited,TECHM,2024-01-01,1273.0,1303.8,1265.25,1297.15,1272.65,1776828
Tech Mahindra Limited,TECHM,2023-12-29,1285.95,1291.95,1268.1,1272.65,1285.95,1187193
Tech Mahindra Limited,TECHM,2023-12-28,1285.0,1289.0,1270.55,1285.95,1280.15,2284964
Tech Mahindra Limited,TECHM,2023-12-27,1287.9,1291.5,1267.25,1280.15,1282.0,1584695
Tech Mahindra Limited,TECHM,2023-12-26,1275.0,1288.75,1260.55,1282.0,1275.15,1720830
Tech Mahindra Limited,TECHM,2023-12-22,1260.0,1280.9,1242.5,1275.15,1250.1,2297352
Tech Mahindra Limited,TECHM,2023-12-21,1232.0,1258.55,1226.0,1250.1,1248.6,3337533
Tech Mahindra Limited,TECHM,2023-12-20,1291.0,1314.0,1238.2,1248.6,1281.45,2860865
Tech Mahindra Limited,TECHM,2023-12-19,1300.0,1300.95,1269.2,1281.45,1291.75,1717860
Tech Mahindra Limited,TECHM,2023-12-18,1305.0,1333.05,1286.45,1291.75,1306.1,2671348
Tech Mahindra Limited,TECHM,2023-12-15,1270.0,1324.8,1262.5,1306.1,1264.7,5900381
Tech Mahindra Limited,TECHM,2023-12-14,1235.0,1269.8,1230.15,1264.7,1216.1,5287733
Tech Mahindra Limited,TECHM,2023-12-13,1226.0,1233.95,1197.05,1216.1,1226.15,3025706
Tech Mahindra Limited,TECHM,2023-12-12,1237.95,1245.0,1218.65,1226.15,1233.3,1114846
Tech Mahindra Limited,TECHM,2023-12-11,1231.0,1240.5,1225.3,1233.3,1225.3,1558876
Tech Mahindra Limited,TECHM,2023-12-08,1230.0,1237.95,1217.25,1225.3,1223.25,2642571
Tech Mahindra Limited,TECHM,2023-12-07,1226.0,1231.0,1220.1,1223.25,1225.2,1076885
Tech Mahindra Limited,TECHM,2023-12-06,1223.0,1247.0,1218.65,1225.2,1220.6,2637916
Tech Mahindra Limited,TECHM,2023-12-05,1224.0,1226.25,1208.85,1220.6,1223.9,1499843
Tech Mahindra Limited,TECHM,2023-12-04,1238.0,1249.2,1218.0,1223.9,1220.55,1581599
Tech Mahindra Limited,TECHM,2023-12-01,1226.8,1226.8,1211.55,1220.55,1220.95,1017856
Tech Mahindra Limited,TECHM,2023-11-30,1222.0,1228.3,1208.7,1220.95,1221.7,2978406
Tech Mahindra Limited,TECHM,2023-11-29,1207.0,1234.6,1206.65,1221.7,1202.4,1898448
Tech Mahindra Limited,TECHM,2023-11-28,1195.1,1209.0,1186.0,1202.4,1197.85,910795
Tech Mahindra Limited,TECHM,2023-11-24,1212.05,1214.95,1195.1,1197.85,1210.9,884921
Tech Mahindra Limited,TECHM,2023-11-23,1215.0,1220.9,1206.95,1210.9,1215.4,651637
Tech Mahindra Limited,TECHM,2023-11-22,1205.0,1218.0,1204.0,1215.4,1204.5,750622
Tech Mahindra Limited,TECHM,2023-11-21,1219.95,1221.15,1200.4,1204.5,1211.8,1129326
Tech Mahindra Limited,TECHM,2023-11-20,1204.9,1222.5,1202.75,1211.8,1202.75,1077366
Tech Mahindra Limited,TECHM,2023-11-17,1212.2,1213.95,1198.0,1202.75,1207.2,1176628
Tech Mahindra Limited,TECHM,2023-11-16,1175.0,1214.95,1167.4,1207.2,1173.75,2294942
Tech Mahindra Limited,TECHM,2023-11-15,1145.0,1178.85,1143.5,1173.75,1131.35,2816201
Tech Mahindra Limited,TECHM,2023-11-13,1140.6,1142.15,1128.0,1131.35,1142.15,435537
Tech Mahindra Limited,TECHM,2023-11-12,1146.0,1147.15,1140.0,1142.15,1138.15,86328
Tech Mahindra Limited,TECHM,2023-11-10,1122.0,1139.75,1121.5,1138.15,1123.95,706806
