StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Thermax Limited,THERMAX,2024-03-28,4190.0,4288.65,4151.2,4192.35,4187.05,86288
Thermax Limited,THERMAX,2024-03-27,4097.0,4208.0,4035.5,4187.05,4101.75,91835
Thermax Limited,THERMAX,2024-03-26,3920.0,4147.0,3899.0,4101.75,3898.85,292030
Thermax Limited,THERMAX,2024-03-22,3859.95,3952.05,3841.7,3898.85,3859.85,104721
Thermax Limited,THERMAX,2024-03-21,3700.9,3985.0,3666.45,3859.85,3685.1,260347
Thermax Limited,THERMAX,2024-03-20,3594.95,3731.95,3583.6,3685.1,3594.4,90209
Thermax Limited,THERMAX,2024-03-19,3714.9,3714.9,3571.15,3594.4,3690.5,71728
Thermax Limited,THERMAX,2024-03-18,3484.9,3725.0,3408.95,3690.5,3484.05,133565
Thermax Limited,THERMAX,2024-03-15,3610.0,3615.0,3450.0,3484.05,3609.75,481655
Thermax Limited,THERMAX,2024-03-14,3607.05,3640.0,3571.9,3609.75,3629.05,96849
Thermax Limited,THERMAX,2024-03-13,3609.75,3762.0,3542.85,3629.05,3618.1,204544
Thermax Limited,THERMAX,2024-03-12,3600.1,3669.7,3534.65,3618.1,3618.1,51422
Thermax Limited,THERMAX,2024-03-11,3669.9,3726.0,3431.6,3618.1,3641.7,141494
Thermax Limited,THERMAX,2024-03-07,3575.0,3677.95,3575.0,3641.7,3575.1,36604
Thermax Limited,THERMAX,2024-03-06,3677.95,3683.95,3551.0,3575.1,3675.75,84684
Thermax Limited,THERMAX,2024-03-05,3680.05,3699.0,3635.95,3675.75,3697.3,62762
Thermax Limited,THERMAX,2024-03-04,3666.35,3739.9,3591.25,3697.3,3666.6,48100
Thermax Limited,THERMAX,2024-03-02,3630.15,3698.95,3630.15,3666.6,3630.15,3419
Thermax Limited,THERMAX,2024-03-01,3637.25,3650.0,3592.05,3630.15,3637.25,220727
Thermax Limited,THERMAX,2024-02-29,3578.7,3645.35,3519.1,3637.25,3582.3,92159
Thermax Limited,THERMAX,2024-02-28,3699.0,3699.0,3540.0,3582.3,3698.5,309787
Thermax Limited,THERMAX,2024-02-27,3728.9,3739.35,3658.95,3698.5,3728.15,55483
Thermax Limited,THERMAX,2024-02-26,3754.85,3894.95,3701.1,3728.15,3739.85,144804
Thermax Limited,THERMAX,2024-02-23,3729.95,3772.9,3694.75,3739.85,3721.7,181934
