StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Tube Investments of India Limited,TIINDIA,2024-03-28,3825.0,3827.95,3706.0,3736.6,3805.9,318097
Tube Investments of India Limited,TIINDIA,2024-03-27,3750.0,3845.0,3726.15,3805.9,3742.45,260085
Tube Investments of India Limited,TIINDIA,2024-03-26,3734.55,3790.0,3702.6,3742.45,3743.95,140602
Tube Investments of India Limited,TIINDIA,2024-03-22,3721.0,3772.05,3675.0,3743.95,3707.1,121462
Tube Investments of India Limited,TIINDIA,2024-03-21,3555.1,3720.0,3541.15,3707.1,3551.55,322530
Tube Investments of India Limited,TIINDIA,2024-03-20,3519.6,3569.0,3490.0,3551.55,3501.2,192218
Tube Investments of India Limited,TIINDIA,2024-03-19,3504.05,3524.9,3471.15,3501.2,3510.6,57581
Tube Investments of India Limited,TIINDIA,2024-03-18,3539.55,3539.55,3482.05,3510.6,3560.65,117047
Tube Investments of India Limited,TIINDIA,2024-03-15,3570.1,3679.95,3500.1,3560.65,3580.8,265361
Tube Investments of India Limited,TIINDIA,2024-03-14,3446.0,3612.0,3398.5,3580.8,3455.3,124205
Tube Investments of India Limited,TIINDIA,2024-03-13,3548.0,3548.0,3410.5,3455.3,3548.05,172415
Tube Investments of India Limited,TIINDIA,2024-03-12,3540.35,3575.0,3492.0,3548.05,3556.5,105869
Tube Investments of India Limited,TIINDIA,2024-03-11,3524.95,3600.0,3456.0,3556.5,3498.7,248528
Tube Investments of India Limited,TIINDIA,2024-03-07,3543.05,3568.0,3472.6,3498.7,3543.05,213171
Tube Investments of India Limited,TIINDIA,2024-03-06,3560.0,3578.6,3501.15,3543.05,3563.7,211154
Tube Investments of India Limited,TIINDIA,2024-03-05,3649.0,3649.0,3530.0,3563.7,3653.1,220335
Tube Investments of India Limited,TIINDIA,2024-03-04,3741.05,3763.8,3630.0,3653.1,3759.0,209113
Tube Investments of India Limited,TIINDIA,2024-03-02,3720.05,3834.95,3620.0,3759.0,3713.9,28978
Tube Investments of India Limited,TIINDIA,2024-03-01,3520.0,3824.8,3510.95,3713.9,3488.65,296730
Tube Investments of India Limited,TIINDIA,2024-02-29,3528.4,3559.45,3432.3,3488.65,3533.5,389585
Tube Investments of India Limited,TIINDIA,2024-02-28,3554.95,3574.75,3510.1,3533.5,3555.4,297441
Tube Investments of India Limited,TIINDIA,2024-02-27,3571.75,3580.0,3523.25,3555.4,3571.7,157799
Tube Investments of India Limited,TIINDIA,2024-02-26,3644.0,3644.0,3552.45,3571.7,3622.65,76806
Tube Investments of India Limited,TIINDIA,2024-02-23,3708.7,3730.0,3605.0,3622.65,3688.55,98017
Tube Investments of India Limited,TIINDIA,2024-02-22,3681.65,3710.5,3567.0,3688.55,3663.35,113920
Tube Investments of India Limited,TIINDIA,2024-02-21,3730.55,3747.8,3618.0,3663.35,3723.4,104864
Tube Investments of India Limited,TIINDIA,2024-02-20,3698.25,3740.0,3654.4,3723.4,3713.15,89736
Tube Investments of India Limited,TIINDIA,2024-02-19,3720.0,3745.0,3633.15,3713.15,3657.75,99609
Tube Investments of India Limited,TIINDIA,2024-02-16,3489.0,3746.0,3471.25,3657.75,3480.3,203255
Tube Investments of India Limited,TIINDIA,2024-02-15,3514.55,3515.5,3453.0,3480.3,3497.1,103096
Tube Investments of India Limited,TIINDIA,2024-02-14,3452.0,3508.8,3445.0,3497.1,3494.0,101905
Tube Investments of India Limited,TIINDIA,2024-02-13,3496.0,3529.2,3462.2,3494.0,3497.15,79406
Tube Investments of India Limited,TIINDIA,2024-02-12,3509.65,3564.0,3430.25,3497.15,3459.2,137667
Tube Investments of India Limited,TIINDIA,2024-02-09,3625.0,3625.0,3441.15,3459.2,3507.45,191190
Tube Investments of India Limited,TIINDIA,2024-02-08,3601.0,3618.45,3501.0,3507.45,3600.45,143994
Tube Investments of India Limited,TIINDIA,2024-02-07,3600.0,3658.0,3585.0,3600.45,3598.25,260915
Tube Investments of India Limited,TIINDIA,2024-02-06,3627.0,3659.95,3581.65,3598.25,3608.05,270217
Tube Investments of India Limited,TIINDIA,2024-02-05,3645.0,3705.0,3580.0,3608.05,3644.0,338895
Tube Investments of India Limited,TIINDIA,2024-02-02,3779.35,3779.35,3621.1,3644.0,3779.35,459510
Tube Investments of India Limited,TIINDIA,2024-02-01,3943.8,4000.0,3601.0,3779.35,3898.05,252250
Tube Investments of India Limited,TIINDIA,2024-01-31,3885.05,3947.95,3851.05,3898.05,3932.8,313026
Tube Investments of India Limited,TIINDIA,2024-01-30,4050.05,4059.95,3835.0,3932.8,4073.65,287282
Tube Investments of India Limited,TIINDIA,2024-01-29,3915.0,4105.0,3893.0,4073.65,3987.9,176542
Tube Investments of India Limited,TIINDIA,2024-01-25,4025.6,4074.35,3915.0,3987.9,4006.2,165063
Tube Investments of India Limited,TIINDIA,2024-01-24,3961.0,4119.95,3776.0,4006.2,3932.3,274717
Tube Investments of India Limited,TIINDIA,2024-01-23,4045.0,4090.0,3900.0,3932.3,4044.8,304728
Tube Investments of India Limited,TIINDIA,2024-01-20,3849.6,4125.0,3825.0,4044.8,3854.5,133210
Tube Investments of India Limited,TIINDIA,2024-01-19,3850.0,3917.4,3756.0,3854.5,3849.55,284614
