StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Timken India Limited,TIMKEN,2024-03-28,2829.45,2868.0,2815.2,2859.5,2815.35,26848
Timken India Limited,TIMKEN,2024-03-27,2832.0,2832.0,2787.95,2815.35,2816.5,42587
Timken India Limited,TIMKEN,2024-03-26,2897.0,2897.0,2800.1,2816.5,2894.1,76300
Timken India Limited,TIMKEN,2024-03-22,2850.0,2910.45,2841.0,2894.1,2850.1,84335
Timken India Limited,TIMKEN,2024-03-21,2811.0,2865.0,2787.0,2850.1,2802.45,38027
Timken India Limited,TIMKEN,2024-03-20,2814.95,2825.0,2772.0,2802.45,2813.7,22583
Timken India Limited,TIMKEN,2024-03-19,2795.0,2821.35,2747.95,2813.7,2786.25,378459
Timken India Limited,TIMKEN,2024-03-18,2702.0,2825.95,2691.0,2786.25,2682.9,228845
Timken India Limited,TIMKEN,2024-03-15,2690.0,2740.0,2639.25,2682.9,2689.9,161260
Timken India Limited,TIMKEN,2024-03-14,2581.8,2695.0,2563.55,2689.9,2574.1,119841
Timken India Limited,TIMKEN,2024-03-13,2555.5,2630.0,2528.0,2574.1,2542.1,220233
Timken India Limited,TIMKEN,2024-03-12,2579.1,2600.0,2524.5,2542.1,2565.55,137252
Timken India Limited,TIMKEN,2024-03-11,2632.2,2632.95,2554.0,2565.55,2597.85,54686
Timken India Limited,TIMKEN,2024-03-07,2647.2,2653.1,2591.9,2597.85,2633.35,62930
Timken India Limited,TIMKEN,2024-03-06,2663.2,2668.65,2570.2,2633.35,2649.25,65638
Timken India Limited,TIMKEN,2024-03-05,2714.0,2732.0,2642.5,2649.25,2699.8,39255
Timken India Limited,TIMKEN,2024-03-04,2759.15,2765.3,2682.0,2699.8,2750.8,66880
Timken India Limited,TIMKEN,2024-03-02,2709.5,2755.0,2709.5,2750.8,2708.75,2224
Timken India Limited,TIMKEN,2024-03-01,2735.0,2799.0,2704.0,2708.75,2721.6,60408
