StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Titan Company Limited,TITAN,2024-03-28,3760.0,3838.3,3732.55,3801.8,3759.4,1590738
Titan Company Limited,TITAN,2024-03-27,3699.0,3784.9,3692.8,3759.4,3698.2,1315714
Titan Company Limited,TITAN,2024-03-26,3665.0,3729.95,3665.0,3698.2,3706.7,1158224
Titan Company Limited,TITAN,2024-03-22,3627.55,3726.9,3621.25,3706.7,3627.55,1281102
Titan Company Limited,TITAN,2024-03-21,3606.95,3637.0,3590.05,3627.55,3590.5,767905
Titan Company Limited,TITAN,2024-03-20,3583.4,3596.9,3550.0,3590.5,3583.4,526882
Titan Company Limited,TITAN,2024-03-19,3579.0,3606.65,3547.05,3583.4,3579.7,554444
Titan Company Limited,TITAN,2024-03-18,3619.0,3620.0,3565.1,3579.7,3633.2,785257
Titan Company Limited,TITAN,2024-03-15,3634.7,3655.95,3610.0,3633.2,3640.15,1207241
Titan Company Limited,TITAN,2024-03-14,3629.95,3648.0,3580.15,3640.15,3625.7,1293906
Titan Company Limited,TITAN,2024-03-13,3759.0,3762.0,3590.0,3625.7,3748.8,1027729
Titan Company Limited,TITAN,2024-03-12,3762.0,3766.0,3713.5,3748.8,3750.15,564569
Titan Company Limited,TITAN,2024-03-11,3802.9,3808.0,3742.05,3750.15,3786.9,597848
Titan Company Limited,TITAN,2024-03-07,3812.05,3824.25,3768.1,3786.9,3810.75,838514
Titan Company Limited,TITAN,2024-03-06,3748.05,3815.0,3702.7,3810.75,3750.75,765602
Titan Company Limited,TITAN,2024-03-05,3748.0,3759.15,3708.0,3750.75,3732.4,733660
Titan Company Limited,TITAN,2024-03-04,3761.6,3764.1,3715.0,3732.4,3764.1,787542
Titan Company Limited,TITAN,2024-03-02,3778.0,3778.0,3747.35,3764.1,3765.9,51206
Titan Company Limited,TITAN,2024-03-01,3630.0,3774.0,3626.0,3765.9,3624.4,1533727
Titan Company Limited,TITAN,2024-02-29,3595.2,3654.0,3585.3,3624.4,3594.7,1692242
Titan Company Limited,TITAN,2024-02-28,3655.0,3669.0,3582.15,3594.7,3653.85,538608
Titan Company Limited,TITAN,2024-02-27,3630.0,3675.0,3621.05,3653.85,3622.5,673959
Titan Company Limited,TITAN,2024-02-26,3690.0,3690.0,3610.85,3622.5,3691.95,546842
Titan Company Limited,TITAN,2024-02-23,3672.0,3737.0,3655.0,3691.95,3652.05,897831
Titan Company Limited,TITAN,2024-02-22,3676.0,3676.0,3555.35,3652.05,3656.35,1017437
Titan Company Limited,TITAN,2024-02-21,3652.05,3707.5,3640.0,3656.35,3686.7,660426
Titan Company Limited,TITAN,2024-02-20,3700.0,3719.95,3665.5,3686.7,3695.05,744107
Titan Company Limited,TITAN,2024-02-19,3671.95,3709.5,3650.0,3695.05,3655.4,528874
Titan Company Limited,TITAN,2024-02-16,3648.0,3690.0,3624.5,3655.4,3622.05,915502
Titan Company Limited,TITAN,2024-02-15,3595.05,3632.0,3571.0,3622.05,3585.55,759063
Titan Company Limited,TITAN,2024-02-14,3546.0,3593.85,3503.3,3585.55,3559.95,1046318
Titan Company Limited,TITAN,2024-02-13,3607.0,3608.75,3551.15,3559.95,3585.25,796060
Titan Company Limited,TITAN,2024-02-12,3599.0,3618.6,3570.05,3585.25,3591.6,487283
Titan Company Limited,TITAN,2024-02-09,3549.1,3597.9,3532.85,3591.6,3549.1,838509
Titan Company Limited,TITAN,2024-02-08,3604.8,3610.0,3503.0,3549.1,3576.5,1011857
Titan Company Limited,TITAN,2024-02-07,3578.0,3620.0,3555.8,3576.5,3559.15,900220
Titan Company Limited,TITAN,2024-02-06,3552.05,3577.95,3531.6,3559.15,3552.05,1069901
Titan Company Limited,TITAN,2024-02-05,3612.95,3624.65,3534.9,3552.05,3612.4,1771614
Titan Company Limited,TITAN,2024-02-02,3635.0,3713.45,3602.45,3612.4,3627.45,2320153
Titan Company Limited,TITAN,2024-02-01,3738.0,3738.0,3601.0,3627.45,3697.55,1408462
Titan Company Limited,TITAN,2024-01-31,3749.0,3775.0,3653.25,3697.55,3735.75,1386754
Titan Company Limited,TITAN,2024-01-30,3882.0,3886.95,3715.0,3735.75,3866.65,852445
Titan Company Limited,TITAN,2024-01-29,3760.6,3875.0,3760.55,3866.65,3770.2,699215
Titan Company Limited,TITAN,2024-01-25,3767.85,3767.85,3767.85,3767.85,2651.8,64252
Titan Company Limited,TITAN,2024-01-25,3770.4,3796.95,3730.1,3770.2,3767.85,646135
Titan Company Limited,TITAN,2024-01-24,3764.0,3780.0,3711.75,3767.85,3739.65,636988
Titan Company Limited,TITAN,2024-01-23,3786.0,3858.0,3705.75,3739.65,3784.7,1053510
Titan Company Limited,TITAN,2024-01-20,3833.95,3834.4,3780.0,3784.7,3810.6,238575
Titan Company Limited,TITAN,2024-01-19,3742.2,3861.5,3740.7,3810.6,3734.7,2566367
Titan Company Limited,TITAN,2024-01-18,3791.35,3824.65,3718.85,3734.7,3830.05,1293580
Titan Company Limited,TITAN,2024-01-17,3818.95,3855.0,3800.0,3830.05,3820.3,723356
Titan Company Limited,TITAN,2024-01-16,3758.85,3858.0,3756.0,3820.3,3758.85,1170685
Titan Company Limited,TITAN,2024-01-15,3740.0,3775.0,3736.0,3758.85,3726.0,661292
Titan Company Limited,TITAN,2024-01-12,3700.0,3734.3,3647.95,3726.0,3698.6,990582
Titan Company Limited,TITAN,2024-01-11,3726.9,3742.7,3692.6,3698.6,3714.45,392818
Titan Company Limited,TITAN,2024-01-10,3708.0,3730.0,3690.0,3714.45,3694.0,556311
Titan Company Limited,TITAN,2024-01-09,3736.95,3753.95,3685.15,3694.0,3706.05,572612
Titan Company Limited,TITAN,2024-01-08,3770.0,3776.85,3695.8,3706.05,3712.55,1202148
Titan Company Limited,TITAN,2024-01-05,3719.7,3750.0,3687.25,3712.55,3719.7,963628
Titan Company Limited,TITAN,2024-01-04,3696.0,3727.0,3686.65,3719.7,3693.05,545228
Titan Company Limited,TITAN,2024-01-03,3708.0,3709.95,3665.0,3693.05,3698.25,356757
Titan Company Limited,TITAN,2024-01-02,3689.0,3707.85,3642.5,3698.25,3677.15,453685
Titan Company Limited,TITAN,2024-01-01,3689.0,3698.0,3667.5,3677.15,3675.45,286683
Titan Company Limited,TITAN,2023-12-29,3715.1,3715.1,3660.25,3675.45,3715.1,709614
Titan Company Limited,TITAN,2023-12-28,3699.9,3737.0,3680.7,3715.1,3689.25,1033648
Titan Company Limited,TITAN,2023-12-27,3668.0,3695.0,3645.0,3689.25,3656.7,666625
