StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Tamilnad Mercantile Bank Limited,TMB,2024-03-28,486.95,490.0,474.55,485.6,476.25,145568
Tamilnad Mercantile Bank Limited,TMB,2024-03-27,457.0,495.6,450.95,476.25,456.35,453641
Tamilnad Mercantile Bank Limited,TMB,2024-03-26,462.4,467.45,455.0,456.35,462.4,120870
Tamilnad Mercantile Bank Limited,TMB,2024-03-22,462.6,466.0,459.55,462.4,462.6,60997
Tamilnad Mercantile Bank Limited,TMB,2024-03-21,465.0,470.0,460.0,462.6,460.8,62857
Tamilnad Mercantile Bank Limited,TMB,2024-03-20,460.0,463.9,456.1,460.8,464.3,88419
Tamilnad Mercantile Bank Limited,TMB,2024-03-19,469.95,470.0,461.05,464.3,467.05,64874
Tamilnad Mercantile Bank Limited,TMB,2024-03-18,469.8,470.0,461.4,467.05,462.8,84485
Tamilnad Mercantile Bank Limited,TMB,2024-03-15,455.05,466.5,455.05,462.8,455.55,87624
Tamilnad Mercantile Bank Limited,TMB,2024-03-14,453.4,466.0,451.0,455.55,453.4,93991
Tamilnad Mercantile Bank Limited,TMB,2024-03-13,472.85,472.85,451.0,453.4,468.15,206378
Tamilnad Mercantile Bank Limited,TMB,2024-03-12,480.3,483.0,465.0,468.15,480.3,122155
Tamilnad Mercantile Bank Limited,TMB,2024-03-11,490.0,490.0,478.8,480.3,483.95,61482
Tamilnad Mercantile Bank Limited,TMB,2024-03-07,478.05,486.55,477.1,483.95,477.4,43539
Tamilnad Mercantile Bank Limited,TMB,2024-03-06,482.0,484.6,475.55,477.4,482.3,60146
Tamilnad Mercantile Bank Limited,TMB,2024-03-05,481.65,488.0,480.9,482.3,483.9,45890
Tamilnad Mercantile Bank Limited,TMB,2024-03-04,490.0,490.0,480.95,483.9,487.55,43198
Tamilnad Mercantile Bank Limited,TMB,2024-03-02,489.9,490.0,483.8,487.55,484.05,6788
Tamilnad Mercantile Bank Limited,TMB,2024-03-01,485.3,487.5,483.0,484.05,484.75,34588
Tamilnad Mercantile Bank Limited,TMB,2024-02-29,480.85,490.15,474.2,484.75,476.1,109959
Tamilnad Mercantile Bank Limited,TMB,2024-02-28,485.85,485.9,469.0,476.1,481.05,86660
Tamilnad Mercantile Bank Limited,TMB,2024-02-27,488.1,489.25,480.1,481.05,483.25,79944
Tamilnad Mercantile Bank Limited,TMB,2024-02-26,495.0,495.05,480.6,483.25,490.7,81632
Tamilnad Mercantile Bank Limited,TMB,2024-02-23,494.9,497.35,489.7,490.7,490.4,36351
Tamilnad Mercantile Bank Limited,TMB,2024-02-22,492.0,494.35,484.8,490.4,491.65,86793
Tamilnad Mercantile Bank Limited,TMB,2024-02-21,490.5,497.0,490.5,491.65,491.15,46067
Tamilnad Mercantile Bank Limited,TMB,2024-02-20,495.5,500.0,489.25,491.15,496.15,69766
Tamilnad Mercantile Bank Limited,TMB,2024-02-19,499.0,504.7,491.55,496.15,498.6,72960
Tamilnad Mercantile Bank Limited,TMB,2024-02-16,473.5,507.7,468.05,498.6,471.75,532798
Tamilnad Mercantile Bank Limited,TMB,2024-02-15,480.25,483.3,469.85,471.75,479.7,176942
Tamilnad Mercantile Bank Limited,TMB,2024-02-14,485.3,489.15,477.35,479.7,493.0,100325
Tamilnad Mercantile Bank Limited,TMB,2024-02-13,487.1,494.3,478.7,493.0,487.1,101241
Tamilnad Mercantile Bank Limited,TMB,2024-02-12,499.85,499.85,485.5,487.1,493.65,54753
Tamilnad Mercantile Bank Limited,TMB,2024-02-09,497.0,498.05,490.0,493.65,497.0,51222
Tamilnad Mercantile Bank Limited,TMB,2024-02-08,507.95,507.95,496.0,497.0,504.85,115992
Tamilnad Mercantile Bank Limited,TMB,2024-02-07,501.0,514.0,500.0,504.85,499.75,180566
Tamilnad Mercantile Bank Limited,TMB,2024-02-06,495.0,508.45,495.0,499.75,496.35,103741
Tamilnad Mercantile Bank Limited,TMB,2024-02-05,497.0,499.4,492.5,496.35,494.7,84816
Tamilnad Mercantile Bank Limited,TMB,2024-02-02,505.85,505.85,490.5,494.7,499.75,134645
