StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-28,2568.75,2625.0,2522.0,2600.6,2572.4,370338
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-27,2594.25,2599.0,2515.05,2572.4,2570.5,257181
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-26,2560.25,2610.0,2548.8,2570.5,2559.8,300411
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-22,2554.4,2575.55,2532.0,2559.8,2554.4,133752
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-21,2529.85,2561.3,2500.5,2554.4,2518.95,176094
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-20,2519.0,2531.15,2489.3,2518.95,2501.5,174271
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-19,2584.0,2584.0,2487.8,2501.5,2569.65,368335
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-18,2602.0,2602.0,2544.0,2569.65,2594.45,452371
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-15,2711.1,2711.1,2577.0,2594.45,2690.4,493248
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-14,2652.0,2731.0,2643.05,2690.4,2663.95,566479
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-13,2678.3,2690.45,2638.95,2663.95,2673.95,413261
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-12,2697.8,2711.95,2655.05,2673.95,2697.8,136884
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-11,2691.35,2744.0,2664.8,2697.8,2664.8,375130
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-07,2685.5,2693.85,2645.0,2664.8,2691.2,414029
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-07,2691.2,2691.2,2691.2,2691.2,1669.05,63294
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-06,2684.0,2742.6,2642.4,2691.2,2661.95,538870
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-05,2690.85,2699.0,2648.25,2661.95,2690.85,199888
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-04,2699.55,2733.0,2681.55,2690.85,2691.5,239363
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-02,2689.95,2703.45,2655.45,2691.5,2668.65,9800
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-03-01,2686.1,2723.95,2658.05,2668.65,2666.1,435032
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-02-29,2614.15,2675.0,2586.65,2666.1,2613.1,470994
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-02-28,2632.45,2657.95,2593.4,2613.1,2625.95,89697
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-02-27,2624.05,2644.75,2606.7,2625.95,2624.1,107979
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-02-26,2626.95,2643.9,2611.1,2624.1,2626.95,72375
Torrent Pharmaceuticals Limited,TORNTPHARM,2024-02-23,2610.0,2638.6,2598.1,2626.95,2608.0,184936
