StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Torrent Power Limited,TORNTPOWER,2024-03-28,1420.0,1449.0,1331.1,1357.95,1420.05,2886474
Torrent Power Limited,TORNTPOWER,2024-03-27,1391.95,1514.7,1365.05,1420.05,1405.0,8682246
Torrent Power Limited,TORNTPOWER,2024-03-26,1279.7,1443.9,1274.7,1405.0,1283.65,4289126
Torrent Power Limited,TORNTPOWER,2024-03-22,1244.45,1296.7,1226.0,1283.65,1244.45,1177615
Torrent Power Limited,TORNTPOWER,2024-03-21,1235.0,1256.0,1217.05,1244.45,1220.0,944303
Torrent Power Limited,TORNTPOWER,2024-03-20,1248.0,1260.0,1187.95,1220.0,1264.0,2356398
Torrent Power Limited,TORNTPOWER,2024-03-19,1192.2,1281.15,1165.0,1264.0,1190.35,3474052
Torrent Power Limited,TORNTPOWER,2024-03-18,1189.95,1249.5,1176.0,1190.35,1155.95,5326912
Torrent Power Limited,TORNTPOWER,2024-03-15,1127.25,1185.0,1115.45,1155.95,1143.95,787157
Torrent Power Limited,TORNTPOWER,2024-03-14,1132.4,1151.75,1104.1,1143.95,1135.95,853841
Torrent Power Limited,TORNTPOWER,2024-03-13,1205.5,1205.85,1125.0,1135.95,1198.7,1519388
Torrent Power Limited,TORNTPOWER,2024-03-12,1162.0,1211.7,1144.0,1198.7,1159.15,3778555
Torrent Power Limited,TORNTPOWER,2024-03-11,1170.0,1287.5,1137.1,1159.15,1144.6,9547108
Torrent Power Limited,TORNTPOWER,2024-03-07,1161.75,1173.4,1140.0,1144.6,1161.75,523306
Torrent Power Limited,TORNTPOWER,2024-03-06,1141.95,1174.0,1139.6,1161.75,1144.7,1017060
Torrent Power Limited,TORNTPOWER,2024-03-05,1145.7,1161.55,1129.25,1144.7,1145.7,930614
Torrent Power Limited,TORNTPOWER,2024-03-04,1160.6,1169.85,1138.0,1145.7,1149.15,1273651
Torrent Power Limited,TORNTPOWER,2024-03-02,1160.0,1172.05,1146.6,1149.15,1116.25,207010
Torrent Power Limited,TORNTPOWER,2024-03-01,1087.6,1139.0,1087.55,1116.25,1077.85,980882
Torrent Power Limited,TORNTPOWER,2024-02-29,1124.6,1127.75,1064.5,1077.85,1117.7,6486191
Torrent Power Limited,TORNTPOWER,2024-02-28,1158.85,1197.0,1085.0,1117.7,1151.15,1672445
Torrent Power Limited,TORNTPOWER,2024-02-27,1119.4,1167.0,1114.5,1151.15,1116.1,1206377
Torrent Power Limited,TORNTPOWER,2024-02-26,1129.3,1151.0,1102.4,1116.1,1125.9,920294
Torrent Power Limited,TORNTPOWER,2024-02-23,1128.0,1153.0,1114.85,1125.9,1119.25,1239321
Torrent Power Limited,TORNTPOWER,2024-02-22,1127.45,1146.3,1111.2,1119.25,1124.7,519833
Torrent Power Limited,TORNTPOWER,2024-02-21,1156.2,1160.0,1120.0,1124.7,1150.4,697562
Torrent Power Limited,TORNTPOWER,2024-02-20,1204.05,1234.0,1131.0,1150.4,1180.45,1537362
Torrent Power Limited,TORNTPOWER,2024-02-19,1177.1,1201.25,1170.1,1180.45,1173.5,379899
Torrent Power Limited,TORNTPOWER,2024-02-16,1211.0,1219.0,1162.3,1173.5,1208.45,1637423
Torrent Power Limited,TORNTPOWER,2024-02-15,1134.0,1236.95,1134.0,1208.45,1130.8,2399731
Torrent Power Limited,TORNTPOWER,2024-02-14,1117.0,1162.95,1056.95,1130.8,1119.35,809686
