StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Trent Limited,TRENT,2024-03-28,3875.2,3975.0,3875.2,3948.0,3875.2,837624
Trent Limited,TRENT,2024-03-28,3914.5,3955.0,3914.5,3948.0,3875.2,2
Trent Limited,TRENT,2024-03-27,3882.5,3922.5,3867.0,3875.2,3881.75,524636
Trent Limited,TRENT,2024-03-26,3885.0,3948.6,3866.05,3881.75,3948.6,844731
Trent Limited,TRENT,2024-03-22,4010.0,4025.0,3921.95,3948.6,4001.85,678055
Trent Limited,TRENT,2024-03-21,3965.0,4015.7,3957.7,4001.85,3965.05,622994
Trent Limited,TRENT,2024-03-20,3971.45,4004.95,3843.25,3965.05,3955.65,607192
Trent Limited,TRENT,2024-03-19,4080.0,4088.0,3943.7,3955.65,4071.05,489357
Trent Limited,TRENT,2024-03-18,4063.9,4084.0,4005.9,4071.05,4063.9,328538
Trent Limited,TRENT,2024-03-15,4051.05,4145.0,3981.25,4063.9,4081.1,1197832
Trent Limited,TRENT,2024-03-14,3900.0,4105.0,3870.6,4081.1,3944.05,723158
Trent Limited,TRENT,2024-03-13,4022.95,4037.95,3877.5,3944.05,4008.6,968084
Trent Limited,TRENT,2024-03-12,4025.8,4078.6,3957.55,4008.6,4004.7,899570
Trent Limited,TRENT,2024-03-11,3982.0,4243.95,3900.1,4004.7,3952.2,3757634
Trent Limited,TRENT,2024-03-07,3890.0,3978.0,3840.3,3952.2,3872.0,680535
Trent Limited,TRENT,2024-03-06,3876.45,3893.85,3750.25,3872.0,3852.3,1009678
Trent Limited,TRENT,2024-03-05,3929.5,3935.85,3845.05,3852.3,3919.8,549270
Trent Limited,TRENT,2024-03-04,3909.6,3936.75,3842.5,3919.8,3909.6,291319
Trent Limited,TRENT,2024-03-02,3922.7,3935.0,3900.0,3909.6,3901.25,26075
Trent Limited,TRENT,2024-03-01,3924.0,3928.95,3858.35,3901.25,3881.8,645099
Trent Limited,TRENT,2024-02-29,3931.45,3969.95,3782.0,3881.8,3924.8,1235124
Trent Limited,TRENT,2024-02-28,3939.95,3954.95,3885.0,3924.8,3937.5,411252
Trent Limited,TRENT,2024-02-27,3864.8,3995.0,3841.8,3937.5,3844.6,861671
Trent Limited,TRENT,2024-02-26,3875.0,3913.95,3824.0,3844.6,3885.8,671311
Trent Limited,TRENT,2024-02-23,3950.0,3950.0,3868.45,3885.8,3954.0,555204
Trent Limited,TRENT,2024-02-22,3922.0,3966.0,3829.7,3954.0,3894.75,1012228
Trent Limited,TRENT,2024-02-21,4045.1,4047.05,3873.85,3894.75,4025.9,614056
Trent Limited,TRENT,2024-02-20,4057.95,4074.2,4010.55,4025.9,4047.15,468003
Trent Limited,TRENT,2024-02-19,4048.0,4099.8,4013.7,4047.15,4024.6,374829
