StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Triveni Turbine Limited,TRITURBINE,2024-03-28,547.0,547.0,524.55,536.7,546.0,1560344
Triveni Turbine Limited,TRITURBINE,2024-03-27,542.85,559.0,530.85,546.0,537.6,2873936
Triveni Turbine Limited,TRITURBINE,2024-03-26,500.0,545.65,497.15,537.6,502.35,4223986
Triveni Turbine Limited,TRITURBINE,2024-03-22,498.05,508.0,493.1,502.35,499.75,907958
Triveni Turbine Limited,TRITURBINE,2024-03-21,487.7,517.5,486.5,499.75,482.6,3577176
Triveni Turbine Limited,TRITURBINE,2024-03-20,488.35,496.45,478.15,482.6,488.35,2273204
Triveni Turbine Limited,TRITURBINE,2024-03-19,463.0,504.7,460.1,488.35,461.5,12707665
Triveni Turbine Limited,TRITURBINE,2024-03-18,470.9,474.75,458.4,461.5,472.25,346530
Triveni Turbine Limited,TRITURBINE,2024-03-15,467.95,475.0,458.55,472.25,471.25,609636
Triveni Turbine Limited,TRITURBINE,2024-03-14,458.0,476.0,445.0,471.25,461.1,994002
Triveni Turbine Limited,TRITURBINE,2024-03-13,467.9,477.95,449.5,461.1,468.15,1190455
Triveni Turbine Limited,TRITURBINE,2024-03-12,480.6,484.15,462.65,468.15,480.65,653245
Triveni Turbine Limited,TRITURBINE,2024-03-11,497.95,501.4,473.75,480.65,484.65,1566284
Triveni Turbine Limited,TRITURBINE,2024-03-07,479.9,489.0,475.6,484.65,475.6,912598
Triveni Turbine Limited,TRITURBINE,2024-03-06,487.0,491.0,463.3,475.6,480.55,1367047
Triveni Turbine Limited,TRITURBINE,2024-03-05,496.4,515.95,478.0,480.55,492.4,2488644
Triveni Turbine Limited,TRITURBINE,2024-03-04,518.0,518.0,490.3,492.4,514.15,1877080
Triveni Turbine Limited,TRITURBINE,2024-03-02,495.9,516.0,490.2,514.15,491.45,674123
Triveni Turbine Limited,TRITURBINE,2024-03-01,498.2,504.9,486.6,491.45,498.2,1965936
Triveni Turbine Limited,TRITURBINE,2024-02-29,469.25,503.0,458.05,498.2,466.1,10002556
Triveni Turbine Limited,TRITURBINE,2024-02-28,465.3,498.7,447.95,466.1,459.2,10260156
Triveni Turbine Limited,TRITURBINE,2024-02-27,458.0,461.45,436.45,459.2,456.1,914387
Triveni Turbine Limited,TRITURBINE,2024-02-26,457.6,459.6,442.35,456.1,457.3,396270
Triveni Turbine Limited,TRITURBINE,2024-02-23,468.0,472.0,452.25,457.3,455.65,435468
Triveni Turbine Limited,TRITURBINE,2024-02-22,460.0,464.35,445.1,455.65,453.9,485008
Triveni Turbine Limited,TRITURBINE,2024-02-21,452.0,459.8,440.5,453.9,451.25,504060
Triveni Turbine Limited,TRITURBINE,2024-02-20,463.5,467.85,445.1,451.25,458.05,292056
Triveni Turbine Limited,TRITURBINE,2024-02-19,466.0,467.75,450.35,458.05,460.85,303813
Triveni Turbine Limited,TRITURBINE,2024-02-16,461.95,471.45,447.05,460.85,459.1,482496
Triveni Turbine Limited,TRITURBINE,2024-02-15,445.0,463.45,430.0,459.1,437.25,888403
Triveni Turbine Limited,TRITURBINE,2024-02-14,427.0,449.0,427.0,437.25,445.55,338150
Triveni Turbine Limited,TRITURBINE,2024-02-13,428.55,451.95,420.05,445.55,428.35,788868
Triveni Turbine Limited,TRITURBINE,2024-02-12,467.8,472.1,423.4,428.35,466.4,958540
Triveni Turbine Limited,TRITURBINE,2024-02-09,465.05,473.05,446.2,466.4,469.05,2122628
Triveni Turbine Limited,TRITURBINE,2024-02-08,477.2,482.3,458.1,469.05,469.6,3772709
Triveni Turbine Limited,TRITURBINE,2024-02-07,429.0,498.0,414.1,469.6,424.8,11226518
Triveni Turbine Limited,TRITURBINE,2024-02-06,375.0,424.8,369.1,424.8,354.0,14214394
Triveni Turbine Limited,TRITURBINE,2024-02-05,367.35,370.35,350.35,354.0,367.2,849558
