StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Triveni Engineering & Industries Limited,TRIVENI,2024-03-28,316.9,319.2,308.1,311.1,314.35,398225
Triveni Engineering & Industries Limited,TRIVENI,2024-03-27,322.4,322.4,313.0,314.35,319.65,317941
Triveni Engineering & Industries Limited,TRIVENI,2024-03-26,315.5,322.6,315.5,319.65,318.15,286165
Triveni Engineering & Industries Limited,TRIVENI,2024-03-22,318.9,323.05,315.95,318.15,319.9,427686
Triveni Engineering & Industries Limited,TRIVENI,2024-03-21,322.0,323.85,318.5,319.9,318.75,190753
Triveni Engineering & Industries Limited,TRIVENI,2024-03-20,318.0,319.95,312.35,318.75,316.75,249933
Triveni Engineering & Industries Limited,TRIVENI,2024-03-19,324.3,324.3,315.45,316.75,323.3,376025
Triveni Engineering & Industries Limited,TRIVENI,2024-03-18,317.55,325.25,312.95,323.3,315.8,379323
Triveni Engineering & Industries Limited,TRIVENI,2024-03-15,315.9,322.0,308.0,315.8,314.3,298100
Triveni Engineering & Industries Limited,TRIVENI,2024-03-14,307.8,322.75,305.0,314.3,307.8,337870
Triveni Engineering & Industries Limited,TRIVENI,2024-03-13,323.95,329.75,304.5,307.8,322.7,841562
Triveni Engineering & Industries Limited,TRIVENI,2024-03-12,336.6,339.0,322.0,322.7,334.9,508564
Triveni Engineering & Industries Limited,TRIVENI,2024-03-11,335.9,340.65,332.3,334.9,335.3,485046
Triveni Engineering & Industries Limited,TRIVENI,2024-03-07,335.55,338.0,332.0,335.3,335.55,377543
Triveni Engineering & Industries Limited,TRIVENI,2024-03-06,345.0,345.0,333.0,335.55,345.6,490578
Triveni Engineering & Industries Limited,TRIVENI,2024-03-05,354.0,356.0,344.05,345.6,353.85,776835
Triveni Engineering & Industries Limited,TRIVENI,2024-03-04,331.5,357.05,326.65,353.85,329.35,4511586
Triveni Engineering & Industries Limited,TRIVENI,2024-03-02,323.95,332.0,323.95,329.35,322.4,63925
Triveni Engineering & Industries Limited,TRIVENI,2024-03-01,332.35,334.35,322.0,322.4,329.85,681550
Triveni Engineering & Industries Limited,TRIVENI,2024-02-29,346.0,346.5,328.35,329.85,337.15,794752
Triveni Engineering & Industries Limited,TRIVENI,2024-02-28,350.0,353.4,335.2,337.15,342.6,748688
Triveni Engineering & Industries Limited,TRIVENI,2024-02-27,342.0,345.1,340.05,342.6,342.85,155464
Triveni Engineering & Industries Limited,TRIVENI,2024-02-26,346.0,348.65,341.75,342.85,347.1,174608
Triveni Engineering & Industries Limited,TRIVENI,2024-02-23,349.05,352.8,346.05,347.1,348.05,194257
Triveni Engineering & Industries Limited,TRIVENI,2024-02-22,352.45,353.0,343.05,348.05,350.45,362059
Triveni Engineering & Industries Limited,TRIVENI,2024-02-21,353.5,354.6,347.8,350.45,350.75,434162
Triveni Engineering & Industries Limited,TRIVENI,2024-02-20,348.75,355.45,345.05,350.75,346.75,538646
Triveni Engineering & Industries Limited,TRIVENI,2024-02-19,342.0,351.0,341.0,346.75,337.9,808870
Triveni Engineering & Industries Limited,TRIVENI,2024-02-16,338.4,344.4,334.25,337.9,335.95,261486
Triveni Engineering & Industries Limited,TRIVENI,2024-02-15,335.45,339.25,333.0,335.95,332.85,264646
Triveni Engineering & Industries Limited,TRIVENI,2024-02-14,328.75,340.95,325.9,332.85,331.65,439225
Triveni Engineering & Industries Limited,TRIVENI,2024-02-13,333.6,335.0,325.95,331.65,333.6,276354
Triveni Engineering & Industries Limited,TRIVENI,2024-02-12,350.0,351.3,330.6,333.6,348.55,439555
Triveni Engineering & Industries Limited,TRIVENI,2024-02-09,355.9,355.9,338.45,348.55,358.1,537019
Triveni Engineering & Industries Limited,TRIVENI,2024-02-08,362.15,364.4,354.6,358.1,362.1,563283
Triveni Engineering & Industries Limited,TRIVENI,2024-02-07,355.0,368.4,352.05,362.1,352.65,2025806
Triveni Engineering & Industries Limited,TRIVENI,2024-02-06,352.5,356.0,346.7,352.65,349.9,731546
Triveni Engineering & Industries Limited,TRIVENI,2024-02-05,339.9,361.4,339.7,349.9,337.9,2084611
Triveni Engineering & Industries Limited,TRIVENI,2024-02-02,339.0,344.65,336.75,337.9,336.95,643389
Triveni Engineering & Industries Limited,TRIVENI,2024-02-01,342.3,345.0,333.85,336.95,342.25,390733
Triveni Engineering & Industries Limited,TRIVENI,2024-01-31,330.0,345.25,330.0,342.25,328.1,1217066
Triveni Engineering & Industries Limited,TRIVENI,2024-01-30,332.5,334.8,326.75,328.1,330.8,471347
Triveni Engineering & Industries Limited,TRIVENI,2024-01-29,332.35,337.95,322.6,330.8,330.3,775652
Triveni Engineering & Industries Limited,TRIVENI,2024-01-25,327.5,335.75,326.1,330.3,326.1,398557
Triveni Engineering & Industries Limited,TRIVENI,2024-01-24,324.75,328.0,321.7,326.1,325.0,349425
Triveni Engineering & Industries Limited,TRIVENI,2024-01-23,336.0,337.6,323.05,325.0,334.75,638127
Triveni Engineering & Industries Limited,TRIVENI,2024-01-20,344.95,345.0,333.9,334.75,341.35,318975
Triveni Engineering & Industries Limited,TRIVENI,2024-01-19,337.0,344.95,333.5,341.35,334.65,678272
Triveni Engineering & Industries Limited,TRIVENI,2024-01-18,330.0,337.65,324.2,334.65,328.35,484027
Triveni Engineering & Industries Limited,TRIVENI,2024-01-17,333.0,333.6,327.1,328.35,333.7,271231
Triveni Engineering & Industries Limited,TRIVENI,2024-01-16,334.0,336.75,331.9,333.7,334.9,358414
Triveni Engineering & Industries Limited,TRIVENI,2024-01-15,336.75,336.95,332.2,334.9,334.15,302920
Triveni Engineering & Industries Limited,TRIVENI,2024-01-12,334.75,336.05,332.8,334.15,333.05,231085
Triveni Engineering & Industries Limited,TRIVENI,2024-01-11,338.85,341.85,332.0,333.05,338.3,482322
Triveni Engineering & Industries Limited,TRIVENI,2024-01-10,341.0,342.4,336.15,338.3,341.05,288429
Triveni Engineering & Industries Limited,TRIVENI,2024-01-09,340.55,343.65,337.0,341.05,338.95,377830
Triveni Engineering & Industries Limited,TRIVENI,2024-01-08,343.85,344.0,337.25,338.95,341.15,183720
Triveni Engineering & Industries Limited,TRIVENI,2024-01-05,340.1,344.6,338.5,341.15,341.0,298937
Triveni Engineering & Industries Limited,TRIVENI,2024-01-04,340.0,344.05,338.5,341.0,338.65,320282
Triveni Engineering & Industries Limited,TRIVENI,2024-01-03,341.0,341.6,337.65,338.65,339.7,263244
Triveni Engineering & Industries Limited,TRIVENI,2024-01-02,346.05,346.95,337.3,339.7,345.1,350186
Triveni Engineering & Industries Limited,TRIVENI,2024-01-01,345.05,349.0,342.1,345.1,344.7,518097
Triveni Engineering & Industries Limited,TRIVENI,2023-12-29,346.0,355.0,342.35,344.7,346.3,1461366
Triveni Engineering & Industries Limited,TRIVENI,2023-12-28,338.75,349.0,334.8,346.3,336.45,845388
