StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-28,75.5,76.8,73.5,74.0,74.9,5250643
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-27,76.95,77.95,74.25,74.9,76.65,7095523
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-26,78.35,79.75,76.1,76.65,78.55,3979851
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-22,78.45,80.2,78.25,78.55,78.25,3558835
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-21,79.2,80.7,77.85,78.25,78.1,3141215
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-20,78.2,79.8,76.85,78.1,77.4,4259519
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-19,80.0,80.25,76.9,77.4,80.0,3780174
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-18,79.55,82.25,79.4,80.0,79.05,6285697
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-15,80.9,82.2,78.0,79.05,80.65,4415878
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-14,74.25,81.3,73.5,80.65,74.2,7717171
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-13,81.1,83.55,73.15,74.2,81.45,9408255
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-12,85.6,86.25,81.0,81.45,85.6,5360962
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-11,90.3,90.3,85.0,85.6,89.95,5165341
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-07,83.65,91.15,83.55,89.95,83.35,20278143
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-06,85.9,86.3,81.0,83.35,85.8,4441213
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-05,86.65,87.4,85.5,85.8,86.65,2347087
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-04,88.0,88.45,86.3,86.65,87.85,2613610
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-02,87.3,88.2,87.0,87.85,87.3,483518
Tata Teleservices (Maharashtra) Limited,TTML,2024-03-01,87.65,88.9,86.75,87.3,87.45,2488127
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-29,86.75,88.75,84.45,87.45,86.6,4003248
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-28,89.0,89.45,86.2,86.6,89.0,3597501
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-27,89.15,91.75,88.4,89.0,89.1,3782462
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-26,90.25,90.3,88.6,89.1,89.9,3077574
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-23,90.8,91.2,89.5,89.9,90.45,2530801
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-22,89.35,91.3,88.3,90.45,88.9,5221407
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-21,91.6,92.0,88.45,88.9,91.25,6129924
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-20,92.2,92.7,90.9,91.25,92.0,3152619
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-19,91.25,93.3,90.9,92.0,90.75,4540053
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-16,92.95,93.4,90.1,90.75,92.5,4541893
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-15,93.0,94.4,91.7,92.5,92.4,4857041
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-14,89.15,93.4,88.6,92.4,91.05,6008673
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-13,89.25,91.65,87.0,91.05,89.3,8729003
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-12,99.35,99.45,88.1,89.3,98.25,16690661
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-09,105.2,106.6,93.7,98.25,103.75,34628454
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-08,96.75,105.2,95.75,103.75,96.1,63703367
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-07,92.35,98.75,92.2,96.1,92.1,27860777
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-06,93.2,94.5,91.2,92.1,92.75,7613636
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-05,93.0,97.0,91.4,92.75,92.35,18933299
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-02,91.45,95.8,91.1,92.35,90.8,16696893
Tata Teleservices (Maharashtra) Limited,TTML,2024-02-01,93.15,93.6,90.5,90.8,92.7,4630329
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-31,88.75,94.45,88.3,92.7,88.55,15568290
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-30,90.65,91.05,88.2,88.55,90.2,5088339
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-29,91.05,92.8,89.1,90.2,91.0,5841783
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-25,89.85,93.3,89.65,91.0,89.9,11939538
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-24,87.15,91.6,86.3,89.9,87.25,6695299
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-23,89.65,93.1,86.05,87.25,89.4,8996562
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-20,89.75,92.25,89.15,89.4,89.35,4864331
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-19,90.35,91.45,89.05,89.35,89.35,3567816
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-18,88.6,90.25,85.85,89.35,88.6,5332156
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-17,89.75,90.25,88.3,88.6,90.65,5692232
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-16,92.95,93.6,89.3,90.65,92.9,6201153
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-15,94.2,94.8,92.55,92.9,93.7,4779470
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-12,93.7,95.6,93.35,93.7,93.0,6748121
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-11,94.1,95.4,92.7,93.0,93.65,5525819
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-10,95.05,95.3,92.7,93.65,95.4,7170635
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-09,95.85,99.25,92.55,95.4,94.8,19878964
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-08,92.0,98.85,90.9,94.8,91.6,34812235
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-05,92.1,94.0,91.35,91.6,91.8,6131970
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-04,91.15,94.25,91.1,91.8,90.7,7588091
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-03,91.2,92.3,90.45,90.7,91.25,2415922
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-02,91.7,92.4,90.45,91.25,91.4,3298817
Tata Teleservices (Maharashtra) Limited,TTML,2024-01-01,91.7,92.75,91.1,91.4,91.65,2624139
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-29,91.15,92.9,90.35,91.65,90.95,3588574
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-28,92.65,92.7,90.65,90.95,92.05,2403152
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-27,90.75,94.05,90.6,92.05,90.25,4392782
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-26,92.15,92.45,89.8,90.25,92.0,2803388
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-22,90.45,93.45,90.45,92.0,89.5,5391518
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-21,88.2,91.3,87.2,89.5,89.3,4835738
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-20,95.45,95.85,88.65,89.3,94.65,10281177
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-19,97.95,98.2,94.2,94.65,97.55,7425019
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-18,92.5,98.3,92.5,97.55,91.15,27687040
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-15,92.0,93.4,90.7,91.15,91.75,4336773
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-14,90.0,93.2,89.8,91.75,90.0,6434058
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-13,90.4,91.8,89.45,90.0,90.2,2823856
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-12,91.85,92.8,90.0,90.2,91.85,3240372
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-11,92.3,93.5,91.6,91.85,92.55,2716452
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-08,92.25,94.3,91.75,92.55,92.3,4157546
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-07,92.5,93.45,91.2,92.3,92.9,3759476
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-06,92.1,95.3,91.0,92.9,91.8,4958196
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-05,93.95,94.45,91.55,91.8,93.75,3900842
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-04,95.75,95.8,93.3,93.75,94.1,4314612
Tata Teleservices (Maharashtra) Limited,TTML,2023-12-01,97.0,97.1,92.3,94.1,95.2,8845546
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-30,94.25,96.8,92.75,95.2,93.45,16020246
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-29,88.5,93.95,87.7,93.45,88.2,14842109
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-28,89.5,89.75,88.05,88.2,89.0,2239390
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-24,89.0,91.95,88.5,89.0,88.55,6282337
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-23,86.45,91.4,86.25,88.55,85.8,9349140
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-22,87.45,88.9,85.6,85.8,87.45,3066679
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-21,88.0,89.0,87.2,87.45,87.95,1885702
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-20,89.05,90.0,87.5,87.95,88.95,1835199
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-17,89.55,91.35,88.4,88.95,90.05,2962425
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-16,90.7,92.1,89.6,90.05,90.65,2796077
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-15,89.65,92.5,89.1,90.65,88.8,4552913
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-13,88.65,90.5,87.9,88.8,88.65,1838680
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-12,88.75,89.0,88.4,88.65,88.0,574717
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-10,88.9,88.95,87.8,88.0,89.25,1321432
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-09,89.5,90.4,88.8,89.25,89.1,2164380
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-08,90.0,91.6,88.6,89.1,89.85,2646809
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-07,89.85,91.25,89.2,89.85,89.6,2547857
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-06,88.0,91.9,87.9,89.6,87.3,4395316
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-03,88.0,89.0,87.05,87.3,87.4,1989920
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-02,88.5,88.7,87.1,87.4,87.0,1586536
Tata Teleservices (Maharashtra) Limited,TTML,2023-11-01,86.9,89.55,85.8,87.0,86.05,3317563
Tata Teleservices (Maharashtra) Limited,TTML,2023-10-31,86.7,87.95,85.5,86.05,85.7,1773585
Tata Teleservices (Maharashtra) Limited,TTML,2023-10-30,86.1,87.25,84.8,85.7,86.75,2746935
Tata Teleservices (Maharashtra) Limited,TTML,2023-10-27,86.15,88.75,86.15,86.75,85.55,3000821
Tata Teleservices (Maharashtra) Limited,TTML,2023-10-26,87.35,87.35,83.5,85.55,87.55,3755440
Tata Teleservices (Maharashtra) Limited,TTML,2023-10-25,88.0,92.55,86.4,87.55,85.2,9335427
Tata Teleservices (Maharashtra) Limited,TTML,2023-10-23,93.95,93.95,83.5,85.2,93.2,7136729
