StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
TV18 Broadcast Limited,TV18BRDCST,2024-03-28,47.7,48.4,45.65,46.4,46.9,5345705
TV18 Broadcast Limited,TV18BRDCST,2024-03-27,49.4,49.9,46.15,46.9,48.45,8194368
TV18 Broadcast Limited,TV18BRDCST,2024-03-26,50.4,50.4,47.95,48.45,49.6,4937680
TV18 Broadcast Limited,TV18BRDCST,2024-03-22,48.45,50.0,48.4,49.6,48.0,3739161
TV18 Broadcast Limited,TV18BRDCST,2024-03-21,48.45,49.0,47.65,48.0,47.65,2792575
TV18 Broadcast Limited,TV18BRDCST,2024-03-20,49.65,49.7,46.8,47.65,49.15,2667834
TV18 Broadcast Limited,TV18BRDCST,2024-03-19,50.85,51.0,48.75,49.15,51.3,3241030
TV18 Broadcast Limited,TV18BRDCST,2024-03-18,49.2,51.3,48.8,51.3,48.9,2901908
TV18 Broadcast Limited,TV18BRDCST,2024-03-15,47.0,49.35,46.05,48.9,47.0,6186499
TV18 Broadcast Limited,TV18BRDCST,2024-03-14,44.0,48.1,44.0,47.0,46.3,6275724
TV18 Broadcast Limited,TV18BRDCST,2024-03-13,48.75,50.7,46.3,46.3,48.7,3480016
TV18 Broadcast Limited,TV18BRDCST,2024-03-12,49.7,50.85,48.15,48.7,50.65,6955438
TV18 Broadcast Limited,TV18BRDCST,2024-03-11,53.45,53.5,50.2,50.65,52.75,3348442
TV18 Broadcast Limited,TV18BRDCST,2024-03-07,50.5,54.0,49.8,52.75,51.45,7835287
TV18 Broadcast Limited,TV18BRDCST,2024-03-06,52.9,53.0,50.9,51.45,53.55,4926855
TV18 Broadcast Limited,TV18BRDCST,2024-03-05,53.6,55.5,53.15,53.55,55.95,6384602
TV18 Broadcast Limited,TV18BRDCST,2024-03-04,59.25,59.25,55.95,55.95,58.9,2915790
TV18 Broadcast Limited,TV18BRDCST,2024-03-02,57.6,59.4,57.0,58.9,56.95,1920589
TV18 Broadcast Limited,TV18BRDCST,2024-03-01,57.5,59.45,56.6,56.95,59.55,9707505
TV18 Broadcast Limited,TV18BRDCST,2024-02-29,64.0,64.0,59.55,59.55,62.65,4712815
TV18 Broadcast Limited,TV18BRDCST,2024-02-28,64.7,65.25,61.4,62.65,64.6,5241301
TV18 Broadcast Limited,TV18BRDCST,2024-02-27,65.3,65.95,64.05,64.6,65.3,2536234
TV18 Broadcast Limited,TV18BRDCST,2024-02-26,67.2,67.2,64.05,65.3,65.95,5682425
TV18 Broadcast Limited,TV18BRDCST,2024-02-23,64.2,66.4,62.85,65.95,63.3,8411359
TV18 Broadcast Limited,TV18BRDCST,2024-02-22,63.8,64.4,62.0,63.3,63.3,3069736
TV18 Broadcast Limited,TV18BRDCST,2024-02-21,67.45,67.45,62.5,63.3,64.4,5495549
TV18 Broadcast Limited,TV18BRDCST,2024-02-20,63.95,64.4,62.1,64.4,61.35,9353422
TV18 Broadcast Limited,TV18BRDCST,2024-02-19,59.5,61.35,59.5,61.35,58.45,4687547
TV18 Broadcast Limited,TV18BRDCST,2024-02-16,58.75,59.05,57.6,58.45,58.15,2269587
TV18 Broadcast Limited,TV18BRDCST,2024-02-15,58.1,59.95,57.85,58.15,58.0,3270342
TV18 Broadcast Limited,TV18BRDCST,2024-02-14,57.0,60.0,55.55,58.0,57.7,2648639
TV18 Broadcast Limited,TV18BRDCST,2024-02-13,58.0,58.65,55.15,57.7,58.05,2676915
TV18 Broadcast Limited,TV18BRDCST,2024-02-12,60.35,61.85,57.55,58.05,60.05,3658471
TV18 Broadcast Limited,TV18BRDCST,2024-02-09,61.45,62.0,59.0,60.05,60.8,3223242
TV18 Broadcast Limited,TV18BRDCST,2024-02-08,61.1,63.3,60.3,60.8,60.55,9232314
TV18 Broadcast Limited,TV18BRDCST,2024-02-07,61.6,62.0,60.5,60.55,61.1,3329138
TV18 Broadcast Limited,TV18BRDCST,2024-02-06,61.25,62.0,60.5,61.1,60.75,3552055
TV18 Broadcast Limited,TV18BRDCST,2024-02-05,62.9,63.4,60.5,60.75,62.15,4308383
TV18 Broadcast Limited,TV18BRDCST,2024-02-02,62.2,64.25,61.55,62.15,61.25,6242061
TV18 Broadcast Limited,TV18BRDCST,2024-02-01,64.4,64.5,61.0,61.25,62.85,5560787
TV18 Broadcast Limited,TV18BRDCST,2024-01-31,64.0,64.25,61.5,62.85,63.5,5925266
TV18 Broadcast Limited,TV18BRDCST,2024-01-30,64.5,66.5,63.25,63.5,64.15,24166421
TV18 Broadcast Limited,TV18BRDCST,2024-01-29,65.5,68.1,61.0,64.15,64.25,38870152
TV18 Broadcast Limited,TV18BRDCST,2024-01-25,63.55,65.0,61.6,64.25,63.4,19773911
TV18 Broadcast Limited,TV18BRDCST,2024-01-24,60.95,63.7,59.3,63.4,60.75,27542892
TV18 Broadcast Limited,TV18BRDCST,2024-01-23,66.5,67.4,60.25,60.75,65.65,28073589
TV18 Broadcast Limited,TV18BRDCST,2024-01-20,66.35,66.95,65.0,65.65,65.55,20697598
TV18 Broadcast Limited,TV18BRDCST,2024-01-19,64.95,68.7,64.35,65.55,64.25,60290979
TV18 Broadcast Limited,TV18BRDCST,2024-01-18,64.7,66.0,61.8,64.25,65.45,46815436
TV18 Broadcast Limited,TV18BRDCST,2024-01-17,58.0,68.55,57.8,65.45,60.7,182453010
TV18 Broadcast Limited,TV18BRDCST,2024-01-16,62.95,63.6,59.35,60.7,62.85,26775876
TV18 Broadcast Limited,TV18BRDCST,2024-01-15,65.1,65.1,62.4,62.85,64.5,22493088
TV18 Broadcast Limited,TV18BRDCST,2024-01-12,65.7,66.25,64.1,64.5,65.2,30626859
TV18 Broadcast Limited,TV18BRDCST,2024-01-11,65.2,66.75,62.8,65.2,64.4,120411465
TV18 Broadcast Limited,TV18BRDCST,2024-01-10,55.25,66.2,55.25,64.4,55.85,231778694
TV18 Broadcast Limited,TV18BRDCST,2024-01-09,57.9,58.7,55.35,55.85,57.2,28784610
TV18 Broadcast Limited,TV18BRDCST,2024-01-08,54.75,59.15,54.25,57.2,54.3,84968499
TV18 Broadcast Limited,TV18BRDCST,2024-01-05,53.1,55.55,53.05,54.3,52.75,49266211
TV18 Broadcast Limited,TV18BRDCST,2024-01-04,53.2,53.7,52.3,52.75,52.8,11502323
TV18 Broadcast Limited,TV18BRDCST,2024-01-03,52.75,54.1,52.0,52.8,52.75,15290923
TV18 Broadcast Limited,TV18BRDCST,2024-01-02,52.3,53.15,51.2,52.75,52.05,18602853
TV18 Broadcast Limited,TV18BRDCST,2024-01-01,51.0,52.85,51.0,52.05,50.5,15907631
TV18 Broadcast Limited,TV18BRDCST,2023-12-29,50.8,51.25,50.2,50.5,50.75,8110219
TV18 Broadcast Limited,TV18BRDCST,2023-12-28,51.65,51.95,50.4,50.75,51.5,7561656
TV18 Broadcast Limited,TV18BRDCST,2023-12-27,52.35,52.7,50.65,51.5,52.15,11354334
TV18 Broadcast Limited,TV18BRDCST,2023-12-26,52.25,53.75,52.0,52.15,51.0,29313129
TV18 Broadcast Limited,TV18BRDCST,2023-12-22,51.75,52.0,50.5,51.0,51.35,8705452
TV18 Broadcast Limited,TV18BRDCST,2023-12-21,48.7,51.65,48.1,51.35,48.85,24057019
TV18 Broadcast Limited,TV18BRDCST,2023-12-20,51.2,54.4,48.3,48.85,50.8,55303613
TV18 Broadcast Limited,TV18BRDCST,2023-12-19,50.0,51.7,49.8,50.8,49.8,15114637
TV18 Broadcast Limited,TV18BRDCST,2023-12-18,49.8,50.65,49.5,49.8,49.65,7759134
TV18 Broadcast Limited,TV18BRDCST,2023-12-15,50.8,51.2,49.45,49.65,50.55,6689108
TV18 Broadcast Limited,TV18BRDCST,2023-12-14,50.9,51.4,49.8,50.55,50.4,8191671
TV18 Broadcast Limited,TV18BRDCST,2023-12-13,50.75,51.6,50.0,50.4,50.35,8235247
TV18 Broadcast Limited,TV18BRDCST,2023-12-12,49.05,52.0,49.05,50.35,48.35,22824226
TV18 Broadcast Limited,TV18BRDCST,2023-12-11,49.9,50.75,48.15,48.35,49.25,11819138
TV18 Broadcast Limited,TV18BRDCST,2023-12-08,52.6,53.45,48.8,49.25,52.3,25985740
TV18 Broadcast Limited,TV18BRDCST,2023-12-07,55.35,55.35,50.05,52.3,56.2,100076719
