StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
TVS Motor Company Limited,TVSMOTOR,2024-03-28,2140.0,2165.0,2104.4,2151.85,2123.15,934714
TVS Motor Company Limited,TVSMOTOR,2024-03-27,2100.0,2134.0,2084.15,2123.15,2082.95,1315796
TVS Motor Company Limited,TVSMOTOR,2024-03-26,2053.3,2088.0,2028.35,2082.95,2050.8,1066097
TVS Motor Company Limited,TVSMOTOR,2024-03-22,2062.0,2085.0,2034.5,2050.8,2055.05,833468
TVS Motor Company Limited,TVSMOTOR,2024-03-21,2080.15,2080.95,2023.3,2055.05,2034.95,1087462
TVS Motor Company Limited,TVSMOTOR,2024-03-20,2055.65,2105.0,2005.8,2034.95,2041.8,1492834
TVS Motor Company Limited,TVSMOTOR,2024-03-19,2031.65,2056.0,2010.0,2041.8,2031.45,895151
TVS Motor Company Limited,TVSMOTOR,2024-03-18,2061.0,2067.75,2012.05,2031.45,2066.45,1291028
TVS Motor Company Limited,TVSMOTOR,2024-03-15,2153.0,2159.0,2054.95,2066.45,2149.8,1517532
TVS Motor Company Limited,TVSMOTOR,2024-03-14,2139.85,2200.6,2108.9,2149.8,2146.25,970661
TVS Motor Company Limited,TVSMOTOR,2024-03-13,2242.6,2257.5,2125.75,2146.25,2242.6,999329
TVS Motor Company Limited,TVSMOTOR,2024-03-12,2271.7,2279.85,2232.4,2242.6,2268.35,471203
TVS Motor Company Limited,TVSMOTOR,2024-03-11,2276.0,2304.35,2255.05,2268.35,2259.7,715668
TVS Motor Company Limited,TVSMOTOR,2024-03-07,2284.0,2313.45,2255.1,2259.7,2280.0,873474
TVS Motor Company Limited,TVSMOTOR,2024-03-06,2295.2,2295.2,2231.1,2280.0,2280.9,1248715
TVS Motor Company Limited,TVSMOTOR,2024-03-05,2239.0,2289.9,2232.05,2280.9,2232.35,942601
TVS Motor Company Limited,TVSMOTOR,2024-03-04,2263.4,2267.7,2220.0,2232.35,2253.05,794390
TVS Motor Company Limited,TVSMOTOR,2024-03-02,2265.0,2281.95,2244.95,2253.05,2242.6,96378
TVS Motor Company Limited,TVSMOTOR,2024-03-01,2139.95,2275.0,2121.65,2242.6,2139.2,1643917
TVS Motor Company Limited,TVSMOTOR,2024-02-29,2092.0,2159.4,2084.85,2139.2,2094.55,1749636
TVS Motor Company Limited,TVSMOTOR,2024-02-28,2135.0,2142.15,2071.85,2094.55,2133.15,808633
