StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-28,155.0,159.5,153.25,154.4,153.85,2369012
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-27,155.5,157.9,152.5,153.85,155.65,1844912
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-26,161.1,162.5,155.1,155.65,161.0,1013851
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-22,163.5,166.7,159.3,161.0,163.6,1046705
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-21,158.4,164.6,158.4,163.6,158.25,1947667
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-20,152.3,160.4,151.35,158.25,155.2,2995327
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-19,148.6,156.9,148.25,155.2,148.4,2356255
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-18,153.0,156.8,146.8,148.4,150.7,2221005
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-15,156.8,159.7,148.95,150.7,154.7,2090927
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-14,149.8,158.95,149.1,154.7,149.9,2643581
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-13,165.3,166.4,145.0,149.9,164.45,1870771
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-12,168.05,168.25,162.25,164.45,167.85,803082
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-11,172.95,174.35,167.4,167.85,172.95,697510
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-07,172.8,176.1,172.0,172.95,172.65,657461
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-06,178.3,178.5,172.1,172.65,178.3,647684
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-05,180.0,180.5,178.0,178.3,179.9,429685
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-04,184.1,184.4,179.45,179.9,183.9,582946
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-02,180.3,184.25,179.75,183.9,179.75,190751
TVS Supply Chain Solutions Limited,TVSSCS,2024-03-01,181.25,183.0,178.7,179.75,180.45,442401
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-29,181.3,182.0,178.9,180.45,180.4,357172
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-28,186.0,187.7,180.0,180.4,185.65,607814
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-27,188.2,189.1,185.0,185.65,188.2,498524
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-26,188.4,190.2,187.0,188.2,187.4,404851
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-23,189.95,191.0,187.0,187.4,187.7,827193
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-22,192.0,194.4,186.65,187.7,190.05,1175314
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-21,198.0,198.0,189.35,190.05,200.45,1861173
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-20,189.4,205.0,186.65,200.45,190.05,7316250
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-19,183.95,193.3,182.1,190.05,182.3,696722
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-16,184.6,186.9,181.95,182.3,183.6,251268
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-15,179.4,187.0,179.4,183.6,179.3,654013
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-14,180.0,181.0,178.7,179.3,181.1,404086
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-13,183.95,184.8,179.35,181.1,183.2,273599
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-12,186.3,186.35,181.3,183.2,185.3,327648
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-09,189.0,189.9,184.1,185.3,187.7,459658
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-08,192.0,192.45,187.3,187.7,191.0,383710
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-07,189.0,193.3,188.8,191.0,188.75,513968
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-06,189.45,192.9,186.75,188.75,191.45,669824
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-05,194.35,195.35,190.8,191.45,192.95,457794
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-02,194.0,194.55,192.35,192.95,193.55,349523
TVS Supply Chain Solutions Limited,TVSSCS,2024-02-01,195.0,195.8,193.0,193.55,193.25,415588
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-31,193.9,194.15,193.0,193.25,194.05,277538
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-30,194.2,195.0,193.55,194.05,194.2,186261
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-29,195.95,196.45,193.5,194.2,195.2,269237
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-25,197.95,197.95,193.75,195.2,195.4,386360
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-24,190.0,200.95,187.25,195.4,187.25,1807692
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-23,195.0,195.1,185.85,187.25,194.6,772350
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-20,195.7,195.7,194.0,194.6,194.95,221175
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-19,195.1,196.35,194.5,194.95,194.65,227874
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-18,194.0,196.95,192.1,194.65,194.8,434201
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-17,196.0,197.0,194.1,194.8,197.0,384794
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-16,199.15,199.15,196.0,197.0,197.8,307968
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-15,200.0,200.0,197.5,197.8,198.35,346015
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-12,202.5,202.5,197.95,198.35,199.9,618636
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-11,197.55,203.95,197.4,199.9,197.25,1136200
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-10,195.5,199.0,194.55,197.25,195.45,667095
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-09,198.0,198.65,195.1,195.45,196.9,537936
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-08,198.75,199.0,196.5,196.9,198.75,404930
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-05,200.0,200.5,198.0,198.75,199.55,606840
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-04,200.0,200.9,199.25,199.55,199.15,439330
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-03,199.0,200.1,198.35,199.15,198.9,596881
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-02,198.9,200.0,196.3,198.9,198.9,802992
TVS Supply Chain Solutions Limited,TVSSCS,2024-01-01,198.2,200.2,198.2,198.9,198.2,453389
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-29,199.1,200.15,198.0,198.2,198.9,457182
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-28,201.45,201.45,198.35,198.9,199.4,321738
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-27,204.0,204.0,199.0,199.4,201.5,758860
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-26,199.0,203.75,199.0,201.5,199.0,1377882
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-22,199.45,202.6,198.5,199.0,198.65,1107867
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-21,198.0,200.5,197.5,198.65,199.95,823092
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-20,204.9,204.95,198.65,199.95,203.8,928412
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-19,206.3,207.3,203.45,203.8,205.65,756087
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-18,208.0,208.25,205.25,205.65,206.3,514089
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-15,211.0,211.0,206.0,206.3,209.6,1186798
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-14,205.5,211.0,203.5,209.6,204.25,3822787
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-13,204.0,206.7,201.85,204.25,203.9,1274765
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-12,208.0,208.9,202.9,203.9,207.35,733128
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-11,207.0,208.6,206.35,207.35,206.6,366309
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-08,208.4,209.9,206.0,206.6,207.9,691754
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-07,207.0,210.25,207.0,207.9,207.7,698808
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-06,209.05,209.8,206.6,207.7,208.9,651507
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-05,208.7,209.75,207.35,208.9,208.7,472230
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-04,209.2,210.25,207.45,208.7,206.3,737637
TVS Supply Chain Solutions Limited,TVSSCS,2023-12-01,209.6,210.0,205.9,206.3,207.85,950073
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-30,209.5,210.5,207.3,207.85,208.95,880677
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-29,209.1,211.0,207.55,208.95,207.35,558957
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-28,210.75,211.5,206.5,207.35,210.0,712514
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-24,211.65,211.65,209.5,210.0,211.35,387446
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-23,210.65,212.45,209.15,211.35,209.5,793071
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-22,213.7,213.75,208.3,209.5,212.55,727097
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-21,210.6,215.5,210.6,212.55,209.95,1822758
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-20,212.6,214.3,209.2,209.95,211.9,836895
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-17,213.3,214.6,211.45,211.9,212.3,844728
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-16,212.85,215.75,211.0,212.3,211.9,1164984
TVS Supply Chain Solutions Limited,TVSSCS,2023-11-15,215.0,215.0,211.6,211.9,213.35,816528
