StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
United Breweries Limited,UBL,2024-03-28,1693.05,1744.6,1688.7,1735.95,1697.55,144921
United Breweries Limited,UBL,2024-03-27,1705.0,1716.4,1688.05,1697.55,1712.9,270850
United Breweries Limited,UBL,2024-03-26,1724.0,1736.65,1702.0,1712.9,1730.55,159064
United Breweries Limited,UBL,2024-03-22,1718.05,1740.9,1711.55,1730.55,1720.7,237277
United Breweries Limited,UBL,2024-03-21,1719.7,1725.0,1703.4,1720.7,1713.15,108867
United Breweries Limited,UBL,2024-03-20,1700.0,1725.05,1681.0,1713.15,1687.25,186459
United Breweries Limited,UBL,2024-03-19,1730.0,1730.0,1667.15,1687.25,1731.2,192237
United Breweries Limited,UBL,2024-03-18,1750.0,1750.25,1686.25,1731.2,1738.5,152191
United Breweries Limited,UBL,2024-03-15,1722.55,1745.95,1696.25,1738.5,1722.55,272331
United Breweries Limited,UBL,2024-03-14,1687.85,1735.0,1666.6,1722.55,1687.85,170937
United Breweries Limited,UBL,2024-03-13,1719.85,1745.3,1680.1,1687.85,1718.25,380387
United Breweries Limited,UBL,2024-03-12,1715.0,1750.0,1692.55,1718.25,1699.25,688104
United Breweries Limited,UBL,2024-03-11,1715.3,1715.3,1678.4,1699.25,1699.35,139865
United Breweries Limited,UBL,2024-03-07,1721.0,1725.0,1695.0,1699.35,1714.05,83909
United Breweries Limited,UBL,2024-03-06,1705.95,1719.75,1673.9,1714.05,1703.2,142810
United Breweries Limited,UBL,2024-03-05,1713.1,1716.5,1693.35,1703.2,1713.15,115089
United Breweries Limited,UBL,2024-03-04,1707.7,1717.35,1693.0,1713.15,1707.7,135506
United Breweries Limited,UBL,2024-03-02,1698.95,1712.5,1696.35,1707.7,1698.9,6315
United Breweries Limited,UBL,2024-03-01,1697.15,1713.05,1692.95,1698.9,1697.2,62449
United Breweries Limited,UBL,2024-02-29,1661.2,1706.75,1650.0,1697.2,1661.2,137645
United Breweries Limited,UBL,2024-02-28,1693.95,1699.7,1647.25,1661.2,1688.5,94333
United Breweries Limited,UBL,2024-02-27,1714.4,1714.4,1686.0,1688.5,1706.85,97529
United Breweries Limited,UBL,2024-02-26,1714.95,1725.9,1693.5,1706.85,1714.9,134808
United Breweries Limited,UBL,2024-02-23,1732.75,1736.9,1708.0,1714.9,1732.8,103919
United Breweries Limited,UBL,2024-02-22,1720.15,1736.0,1706.15,1732.8,1720.1,115018
United Breweries Limited,UBL,2024-02-21,1730.85,1742.0,1712.75,1720.1,1729.9,67518
United Breweries Limited,UBL,2024-02-20,1765.0,1765.0,1720.0,1729.9,1765.95,58705
United Breweries Limited,UBL,2024-02-19,1748.0,1772.6,1739.05,1765.95,1733.9,97509
United Breweries Limited,UBL,2024-02-16,1768.3,1777.85,1723.35,1733.9,1763.95,196409
United Breweries Limited,UBL,2024-02-15,1734.0,1771.45,1728.15,1763.95,1731.5,134566
United Breweries Limited,UBL,2024-02-14,1726.0,1743.15,1718.1,1731.5,1737.75,78139
United Breweries Limited,UBL,2024-02-13,1724.7,1746.25,1708.0,1737.75,1726.9,186072
United Breweries Limited,UBL,2024-02-12,1767.0,1772.3,1710.05,1726.9,1776.75,301746
United Breweries Limited,UBL,2024-02-09,1770.0,1825.15,1745.65,1776.75,1756.15,691104
United Breweries Limited,UBL,2024-02-08,1799.95,1802.45,1739.85,1756.15,1791.65,115705
United Breweries Limited,UBL,2024-02-07,1813.0,1823.0,1777.8,1791.65,1797.95,95380
United Breweries Limited,UBL,2024-02-06,1781.0,1802.95,1759.3,1797.95,1776.7,111679
United Breweries Limited,UBL,2024-02-05,1855.0,1862.8,1770.75,1776.7,1846.55,292810
United Breweries Limited,UBL,2024-02-02,1807.0,1849.9,1800.3,1846.55,1803.15,120945
United Breweries Limited,UBL,2024-02-01,1808.1,1816.15,1789.05,1803.15,1808.1,147381
