StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
UCO Bank,UCOBANK,2024-03-28,50.0,53.35,49.9,52.2,49.55,27813819
UCO Bank,UCOBANK,2024-03-27,50.9,51.2,49.25,49.55,50.45,11071605
UCO Bank,UCOBANK,2024-03-26,51.6,52.2,50.05,50.45,51.5,10068136
UCO Bank,UCOBANK,2024-03-22,51.0,52.1,50.8,51.5,50.8,10865434
UCO Bank,UCOBANK,2024-03-21,51.2,52.25,50.4,50.8,50.4,10268589
UCO Bank,UCOBANK,2024-03-20,50.15,50.7,48.95,50.4,49.7,12804494
UCO Bank,UCOBANK,2024-03-19,50.75,51.35,49.55,49.7,50.6,10933672
UCO Bank,UCOBANK,2024-03-18,51.5,52.7,50.35,50.6,52.4,12999880
UCO Bank,UCOBANK,2024-03-15,52.9,55.0,50.4,52.4,52.95,21270818
UCO Bank,UCOBANK,2024-03-14,48.15,52.95,47.3,52.95,48.15,20943620
UCO Bank,UCOBANK,2024-03-13,51.5,52.9,47.3,48.15,51.65,30333152
UCO Bank,UCOBANK,2024-03-12,55.0,55.2,51.1,51.65,55.0,25029847
UCO Bank,UCOBANK,2024-03-11,54.5,55.9,54.05,55.0,57.5,22217194
UCO Bank,UCOBANK,2024-03-07,58.9,59.8,56.45,57.5,58.55,26835442
UCO Bank,UCOBANK,2024-03-06,60.2,61.5,58.0,58.55,60.3,27983760
UCO Bank,UCOBANK,2024-03-05,56.3,60.9,55.6,60.3,56.1,43450872
UCO Bank,UCOBANK,2024-03-04,58.0,58.2,55.45,56.1,57.75,12236994
UCO Bank,UCOBANK,2024-03-02,58.2,58.4,57.55,57.75,58.1,1533145
UCO Bank,UCOBANK,2024-03-01,56.95,58.9,56.7,58.1,56.7,17607355
UCO Bank,UCOBANK,2024-02-29,55.2,57.1,54.0,56.7,55.1,17501630
UCO Bank,UCOBANK,2024-02-28,56.8,57.4,54.15,55.1,56.6,14956835
UCO Bank,UCOBANK,2024-02-27,58.0,58.3,56.15,56.6,58.0,11867390
UCO Bank,UCOBANK,2024-02-26,59.05,59.2,57.55,58.0,59.2,9910633
UCO Bank,UCOBANK,2024-02-23,60.55,60.85,59.0,59.2,60.5,13532627
UCO Bank,UCOBANK,2024-02-22,59.8,60.7,57.4,60.5,59.55,19840925
UCO Bank,UCOBANK,2024-02-21,59.75,61.35,59.1,59.55,59.55,19995228
