StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Union Bank of India,UNIONBANK,2024-03-28,153.0,153.0,153.0,153.5,151.2,2500
Union Bank of India,UNIONBANK,2024-03-28,152.0,154.2,151.25,153.5,151.2,11097927
Union Bank of India,UNIONBANK,2024-03-27,150.35,151.95,148.7,151.2,150.0,11982782
Union Bank of India,UNIONBANK,2024-03-26,148.1,150.85,146.7,150.0,148.1,10248530
Union Bank of India,UNIONBANK,2024-03-22,148.5,150.85,147.6,148.1,146.8,18104178
Union Bank of India,UNIONBANK,2024-03-21,146.9,149.25,146.15,146.8,144.65,9946607
Union Bank of India,UNIONBANK,2024-03-20,149.15,150.3,143.8,144.65,149.15,14794112
Union Bank of India,UNIONBANK,2024-03-19,152.85,155.35,148.15,149.15,153.25,13193308
Union Bank of India,UNIONBANK,2024-03-18,149.0,154.0,146.4,153.25,148.0,16880446
Union Bank of India,UNIONBANK,2024-03-15,143.9,150.5,137.7,148.0,143.65,24676537
Union Bank of India,UNIONBANK,2024-03-14,139.5,144.45,138.1,143.65,141.55,19666323
Union Bank of India,UNIONBANK,2024-03-13,151.5,153.0,139.5,141.55,150.4,27124015
Union Bank of India,UNIONBANK,2024-03-12,154.4,155.45,148.0,150.4,153.75,22173988
Union Bank of India,UNIONBANK,2024-03-11,158.15,160.85,152.75,153.75,157.35,19818827
Union Bank of India,UNIONBANK,2024-03-07,155.95,161.9,153.65,157.35,155.0,28694977
Union Bank of India,UNIONBANK,2024-03-06,158.0,158.6,153.0,155.0,157.9,27499978
Union Bank of India,UNIONBANK,2024-03-05,148.85,158.7,147.85,157.9,148.85,63767342
Union Bank of India,UNIONBANK,2024-03-04,148.8,150.4,147.25,148.85,146.95,18755485
Union Bank of India,UNIONBANK,2024-03-02,146.6,147.5,146.1,146.95,146.7,1346228
Union Bank of India,UNIONBANK,2024-03-01,146.95,147.7,145.3,146.7,146.3,17073718
Union Bank of India,UNIONBANK,2024-02-29,141.2,150.8,138.95,146.3,140.85,227287955
Union Bank of India,UNIONBANK,2024-02-28,143.0,143.65,138.85,140.85,146.1,44713845
Union Bank of India,UNIONBANK,2024-02-27,148.0,148.1,143.85,146.1,147.15,19010674
Union Bank of India,UNIONBANK,2024-02-26,145.0,148.65,144.25,147.15,145.9,21337245
Union Bank of India,UNIONBANK,2024-02-23,149.2,149.2,145.1,145.9,147.3,18645495
Union Bank of India,UNIONBANK,2024-02-22,146.45,147.95,142.1,147.3,145.1,24062941
Union Bank of India,UNIONBANK,2024-02-21,146.7,150.8,144.15,145.1,141.1,58178774
Union Bank of India,UNIONBANK,2024-02-20,142.4,145.0,140.8,141.1,141.15,20767191
Union Bank of India,UNIONBANK,2024-02-19,145.0,145.45,140.6,141.15,144.7,19834182
Union Bank of India,UNIONBANK,2024-02-16,147.85,149.5,143.7,144.7,145.75,28730074
Union Bank of India,UNIONBANK,2024-02-15,140.8,146.5,140.15,145.75,139.05,32155272
Union Bank of India,UNIONBANK,2024-02-14,134.0,139.75,132.6,139.05,136.15,28323626
Union Bank of India,UNIONBANK,2024-02-13,141.6,145.85,135.4,136.15,139.75,33817049
Union Bank of India,UNIONBANK,2024-02-12,150.0,150.05,138.2,139.75,148.85,22342661
Union Bank of India,UNIONBANK,2024-02-09,150.0,151.0,141.15,148.85,149.45,29123961
Union Bank of India,UNIONBANK,2024-02-08,148.4,153.95,147.7,149.45,146.65,36435011
Union Bank of India,UNIONBANK,2024-02-07,147.0,150.2,145.2,146.65,144.95,20366561
Union Bank of India,UNIONBANK,2024-02-06,148.0,149.45,144.2,144.95,146.75,18584278
Union Bank of India,UNIONBANK,2024-02-05,149.85,155.35,145.8,146.75,148.8,35858580
Union Bank of India,UNIONBANK,2024-02-02,146.2,152.45,146.15,148.8,144.6,38195913
Union Bank of India,UNIONBANK,2024-02-01,140.9,146.9,139.7,144.6,139.85,41841032
Union Bank of India,UNIONBANK,2024-01-31,141.25,141.55,139.1,139.85,141.0,21053555
Union Bank of India,UNIONBANK,2024-01-30,141.0,144.5,140.05,141.0,142.1,23496983
Union Bank of India,UNIONBANK,2024-01-29,141.0,145.0,140.95,142.1,140.35,15534613
Union Bank of India,UNIONBANK,2024-01-25,142.85,142.85,142.85,142.85,115.65,12475536
Union Bank of India,UNIONBANK,2024-01-25,143.2,144.4,139.6,140.35,142.85,14886698
Union Bank of India,UNIONBANK,2024-01-24,139.2,143.1,135.05,142.85,139.95,25283547
Union Bank of India,UNIONBANK,2024-01-23,145.0,145.25,135.45,139.95,141.8,42032631
Union Bank of India,UNIONBANK,2024-01-20,136.9,145.4,135.7,141.8,135.9,37359672
Union Bank of India,UNIONBANK,2024-01-19,134.65,137.4,131.25,135.9,132.95,29183335
Union Bank of India,UNIONBANK,2024-01-18,130.8,133.85,128.1,132.95,131.95,21609345
Union Bank of India,UNIONBANK,2024-01-17,134.5,135.35,130.95,131.95,135.95,23673815
Union Bank of India,UNIONBANK,2024-01-16,134.95,140.2,133.5,135.95,134.1,30974573
Union Bank of India,UNIONBANK,2024-01-15,132.7,135.75,132.5,134.1,131.2,25866683
Union Bank of India,UNIONBANK,2024-01-12,125.0,132.5,124.35,131.2,124.45,42620166
Union Bank of India,UNIONBANK,2024-01-11,124.3,124.75,123.5,124.45,123.4,7312380
Union Bank of India,UNIONBANK,2024-01-10,122.8,124.0,121.75,123.4,122.85,8604396
Union Bank of India,UNIONBANK,2024-01-09,123.2,124.2,122.25,122.85,122.55,8045492
Union Bank of India,UNIONBANK,2024-01-08,125.15,125.6,121.8,122.55,124.15,12122073
Union Bank of India,UNIONBANK,2024-01-05,124.35,125.55,123.35,124.15,124.05,12856589
Union Bank of India,UNIONBANK,2024-01-04,123.6,125.0,123.4,124.05,123.05,16066005
Union Bank of India,UNIONBANK,2024-01-03,121.05,123.55,120.25,123.05,120.9,13474009
