StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
UNO Minda Limited,UNOMINDA,2024-03-28,686.8,689.0,671.35,684.75,686.0,484271
UNO Minda Limited,UNOMINDA,2024-03-27,673.9,690.0,668.7,686.0,673.8,625578
UNO Minda Limited,UNOMINDA,2024-03-26,675.0,679.0,657.7,673.8,649.2,1241689
UNO Minda Limited,UNOMINDA,2024-03-22,647.05,653.0,641.5,649.2,649.85,431106
UNO Minda Limited,UNOMINDA,2024-03-21,638.9,651.3,628.4,649.85,637.25,1053363
UNO Minda Limited,UNOMINDA,2024-03-20,637.2,639.7,620.0,637.25,632.2,278867
UNO Minda Limited,UNOMINDA,2024-03-19,641.0,641.7,623.0,632.2,638.7,371961
UNO Minda Limited,UNOMINDA,2024-03-18,621.0,644.9,610.35,638.7,611.8,1248168
UNO Minda Limited,UNOMINDA,2024-03-15,621.9,626.25,607.1,611.8,621.9,1005206
UNO Minda Limited,UNOMINDA,2024-03-14,614.0,626.85,606.0,621.9,620.85,548623
UNO Minda Limited,UNOMINDA,2024-03-13,627.7,631.0,604.55,620.85,626.0,1140477
UNO Minda Limited,UNOMINDA,2024-03-12,640.0,641.6,622.05,626.0,644.7,392721
UNO Minda Limited,UNOMINDA,2024-03-11,654.6,655.0,631.8,644.7,650.65,588347
UNO Minda Limited,UNOMINDA,2024-03-07,635.2,655.2,622.0,650.65,635.2,588957
UNO Minda Limited,UNOMINDA,2024-03-06,634.2,639.7,628.5,635.2,634.2,397637
UNO Minda Limited,UNOMINDA,2024-03-05,646.6,646.6,623.0,634.2,641.55,517228
UNO Minda Limited,UNOMINDA,2024-03-04,669.9,669.9,638.85,641.55,662.75,556918
UNO Minda Limited,UNOMINDA,2024-03-02,664.4,667.0,659.25,662.75,658.8,30244
UNO Minda Limited,UNOMINDA,2024-03-01,666.5,666.5,647.0,658.8,669.6,410717
UNO Minda Limited,UNOMINDA,2024-02-29,651.95,677.4,635.65,669.6,655.9,664897
UNO Minda Limited,UNOMINDA,2024-02-28,669.7,671.7,646.05,655.9,666.4,311833
UNO Minda Limited,UNOMINDA,2024-02-27,655.35,671.8,653.4,666.4,655.45,875450
UNO Minda Limited,UNOMINDA,2024-02-26,655.1,658.2,648.9,655.45,655.05,231062
UNO Minda Limited,UNOMINDA,2024-02-23,630.9,659.55,630.9,655.05,632.8,1597225
UNO Minda Limited,UNOMINDA,2024-02-22,639.5,643.85,628.5,632.8,634.6,192707
UNO Minda Limited,UNOMINDA,2024-02-21,641.8,646.75,629.7,634.6,639.75,345054
UNO Minda Limited,UNOMINDA,2024-02-20,646.0,647.7,636.95,639.75,646.25,222902
UNO Minda Limited,UNOMINDA,2024-02-19,659.8,659.8,642.5,646.25,654.95,683211
UNO Minda Limited,UNOMINDA,2024-02-16,613.6,661.3,613.5,654.95,607.95,2025794
UNO Minda Limited,UNOMINDA,2024-02-15,628.5,628.8,606.0,607.95,623.3,2838867
UNO Minda Limited,UNOMINDA,2024-02-14,625.0,628.0,619.35,623.3,632.25,783801
UNO Minda Limited,UNOMINDA,2024-02-13,629.9,637.65,623.45,632.25,629.9,677569
UNO Minda Limited,UNOMINDA,2024-02-12,645.65,645.65,626.35,629.9,640.0,844156
UNO Minda Limited,UNOMINDA,2024-02-09,656.25,656.5,620.05,640.0,653.3,1383204
UNO Minda Limited,UNOMINDA,2024-02-08,688.4,689.5,648.0,653.3,682.2,515777
UNO Minda Limited,UNOMINDA,2024-02-07,695.4,698.05,679.4,682.2,691.65,718238
UNO Minda Limited,UNOMINDA,2024-02-06,693.5,697.35,683.5,691.65,689.7,397736
UNO Minda Limited,UNOMINDA,2024-02-05,689.0,696.0,681.75,689.7,688.05,608029
UNO Minda Limited,UNOMINDA,2024-02-02,695.0,698.5,683.45,688.05,691.25,399705
UNO Minda Limited,UNOMINDA,2024-02-01,689.0,696.8,678.05,691.25,690.1,499789
UNO Minda Limited,UNOMINDA,2024-01-31,686.8,694.4,676.0,690.1,685.1,319983
UNO Minda Limited,UNOMINDA,2024-01-30,689.0,691.0,679.0,685.1,684.65,155528
UNO Minda Limited,UNOMINDA,2024-01-29,687.0,696.95,681.1,684.65,684.15,224234
UNO Minda Limited,UNOMINDA,2024-01-25,699.9,704.15,681.5,684.15,697.65,439030
UNO Minda Limited,UNOMINDA,2024-01-24,681.05,699.75,672.95,697.65,674.8,222401
UNO Minda Limited,UNOMINDA,2024-01-23,689.35,690.6,671.0,674.8,689.35,296873
UNO Minda Limited,UNOMINDA,2024-01-20,691.6,696.0,684.0,689.35,687.7,70009
UNO Minda Limited,UNOMINDA,2024-01-19,685.7,702.2,680.0,687.7,680.7,360094
UNO Minda Limited,UNOMINDA,2024-01-18,695.0,695.55,673.0,680.7,694.8,221799
UNO Minda Limited,UNOMINDA,2024-01-17,694.0,702.0,688.0,694.8,700.75,383158
UNO Minda Limited,UNOMINDA,2024-01-16,706.9,708.7,691.55,700.75,702.95,180441
UNO Minda Limited,UNOMINDA,2024-01-15,718.6,718.6,701.0,702.95,717.75,302835
UNO Minda Limited,UNOMINDA,2024-01-12,726.0,726.0,711.0,717.75,721.3,498990
UNO Minda Limited,UNOMINDA,2024-01-11,712.4,725.2,708.25,721.3,710.25,345870
UNO Minda Limited,UNOMINDA,2024-01-10,710.05,715.0,699.0,710.25,712.85,621298
UNO Minda Limited,UNOMINDA,2024-01-09,711.8,723.4,709.85,712.85,706.9,873096
UNO Minda Limited,UNOMINDA,2024-01-08,703.9,714.95,694.0,706.9,701.35,746603
UNO Minda Limited,UNOMINDA,2024-01-05,689.0,707.7,680.55,701.35,684.95,504711
UNO Minda Limited,UNOMINDA,2024-01-04,668.8,686.35,662.0,684.95,663.6,778159
UNO Minda Limited,UNOMINDA,2024-01-03,676.9,676.9,662.0,663.6,677.25,392510
UNO Minda Limited,UNOMINDA,2024-01-02,687.2,692.95,673.1,677.25,682.2,282787
UNO Minda Limited,UNOMINDA,2024-01-01,695.3,697.6,675.0,682.2,687.65,398958
UNO Minda Limited,UNOMINDA,2023-12-29,666.7,690.85,665.95,687.65,666.75,927928
UNO Minda Limited,UNOMINDA,2023-12-28,674.8,677.15,660.0,666.75,672.3,341022
UNO Minda Limited,UNOMINDA,2023-12-27,665.25,674.95,663.0,672.3,663.4,284035
UNO Minda Limited,UNOMINDA,2023-12-26,672.8,674.8,661.3,663.4,669.05,140761
UNO Minda Limited,UNOMINDA,2023-12-22,656.0,669.95,651.55,669.05,652.35,435437
UNO Minda Limited,UNOMINDA,2023-12-21,635.3,656.0,629.0,652.35,654.2,357728
UNO Minda Limited,UNOMINDA,2023-12-20,669.75,670.9,646.45,654.2,664.95,581038
UNO Minda Limited,UNOMINDA,2023-12-19,661.85,669.0,656.25,664.95,657.9,249796
UNO Minda Limited,UNOMINDA,2023-12-18,653.0,659.75,649.0,657.9,651.0,278346
UNO Minda Limited,UNOMINDA,2023-12-15,651.95,655.95,647.0,651.0,647.95,176887
UNO Minda Limited,UNOMINDA,2023-12-14,669.95,674.0,644.0,647.95,660.5,652103
UNO Minda Limited,UNOMINDA,2023-12-13,638.65,665.0,636.35,660.5,638.65,1020426
UNO Minda Limited,UNOMINDA,2023-12-12,652.1,652.1,635.0,638.65,646.2,374450
UNO Minda Limited,UNOMINDA,2023-12-11,656.05,658.0,645.0,646.2,654.6,242941
