StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Usha Martin Limited,USHAMART,2024-03-28,315.95,325.0,314.15,318.25,314.95,753209
Usha Martin Limited,USHAMART,2024-03-27,311.1,317.5,309.5,314.95,311.55,972531
Usha Martin Limited,USHAMART,2024-03-26,298.35,313.45,298.35,311.55,299.1,725797
Usha Martin Limited,USHAMART,2024-03-22,295.85,302.25,292.55,299.1,293.6,581624
Usha Martin Limited,USHAMART,2024-03-21,285.4,296.0,285.0,293.6,283.5,665424
Usha Martin Limited,USHAMART,2024-03-20,286.5,288.45,281.6,283.5,285.0,461489
Usha Martin Limited,USHAMART,2024-03-19,288.25,297.4,282.95,285.0,286.35,840661
Usha Martin Limited,USHAMART,2024-03-18,287.1,289.0,277.35,286.35,283.4,1547526
Usha Martin Limited,USHAMART,2024-03-15,288.05,292.6,275.6,283.4,288.3,1507246
Usha Martin Limited,USHAMART,2024-03-14,279.05,295.0,273.05,288.3,277.45,771331
Usha Martin Limited,USHAMART,2024-03-13,299.1,299.1,273.95,277.45,296.2,1484204
Usha Martin Limited,USHAMART,2024-03-12,305.0,307.7,290.4,296.2,306.1,757106
Usha Martin Limited,USHAMART,2024-03-11,308.2,312.9,303.8,306.1,308.2,1161070
Usha Martin Limited,USHAMART,2024-03-07,313.7,313.7,305.05,308.2,307.6,363376
Usha Martin Limited,USHAMART,2024-03-06,315.4,319.95,303.0,307.6,313.4,1757531
Usha Martin Limited,USHAMART,2024-03-05,316.0,317.95,309.95,313.4,318.85,2202253
Usha Martin Limited,USHAMART,2024-03-04,328.25,329.9,316.5,318.85,325.1,555373
Usha Martin Limited,USHAMART,2024-03-02,325.4,328.4,322.25,325.1,322.2,37615
Usha Martin Limited,USHAMART,2024-03-01,325.4,329.05,319.5,322.2,329.05,516316
Usha Martin Limited,USHAMART,2024-02-29,315.1,335.0,308.15,329.05,315.05,1210676
Usha Martin Limited,USHAMART,2024-02-28,323.3,324.6,311.15,315.05,322.75,1513381
Usha Martin Limited,USHAMART,2024-02-27,323.0,327.4,320.3,322.75,320.25,1223335
Usha Martin Limited,USHAMART,2024-02-26,330.2,332.0,313.7,320.25,333.45,1628133
Usha Martin Limited,USHAMART,2024-02-23,306.6,338.5,306.0,333.45,303.2,5366453
Usha Martin Limited,USHAMART,2024-02-22,307.8,307.8,299.9,303.2,305.4,880302
Usha Martin Limited,USHAMART,2024-02-21,313.15,313.8,304.2,305.4,312.65,728538
Usha Martin Limited,USHAMART,2024-02-20,318.5,320.5,311.05,312.65,318.75,648980
Usha Martin Limited,USHAMART,2024-02-19,316.7,325.35,315.05,318.75,315.9,463385
Usha Martin Limited,USHAMART,2024-02-16,322.35,323.35,314.0,315.9,320.2,808277
Usha Martin Limited,USHAMART,2024-02-15,325.8,329.45,317.95,320.2,321.5,378603
Usha Martin Limited,USHAMART,2024-02-14,332.95,332.95,320.1,321.5,332.9,551732
Usha Martin Limited,USHAMART,2024-02-13,322.0,334.75,308.85,332.9,322.3,381974
Usha Martin Limited,USHAMART,2024-02-12,334.0,334.8,313.55,322.3,332.25,1083203
Usha Martin Limited,USHAMART,2024-02-09,350.6,351.85,323.7,332.25,348.8,911636
Usha Martin Limited,USHAMART,2024-02-08,344.0,354.15,342.0,348.8,340.85,806447
Usha Martin Limited,USHAMART,2024-02-07,348.25,350.1,338.95,340.85,345.3,538740
Usha Martin Limited,USHAMART,2024-02-06,360.5,373.75,338.45,345.3,360.05,2306503
Usha Martin Limited,USHAMART,2024-02-05,359.85,368.0,355.05,360.05,359.2,608874
Usha Martin Limited,USHAMART,2024-02-02,363.0,367.1,353.85,359.2,360.85,676004
Usha Martin Limited,USHAMART,2024-02-01,375.0,379.9,358.0,360.85,371.85,926751
Usha Martin Limited,USHAMART,2024-01-31,350.25,375.9,350.25,371.85,350.2,2889848
Usha Martin Limited,USHAMART,2024-01-30,353.6,355.0,346.05,350.2,351.75,1839037
Usha Martin Limited,USHAMART,2024-01-29,356.5,357.75,347.05,351.75,353.5,521924
Usha Martin Limited,USHAMART,2024-01-25,360.5,367.75,351.3,353.5,357.25,773000
Usha Martin Limited,USHAMART,2024-01-24,342.5,360.0,339.4,357.25,342.5,1599922
Usha Martin Limited,USHAMART,2024-01-23,351.95,369.9,335.9,342.5,350.4,3621676
Usha Martin Limited,USHAMART,2024-01-20,343.6,356.75,341.5,350.4,340.5,1703916
Usha Martin Limited,USHAMART,2024-01-19,311.0,347.6,310.2,340.5,308.55,5058063
Usha Martin Limited,USHAMART,2024-01-18,308.7,312.75,300.8,308.55,308.7,568078
Usha Martin Limited,USHAMART,2024-01-17,315.0,319.35,308.0,308.7,316.5,726507
Usha Martin Limited,USHAMART,2024-01-16,310.35,320.0,308.0,316.5,307.8,1093309
Usha Martin Limited,USHAMART,2024-01-15,323.2,323.2,306.0,307.8,320.45,952315
Usha Martin Limited,USHAMART,2024-01-12,325.05,326.9,317.3,320.45,322.2,869135
Usha Martin Limited,USHAMART,2024-01-11,307.5,325.5,304.95,322.2,305.9,1336109
Usha Martin Limited,USHAMART,2024-01-10,301.7,309.3,299.65,305.9,299.65,506369
Usha Martin Limited,USHAMART,2024-01-09,305.1,307.85,294.25,299.65,303.55,1743498
Usha Martin Limited,USHAMART,2024-01-08,312.95,313.5,301.05,303.55,310.55,542511
Usha Martin Limited,USHAMART,2024-01-05,315.1,317.3,308.2,310.55,312.65,802518
Usha Martin Limited,USHAMART,2024-01-04,300.7,314.3,300.7,312.65,299.25,1362200
Usha Martin Limited,USHAMART,2024-01-03,294.95,302.65,293.75,299.25,294.95,426496
Usha Martin Limited,USHAMART,2024-01-02,291.75,298.35,290.0,294.95,291.4,600700
Usha Martin Limited,USHAMART,2024-01-01,294.3,298.0,288.5,291.4,296.45,1013803
Usha Martin Limited,USHAMART,2023-12-29,298.3,303.3,292.5,296.45,296.95,721673
Usha Martin Limited,USHAMART,2023-12-28,303.0,305.5,295.1,296.95,302.75,481286
Usha Martin Limited,USHAMART,2023-12-27,309.6,314.9,300.05,302.75,308.6,707223
Usha Martin Limited,USHAMART,2023-12-26,309.95,315.0,305.4,308.6,309.7,503497
Usha Martin Limited,USHAMART,2023-12-22,303.95,312.4,303.95,309.7,302.75,380028
Usha Martin Limited,USHAMART,2023-12-21,299.8,307.0,295.6,302.75,304.8,336871
Usha Martin Limited,USHAMART,2023-12-20,310.85,318.9,300.0,304.8,310.85,886059
Usha Martin Limited,USHAMART,2023-12-19,310.0,313.4,305.95,310.85,307.55,448068
Usha Martin Limited,USHAMART,2023-12-18,305.1,314.1,303.05,307.55,302.55,2694531
Usha Martin Limited,USHAMART,2023-12-15,296.1,303.3,295.5,302.55,296.1,317170
Usha Martin Limited,USHAMART,2023-12-14,297.8,302.75,291.25,296.1,294.1,777939
Usha Martin Limited,USHAMART,2023-12-13,286.6,304.0,284.2,294.1,288.85,2300531
Usha Martin Limited,USHAMART,2023-12-12,309.0,311.85,283.0,288.85,308.85,1631602
Usha Martin Limited,USHAMART,2023-12-11,315.0,319.95,308.0,308.85,316.0,327984
Usha Martin Limited,USHAMART,2023-12-08,320.1,323.9,314.4,316.0,316.55,203272
Usha Martin Limited,USHAMART,2023-12-07,322.0,323.9,316.05,316.55,322.15,185388
Usha Martin Limited,USHAMART,2023-12-06,327.0,328.3,320.5,322.15,326.35,230157
Usha Martin Limited,USHAMART,2023-12-05,329.3,331.35,321.45,326.35,326.8,199307
Usha Martin Limited,USHAMART,2023-12-04,333.5,336.75,325.0,326.8,328.9,238793
Usha Martin Limited,USHAMART,2023-12-01,337.7,339.5,326.1,328.9,334.25,275763
Usha Martin Limited,USHAMART,2023-11-30,321.8,340.0,316.05,334.25,319.75,1314260
Usha Martin Limited,USHAMART,2023-11-29,329.95,331.7,316.1,319.75,326.85,224833
Usha Martin Limited,USHAMART,2023-11-28,336.7,336.9,322.6,326.85,333.5,426220
Usha Martin Limited,USHAMART,2023-11-24,330.0,338.75,330.0,333.5,329.4,709742
Usha Martin Limited,USHAMART,2023-11-23,327.35,334.1,326.25,329.4,328.3,191817
Usha Martin Limited,USHAMART,2023-11-22,335.0,337.45,323.4,328.3,333.9,965515
Usha Martin Limited,USHAMART,2023-11-21,318.85,337.9,317.4,333.9,316.45,1366064
Usha Martin Limited,USHAMART,2023-11-20,319.0,322.35,315.0,316.45,315.5,467828
Usha Martin Limited,USHAMART,2023-11-17,314.05,319.65,314.0,315.5,312.9,272905
Usha Martin Limited,USHAMART,2023-11-16,326.0,327.85,307.05,312.9,325.95,520441
Usha Martin Limited,USHAMART,2023-11-15,327.9,329.35,324.0,325.95,323.8,354133
Usha Martin Limited,USHAMART,2023-11-13,316.0,327.5,315.05,323.8,314.9,724266
Usha Martin Limited,USHAMART,2023-11-12,315.0,317.0,311.7,314.9,310.65,166633
Usha Martin Limited,USHAMART,2023-11-10,307.75,313.9,303.75,310.65,308.65,375375
Usha Martin Limited,USHAMART,2023-11-09,310.2,314.75,307.0,308.65,310.1,436581
Usha Martin Limited,USHAMART,2023-11-08,312.85,316.7,308.25,310.1,309.0,600403
Usha Martin Limited,USHAMART,2023-11-07,297.0,310.9,294.2,309.0,294.8,868306
Usha Martin Limited,USHAMART,2023-11-06,288.3,296.45,288.25,294.8,286.35,579512
Usha Martin Limited,USHAMART,2023-11-03,291.5,300.0,284.05,286.35,289.95,920633
Usha Martin Limited,USHAMART,2023-11-02,296.9,301.8,287.0,289.95,292.75,340092
Usha Martin Limited,USHAMART,2023-11-01,294.0,304.2,290.0,292.75,297.6,678407
Usha Martin Limited,USHAMART,2023-10-31,293.85,307.9,291.5,297.6,294.15,995735
Usha Martin Limited,USHAMART,2023-10-30,288.0,303.8,283.15,294.15,294.55,1313298
Usha Martin Limited,USHAMART,2023-10-27,282.2,304.8,280.25,294.55,277.9,1703068
Usha Martin Limited,USHAMART,2023-10-26,279.95,296.75,252.8,277.9,278.55,2234046
Usha Martin Limited,USHAMART,2023-10-25,285.2,293.35,274.05,278.55,283.25,724138
Usha Martin Limited,USHAMART,2023-10-23,305.0,308.35,280.0,283.25,310.75,1562392
Usha Martin Limited,USHAMART,2023-10-20,313.45,321.75,310.0,310.75,314.6,214521
Usha Martin Limited,USHAMART,2023-10-19,313.15,321.8,310.0,314.6,317.35,466356
Usha Martin Limited,USHAMART,2023-10-18,330.0,335.4,314.0,317.35,328.75,545956
Usha Martin Limited,USHAMART,2023-10-17,328.75,335.6,322.85,328.75,326.85,437087
Usha Martin Limited,USHAMART,2023-10-16,320.1,333.3,319.0,326.85,322.95,458605
Usha Martin Limited,USHAMART,2023-10-13,326.65,328.7,321.0,322.95,327.5,162833
Usha Martin Limited,USHAMART,2023-10-12,325.2,334.55,325.2,327.5,324.8,195630
Usha Martin Limited,USHAMART,2023-10-11,333.25,337.7,320.0,324.8,331.45,329272
Usha Martin Limited,USHAMART,2023-10-10,331.0,341.9,330.0,331.45,327.8,319857
Usha Martin Limited,USHAMART,2023-10-09,331.5,332.35,325.0,327.8,334.7,205667
Usha Martin Limited,USHAMART,2023-10-06,339.6,341.45,332.7,334.7,336.6,199047
Usha Martin Limited,USHAMART,2023-10-05,340.3,344.9,335.5,336.6,337.45,237220
Usha Martin Limited,USHAMART,2023-10-04,345.0,349.6,336.0,337.45,347.5,304261
Usha Martin Limited,USHAMART,2023-10-03,349.0,351.0,344.0,347.5,343.8,230397
