StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
UTI Asset Management Company Limited,UTIAMC,2024-03-28,815.0,826.0,807.0,813.0,814.2,87950
UTI Asset Management Company Limited,UTIAMC,2024-03-27,823.05,839.0,808.0,814.2,821.0,122376
UTI Asset Management Company Limited,UTIAMC,2024-03-26,835.15,838.0,818.25,821.0,834.6,57205
UTI Asset Management Company Limited,UTIAMC,2024-03-22,819.75,839.0,819.55,834.6,824.95,40856
UTI Asset Management Company Limited,UTIAMC,2024-03-21,821.1,839.0,818.0,824.95,817.4,67130
UTI Asset Management Company Limited,UTIAMC,2024-03-20,811.7,823.0,804.5,817.4,809.0,62545
UTI Asset Management Company Limited,UTIAMC,2024-03-19,822.0,848.1,805.0,809.0,825.65,268541
UTI Asset Management Company Limited,UTIAMC,2024-03-18,832.0,839.8,821.1,825.65,837.75,88575
UTI Asset Management Company Limited,UTIAMC,2024-03-15,855.0,855.0,830.1,837.75,853.9,69396
UTI Asset Management Company Limited,UTIAMC,2024-03-14,813.95,857.8,802.0,853.9,811.5,81277
UTI Asset Management Company Limited,UTIAMC,2024-03-13,862.0,865.0,806.0,811.5,861.65,165620
UTI Asset Management Company Limited,UTIAMC,2024-03-12,880.0,880.75,858.1,861.65,874.25,85719
UTI Asset Management Company Limited,UTIAMC,2024-03-11,890.7,895.0,871.25,874.25,890.7,64863
UTI Asset Management Company Limited,UTIAMC,2024-03-07,875.75,894.9,872.0,890.7,875.9,67564
UTI Asset Management Company Limited,UTIAMC,2024-03-06,895.8,904.0,869.45,875.9,895.8,119292
UTI Asset Management Company Limited,UTIAMC,2024-03-05,895.05,899.45,891.0,895.8,896.65,56502
UTI Asset Management Company Limited,UTIAMC,2024-03-04,905.8,913.7,894.25,896.65,905.75,45234
UTI Asset Management Company Limited,UTIAMC,2024-03-02,907.0,908.95,900.0,905.75,902.0,7102
UTI Asset Management Company Limited,UTIAMC,2024-03-01,895.0,911.85,895.0,902.0,896.7,68161
UTI Asset Management Company Limited,UTIAMC,2024-02-29,895.9,908.0,879.25,896.7,891.8,257362
UTI Asset Management Company Limited,UTIAMC,2024-02-28,922.0,936.55,888.55,891.8,925.8,137497
UTI Asset Management Company Limited,UTIAMC,2024-02-27,906.7,937.0,904.85,925.8,905.2,458338
UTI Asset Management Company Limited,UTIAMC,2024-02-26,920.0,928.6,902.75,905.2,916.4,125734
UTI Asset Management Company Limited,UTIAMC,2024-02-23,926.0,934.5,913.0,916.4,919.0,255389
UTI Asset Management Company Limited,UTIAMC,2024-02-22,940.0,942.95,912.05,919.0,934.9,143565
UTI Asset Management Company Limited,UTIAMC,2024-02-21,913.8,960.95,909.15,934.9,908.45,669144
UTI Asset Management Company Limited,UTIAMC,2024-02-20,914.5,921.0,904.05,908.45,912.2,103520
UTI Asset Management Company Limited,UTIAMC,2024-02-19,923.0,925.0,902.25,912.2,907.85,72368
UTI Asset Management Company Limited,UTIAMC,2024-02-16,921.0,926.7,905.25,907.85,914.55,64860
UTI Asset Management Company Limited,UTIAMC,2024-02-15,917.1,936.05,908.0,914.55,917.1,90520
UTI Asset Management Company Limited,UTIAMC,2024-02-14,901.05,920.05,895.1,917.1,912.35,78254
UTI Asset Management Company Limited,UTIAMC,2024-02-13,897.8,917.6,878.0,912.35,897.8,85719
UTI Asset Management Company Limited,UTIAMC,2024-02-12,918.5,928.45,893.25,897.8,918.5,88309
UTI Asset Management Company Limited,UTIAMC,2024-02-09,919.85,922.9,892.2,918.5,917.75,93003
UTI Asset Management Company Limited,UTIAMC,2024-02-08,921.0,929.0,908.5,917.75,919.75,106534
UTI Asset Management Company Limited,UTIAMC,2024-02-07,937.0,937.0,910.0,919.75,924.45,79052
UTI Asset Management Company Limited,UTIAMC,2024-02-06,920.0,946.85,920.0,924.45,919.95,162040
UTI Asset Management Company Limited,UTIAMC,2024-02-05,927.85,939.75,910.25,919.95,926.05,137924
UTI Asset Management Company Limited,UTIAMC,2024-02-02,925.7,931.95,915.0,926.05,924.8,110851
UTI Asset Management Company Limited,UTIAMC,2024-02-01,939.8,949.0,920.55,924.8,929.4,172809
UTI Asset Management Company Limited,UTIAMC,2024-01-31,899.7,944.65,899.15,929.4,896.3,1165074
UTI Asset Management Company Limited,UTIAMC,2024-01-30,885.0,965.0,884.95,896.3,866.8,3616645
UTI Asset Management Company Limited,UTIAMC,2024-01-29,860.45,871.25,852.0,866.8,858.8,98936
UTI Asset Management Company Limited,UTIAMC,2024-01-25,859.0,865.75,850.8,858.8,857.55,50451
UTI Asset Management Company Limited,UTIAMC,2024-01-24,834.9,863.25,832.2,857.55,831.2,82488
UTI Asset Management Company Limited,UTIAMC,2024-01-23,856.0,859.9,825.1,831.2,855.95,130061
UTI Asset Management Company Limited,UTIAMC,2024-01-20,868.7,868.7,853.0,855.95,864.45,33866
UTI Asset Management Company Limited,UTIAMC,2024-01-19,856.55,868.0,856.55,864.45,855.55,56826
UTI Asset Management Company Limited,UTIAMC,2024-01-18,847.0,859.7,828.65,855.55,850.75,82547
