StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Vaibhav Global Limited,VAIBHAVGBL,2024-03-28,370.0,376.35,360.2,364.3,369.9,520022
Vaibhav Global Limited,VAIBHAVGBL,2024-03-27,370.0,381.5,364.0,369.9,367.85,643233
Vaibhav Global Limited,VAIBHAVGBL,2024-03-26,375.3,379.95,366.0,367.85,378.1,455875
Vaibhav Global Limited,VAIBHAVGBL,2024-03-22,370.55,387.7,370.0,378.1,371.9,446897
Vaibhav Global Limited,VAIBHAVGBL,2024-03-21,363.0,375.95,363.0,371.9,357.75,465612
Vaibhav Global Limited,VAIBHAVGBL,2024-03-20,371.7,372.9,352.65,357.75,368.4,357606
Vaibhav Global Limited,VAIBHAVGBL,2024-03-19,374.6,379.0,366.75,368.4,376.3,227563
Vaibhav Global Limited,VAIBHAVGBL,2024-03-18,375.0,382.15,369.4,376.3,373.4,359902
Vaibhav Global Limited,VAIBHAVGBL,2024-03-15,376.9,388.25,370.8,373.4,378.85,452426
Vaibhav Global Limited,VAIBHAVGBL,2024-03-14,359.5,381.4,354.85,378.85,360.25,588607
Vaibhav Global Limited,VAIBHAVGBL,2024-03-13,394.4,397.45,356.85,360.25,391.05,782155
Vaibhav Global Limited,VAIBHAVGBL,2024-03-12,402.95,408.1,389.55,391.05,400.8,602430
Vaibhav Global Limited,VAIBHAVGBL,2024-03-11,429.6,429.6,399.45,400.8,423.95,551732
Vaibhav Global Limited,VAIBHAVGBL,2024-03-07,416.3,426.85,416.0,423.95,415.4,247792
Vaibhav Global Limited,VAIBHAVGBL,2024-03-06,423.25,428.95,410.7,415.4,423.25,382015
Vaibhav Global Limited,VAIBHAVGBL,2024-03-05,434.05,434.05,421.2,423.25,434.65,210659
Vaibhav Global Limited,VAIBHAVGBL,2024-03-04,436.9,442.9,428.1,434.65,436.3,380444
Vaibhav Global Limited,VAIBHAVGBL,2024-03-02,429.0,444.4,428.0,436.3,428.2,72698
Vaibhav Global Limited,VAIBHAVGBL,2024-03-01,424.9,434.8,423.95,428.2,422.25,1050497
Vaibhav Global Limited,VAIBHAVGBL,2024-02-29,418.85,426.95,414.95,422.25,420.35,435487
Vaibhav Global Limited,VAIBHAVGBL,2024-02-28,439.0,442.5,414.8,420.35,438.05,544320
Vaibhav Global Limited,VAIBHAVGBL,2024-02-27,452.6,452.6,434.2,438.05,452.6,305171
Vaibhav Global Limited,VAIBHAVGBL,2024-02-26,441.05,459.7,440.5,452.6,440.7,429536
Vaibhav Global Limited,VAIBHAVGBL,2024-02-23,448.0,455.45,437.65,440.7,447.15,527629
