StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Varroc Engineering Limited,VARROC,2024-03-28,505.0,513.0,495.2,503.85,501.55,300685
Varroc Engineering Limited,VARROC,2024-03-27,511.2,512.9,495.75,501.55,506.55,341452
Varroc Engineering Limited,VARROC,2024-03-26,514.55,514.55,501.5,506.55,511.55,152931
Varroc Engineering Limited,VARROC,2024-03-22,497.0,513.75,496.05,511.55,495.45,223179
Varroc Engineering Limited,VARROC,2024-03-21,486.0,501.35,486.0,495.45,482.15,156488
Varroc Engineering Limited,VARROC,2024-03-20,486.95,487.0,475.0,482.15,486.85,100978
Varroc Engineering Limited,VARROC,2024-03-19,482.0,490.0,477.1,486.85,488.3,182701
Varroc Engineering Limited,VARROC,2024-03-18,475.6,494.3,466.8,488.3,470.2,242175
Varroc Engineering Limited,VARROC,2024-03-15,464.65,475.35,449.55,470.2,457.8,187112
Varroc Engineering Limited,VARROC,2024-03-14,460.0,472.9,433.0,457.8,446.95,302003
Varroc Engineering Limited,VARROC,2024-03-13,482.05,486.7,436.25,446.95,480.65,305036
Varroc Engineering Limited,VARROC,2024-03-12,480.2,486.8,471.15,480.65,480.2,205495
Varroc Engineering Limited,VARROC,2024-03-11,492.95,497.6,474.3,480.2,491.35,372687
Varroc Engineering Limited,VARROC,2024-03-07,492.5,501.7,490.05,491.35,492.5,116243
Varroc Engineering Limited,VARROC,2024-03-06,505.0,510.6,490.0,492.5,509.7,370647
Varroc Engineering Limited,VARROC,2024-03-05,516.85,517.65,503.1,509.7,516.75,339042
Varroc Engineering Limited,VARROC,2024-03-04,515.25,521.0,505.8,516.75,510.15,213648
Varroc Engineering Limited,VARROC,2024-03-02,504.15,513.9,504.15,510.15,507.75,23497
Varroc Engineering Limited,VARROC,2024-03-01,492.0,511.9,491.1,507.75,487.55,250234
Varroc Engineering Limited,VARROC,2024-02-29,497.4,501.95,482.75,487.55,497.4,339435
Varroc Engineering Limited,VARROC,2024-02-28,512.0,516.8,492.2,497.4,511.95,209499
Varroc Engineering Limited,VARROC,2024-02-27,519.25,529.0,511.0,511.95,519.25,241119
Varroc Engineering Limited,VARROC,2024-02-26,507.0,525.0,507.0,519.25,510.85,288615
Varroc Engineering Limited,VARROC,2024-02-23,512.0,519.9,497.25,510.85,511.5,422397
Varroc Engineering Limited,VARROC,2024-02-22,512.0,520.5,508.0,511.5,508.0,174025
Varroc Engineering Limited,VARROC,2024-02-21,526.55,529.0,503.55,508.0,525.3,161765
Varroc Engineering Limited,VARROC,2024-02-20,520.45,529.0,514.3,525.3,518.8,158987
Varroc Engineering Limited,VARROC,2024-02-19,529.85,529.85,516.0,518.8,525.6,217822
Varroc Engineering Limited,VARROC,2024-02-16,503.45,528.95,500.1,525.6,499.8,567275
Varroc Engineering Limited,VARROC,2024-02-15,504.5,511.65,495.55,499.8,496.65,275843
Varroc Engineering Limited,VARROC,2024-02-14,513.95,517.9,494.0,496.65,515.0,397608
Varroc Engineering Limited,VARROC,2024-02-13,513.3,519.9,490.7,515.0,508.2,290844
Varroc Engineering Limited,VARROC,2024-02-12,535.0,536.95,503.0,508.2,532.55,347838
Varroc Engineering Limited,VARROC,2024-02-09,564.0,565.0,529.0,532.55,554.75,581654
Varroc Engineering Limited,VARROC,2024-02-08,599.0,599.9,551.05,554.75,597.55,1336782
Varroc Engineering Limited,VARROC,2024-02-07,610.9,632.0,585.2,597.55,605.6,2286269
Varroc Engineering Limited,VARROC,2024-02-06,610.0,617.0,602.5,605.6,600.05,311228
Varroc Engineering Limited,VARROC,2024-02-05,605.0,627.0,596.0,600.05,600.35,810015
Varroc Engineering Limited,VARROC,2024-02-02,594.95,619.4,588.15,600.35,586.75,2203710
Varroc Engineering Limited,VARROC,2024-02-01,556.9,594.95,551.1,586.75,555.45,1623730
Varroc Engineering Limited,VARROC,2024-01-31,544.95,562.0,544.65,555.45,545.15,316529
Varroc Engineering Limited,VARROC,2024-01-30,533.05,547.15,526.2,545.15,533.05,228228
Varroc Engineering Limited,VARROC,2024-01-29,517.95,533.8,515.95,533.05,514.35,174684
Varroc Engineering Limited,VARROC,2024-01-25,522.9,525.7,513.0,514.35,522.9,145836
Varroc Engineering Limited,VARROC,2024-01-24,518.0,526.4,510.0,522.9,520.1,146408
Varroc Engineering Limited,VARROC,2024-01-23,543.2,547.05,516.15,520.1,543.2,227264
Varroc Engineering Limited,VARROC,2024-01-20,528.95,545.0,528.9,543.2,527.65,152763
Varroc Engineering Limited,VARROC,2024-01-19,529.8,537.4,525.5,527.65,526.25,193884
Varroc Engineering Limited,VARROC,2024-01-18,539.95,546.5,520.75,526.25,540.25,248988
Varroc Engineering Limited,VARROC,2024-01-17,552.0,554.2,538.0,540.25,554.85,158757
Varroc Engineering Limited,VARROC,2024-01-16,563.0,568.0,548.55,554.85,566.35,255190
Varroc Engineering Limited,VARROC,2024-01-15,555.0,568.0,545.2,566.35,553.4,500239
Varroc Engineering Limited,VARROC,2024-01-12,559.7,561.9,550.35,553.4,558.95,183938
Varroc Engineering Limited,VARROC,2024-01-11,556.0,569.0,553.7,558.95,558.35,221144
Varroc Engineering Limited,VARROC,2024-01-10,553.0,561.7,548.0,558.35,552.75,254527
