StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Varun Beverages Limited,VBL,2024-03-28,1398.0,1405.0,1370.0,1398.6,1384.0,2019059
Varun Beverages Limited,VBL,2024-03-27,1403.05,1406.0,1378.35,1384.0,1401.7,2342009
Varun Beverages Limited,VBL,2024-03-26,1409.8,1410.0,1397.85,1401.7,1402.4,1783800
Varun Beverages Limited,VBL,2024-03-22,1400.0,1407.6,1382.05,1402.4,1400.25,1269431
Varun Beverages Limited,VBL,2024-03-21,1424.85,1424.85,1396.65,1400.25,1400.15,1445414
Varun Beverages Limited,VBL,2024-03-20,1398.75,1410.0,1390.55,1400.15,1398.75,1595619
Varun Beverages Limited,VBL,2024-03-19,1438.0,1438.0,1395.0,1398.75,1436.45,1067733
Varun Beverages Limited,VBL,2024-03-18,1438.0,1447.85,1421.65,1436.45,1434.2,1540490
Varun Beverages Limited,VBL,2024-03-15,1420.0,1440.0,1403.0,1434.2,1417.7,1887874
Varun Beverages Limited,VBL,2024-03-14,1388.85,1425.0,1354.2,1417.7,1393.9,1754638
Varun Beverages Limited,VBL,2024-03-13,1418.9,1421.0,1367.0,1393.9,1422.55,2872749
Varun Beverages Limited,VBL,2024-03-12,1416.8,1433.0,1399.0,1422.55,1414.25,1755415
Varun Beverages Limited,VBL,2024-03-11,1433.25,1495.0,1397.1,1414.25,1423.35,3298145
Varun Beverages Limited,VBL,2024-03-07,1438.0,1446.5,1413.15,1423.35,1433.85,1540650
Varun Beverages Limited,VBL,2024-03-06,1371.0,1447.7,1362.0,1433.85,1379.55,2948329
Varun Beverages Limited,VBL,2024-03-05,1445.0,1445.0,1370.35,1379.55,1434.15,4441898
Varun Beverages Limited,VBL,2024-03-04,1450.05,1451.8,1403.65,1434.15,1448.75,1802706
Varun Beverages Limited,VBL,2024-03-02,1425.0,1455.95,1422.3,1448.75,1417.85,188373
Varun Beverages Limited,VBL,2024-03-01,1428.05,1428.25,1392.5,1417.85,1408.5,2094046
Varun Beverages Limited,VBL,2024-02-29,1390.0,1419.65,1345.0,1408.5,1397.85,5574977
Varun Beverages Limited,VBL,2024-02-28,1476.95,1477.6,1390.0,1397.85,1467.0,5032223
Varun Beverages Limited,VBL,2024-02-27,1530.0,1531.35,1453.0,1467.0,1536.25,2480974
Varun Beverages Limited,VBL,2024-02-26,1514.55,1561.95,1507.2,1536.25,1514.5,1267312
Varun Beverages Limited,VBL,2024-02-23,1512.45,1525.0,1491.65,1514.5,1497.2,1154934
Varun Beverages Limited,VBL,2024-02-22,1474.5,1500.0,1462.5,1497.2,1464.2,1061910
Varun Beverages Limited,VBL,2024-02-21,1451.9,1473.55,1442.75,1464.2,1437.5,955888
Varun Beverages Limited,VBL,2024-02-20,1452.4,1452.4,1430.0,1437.5,1438.3,1158305
Varun Beverages Limited,VBL,2024-02-19,1428.8,1442.45,1422.05,1438.3,1423.05,498288
Varun Beverages Limited,VBL,2024-02-16,1420.0,1434.0,1402.0,1423.05,1425.3,1531369
Varun Beverages Limited,VBL,2024-02-15,1440.0,1456.0,1420.05,1425.3,1430.7,1957092
Varun Beverages Limited,VBL,2024-02-14,1394.65,1442.0,1384.0,1430.7,1394.5,1372833
Varun Beverages Limited,VBL,2024-02-13,1390.05,1409.0,1379.0,1394.5,1389.35,1277737
Varun Beverages Limited,VBL,2024-02-12,1379.0,1394.7,1367.05,1389.35,1370.0,1289333
Varun Beverages Limited,VBL,2024-02-09,1379.05,1409.9,1360.05,1370.0,1375.35,2525432
Varun Beverages Limited,VBL,2024-02-08,1349.5,1413.6,1345.0,1375.35,1345.2,3303671
Varun Beverages Limited,VBL,2024-02-07,1356.0,1364.5,1328.55,1345.2,1347.15,1802321
Varun Beverages Limited,VBL,2024-02-06,1321.0,1350.0,1308.2,1347.15,1302.5,4157457
Varun Beverages Limited,VBL,2024-02-05,1289.5,1320.0,1260.0,1302.5,1285.75,4202812
Varun Beverages Limited,VBL,2024-02-02,1271.1,1303.45,1271.0,1285.75,1284.5,2161744
Varun Beverages Limited,VBL,2024-02-01,1282.8,1288.9,1266.4,1284.5,1280.4,1228164
Varun Beverages Limited,VBL,2024-01-31,1231.0,1285.0,1231.0,1280.4,1251.2,2199936
Varun Beverages Limited,VBL,2024-01-30,1275.05,1283.75,1241.2,1251.2,1269.55,2786643
Varun Beverages Limited,VBL,2024-01-29,1250.0,1277.85,1249.0,1269.55,1257.4,1829987
Varun Beverages Limited,VBL,2024-01-25,1263.55,1265.0,1221.0,1257.4,1266.35,3331395
Varun Beverages Limited,VBL,2024-01-24,1261.0,1274.8,1253.0,1266.35,1271.75,3071911
Varun Beverages Limited,VBL,2024-01-23,1261.0,1279.75,1243.2,1271.75,1260.4,1907173
Varun Beverages Limited,VBL,2024-01-20,1285.0,1285.4,1258.0,1260.4,1267.35,370668
Varun Beverages Limited,VBL,2024-01-19,1238.9,1282.4,1228.0,1267.35,1230.15,2841357
Varun Beverages Limited,VBL,2024-01-18,1244.0,1249.55,1196.4,1230.15,1248.5,1854390
Varun Beverages Limited,VBL,2024-01-17,1256.0,1263.6,1230.1,1248.5,1266.1,2159125
Varun Beverages Limited,VBL,2024-01-16,1273.8,1276.0,1256.05,1266.1,1271.7,1320740
Varun Beverages Limited,VBL,2024-01-15,1276.0,1280.0,1261.4,1271.7,1265.05,1502401
Varun Beverages Limited,VBL,2024-01-12,1271.1,1277.95,1258.5,1265.05,1278.1,2631987
Varun Beverages Limited,VBL,2024-01-11,1282.35,1287.25,1267.05,1278.1,1268.7,923775
Varun Beverages Limited,VBL,2024-01-10,1297.0,1304.95,1260.05,1268.7,1297.55,1530973
Varun Beverages Limited,VBL,2024-01-09,1272.8,1309.95,1271.05,1297.55,1269.5,1773125
Varun Beverages Limited,VBL,2024-01-08,1279.15,1293.95,1260.0,1269.5,1279.15,1654957
Varun Beverages Limited,VBL,2024-01-05,1260.0,1283.0,1244.25,1279.15,1260.0,2029763
Varun Beverages Limited,VBL,2024-01-04,1246.0,1277.4,1234.0,1260.0,1225.8,2387192
Varun Beverages Limited,VBL,2024-01-03,1225.1,1239.75,1206.15,1225.8,1236.15,1631101
Varun Beverages Limited,VBL,2024-01-02,1250.0,1250.0,1232.25,1236.15,1242.5,982195
Varun Beverages Limited,VBL,2024-01-01,1241.8,1254.0,1237.0,1242.5,1236.9,789487
Varun Beverages Limited,VBL,2023-12-29,1243.8,1243.8,1225.6,1236.9,1237.8,1149608
Varun Beverages Limited,VBL,2023-12-28,1238.05,1247.5,1222.0,1237.8,1237.05,1480983
Varun Beverages Limited,VBL,2023-12-27,1246.05,1252.0,1235.0,1237.05,1250.05,2397414
Varun Beverages Limited,VBL,2023-12-26,1257.0,1257.8,1233.0,1250.05,1238.6,1695813
Varun Beverages Limited,VBL,2023-12-22,1291.3,1291.3,1225.55,1238.6,1291.3,6445595
Varun Beverages Limited,VBL,2023-12-21,1245.05,1300.0,1181.95,1291.3,1253.4,4779722
