StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Vedanta Limited,VEDL,2024-03-28,272.0,275.0,270.75,271.65,271.6,6625066
Vedanta Limited,VEDL,2024-03-27,269.9,274.25,267.75,271.6,268.55,5949040
Vedanta Limited,VEDL,2024-03-26,271.8,272.8,267.35,268.55,271.1,10405333
Vedanta Limited,VEDL,2024-03-22,273.0,274.4,269.9,271.1,273.4,9338889
Vedanta Limited,VEDL,2024-03-21,271.0,274.2,270.15,273.4,267.65,5477627
Vedanta Limited,VEDL,2024-03-20,268.0,269.9,261.8,267.65,266.65,4421057
Vedanta Limited,VEDL,2024-03-19,270.0,274.75,265.6,266.65,271.05,5908875
Vedanta Limited,VEDL,2024-03-18,265.0,272.95,262.25,271.05,265.1,7234156
Vedanta Limited,VEDL,2024-03-15,260.15,266.0,255.15,265.1,260.15,17681404
Vedanta Limited,VEDL,2024-03-14,251.8,261.5,251.6,260.15,251.9,10335603
Vedanta Limited,VEDL,2024-03-13,268.5,270.5,249.5,251.9,270.3,15451474
Vedanta Limited,VEDL,2024-03-12,276.0,276.8,267.5,270.3,275.35,7220451
Vedanta Limited,VEDL,2024-03-11,282.85,282.85,274.0,275.35,282.85,6214148
Vedanta Limited,VEDL,2024-03-07,283.7,287.4,281.05,282.85,282.45,9134995
Vedanta Limited,VEDL,2024-03-06,286.5,289.25,275.0,282.45,285.7,13944430
Vedanta Limited,VEDL,2024-03-05,277.5,288.4,274.6,285.7,276.35,19847512
Vedanta Limited,VEDL,2024-03-04,273.05,279.0,272.75,276.35,273.05,10443351
Vedanta Limited,VEDL,2024-03-02,272.0,273.5,270.7,273.05,271.8,2057755
Vedanta Limited,VEDL,2024-03-01,265.1,272.9,263.6,271.8,268.05,12244554
Vedanta Limited,VEDL,2024-02-29,263.1,269.9,260.8,268.05,262.95,9404521
Vedanta Limited,VEDL,2024-02-28,268.5,272.3,261.55,262.95,263.9,17579831
Vedanta Limited,VEDL,2024-02-27,266.7,268.0,262.6,263.9,265.25,5033046
Vedanta Limited,VEDL,2024-02-26,268.95,268.95,264.05,265.25,268.35,4923166
Vedanta Limited,VEDL,2024-02-23,272.0,272.2,268.0,268.35,271.5,5955886
Vedanta Limited,VEDL,2024-02-22,271.9,272.95,267.1,271.5,270.0,6661898
Vedanta Limited,VEDL,2024-02-21,273.0,276.4,268.5,270.0,270.15,12329064
Vedanta Limited,VEDL,2024-02-20,270.9,272.2,268.1,270.15,270.15,9025475
Vedanta Limited,VEDL,2024-02-19,268.9,273.2,267.1,270.15,266.8,10944899
Vedanta Limited,VEDL,2024-02-16,269.25,272.0,265.1,266.8,267.95,16394886
Vedanta Limited,VEDL,2024-02-15,282.55,284.0,267.0,267.95,279.65,108103036
Vedanta Limited,VEDL,2024-02-14,269.0,282.6,264.55,279.65,269.5,11916664
Vedanta Limited,VEDL,2024-02-13,267.55,271.0,260.7,269.5,268.15,4469509
Vedanta Limited,VEDL,2024-02-12,276.95,281.05,265.05,268.15,274.35,6191878
Vedanta Limited,VEDL,2024-02-09,279.0,280.45,268.4,274.35,278.6,4627489
Vedanta Limited,VEDL,2024-02-08,284.0,285.5,276.6,278.6,282.3,6966850
Vedanta Limited,VEDL,2024-02-07,285.0,285.85,277.6,282.3,283.0,7603119
Vedanta Limited,VEDL,2024-02-06,273.7,284.5,269.85,283.0,273.6,11559491
Vedanta Limited,VEDL,2024-02-05,272.85,279.85,271.55,273.6,272.55,10619393
Vedanta Limited,VEDL,2024-02-02,270.2,276.8,268.75,272.55,268.5,9665486
Vedanta Limited,VEDL,2024-02-01,275.45,276.5,265.05,268.5,273.85,7974578
Vedanta Limited,VEDL,2024-01-31,266.8,276.9,265.75,273.85,266.25,9537630
Vedanta Limited,VEDL,2024-01-30,268.15,271.3,265.25,266.25,267.8,6620878
Vedanta Limited,VEDL,2024-01-29,263.75,269.15,260.5,267.8,263.6,11648515
Vedanta Limited,VEDL,2024-01-25,264.35,266.8,260.65,263.6,262.55,5195068
Vedanta Limited,VEDL,2024-01-24,254.8,263.3,253.1,262.55,252.15,6563186
Vedanta Limited,VEDL,2024-01-23,266.85,267.0,250.65,252.15,264.85,8740319
Vedanta Limited,VEDL,2024-01-20,266.75,267.75,264.35,264.85,266.45,2943766
Vedanta Limited,VEDL,2024-01-19,268.15,269.7,265.9,266.45,267.55,4537034
Vedanta Limited,VEDL,2024-01-18,265.5,268.9,258.0,267.55,264.85,9930238
Vedanta Limited,VEDL,2024-01-17,270.45,272.45,263.6,264.85,273.2,10649774
Vedanta Limited,VEDL,2024-01-16,277.0,278.05,269.35,273.2,273.0,12507371
Vedanta Limited,VEDL,2024-01-15,274.0,275.0,269.7,273.0,272.55,9881531
Vedanta Limited,VEDL,2024-01-12,274.6,275.0,270.2,272.55,274.6,10048702
Vedanta Limited,VEDL,2024-01-11,268.6,276.0,266.55,274.6,267.05,24108269
Vedanta Limited,VEDL,2024-01-10,255.65,268.2,251.95,267.05,260.4,19849401
Vedanta Limited,VEDL,2024-01-09,261.9,264.4,255.65,260.4,258.45,10284498
Vedanta Limited,VEDL,2024-01-08,265.85,267.6,257.8,258.45,265.85,7890414
Vedanta Limited,VEDL,2024-01-05,266.15,271.25,263.1,265.85,266.15,12327980
Vedanta Limited,VEDL,2024-01-04,270.0,270.65,265.35,266.15,263.8,10745140
Vedanta Limited,VEDL,2024-01-03,258.5,267.25,255.85,263.8,258.15,22285124
Vedanta Limited,VEDL,2024-01-02,257.5,259.4,253.1,258.15,257.15,5803881
Vedanta Limited,VEDL,2024-01-01,258.55,260.3,256.0,257.15,258.55,6352734
Vedanta Limited,VEDL,2023-12-29,256.0,259.5,254.1,258.55,257.55,9136816
Vedanta Limited,VEDL,2023-12-28,253.0,259.35,253.0,257.55,252.4,15441735
Vedanta Limited,VEDL,2023-12-27,251.9,254.4,250.8,252.4,261.7,10673963
Vedanta Limited,VEDL,2023-12-26,262.0,262.9,259.55,261.7,259.75,12322864
Vedanta Limited,VEDL,2023-12-22,259.5,261.35,257.7,259.75,255.95,9677532
Vedanta Limited,VEDL,2023-12-21,251.0,256.9,249.1,255.95,251.45,10812029
Vedanta Limited,VEDL,2023-12-20,263.9,264.0,250.8,251.45,262.1,15309407
Vedanta Limited,VEDL,2023-12-19,266.25,266.4,259.25,262.1,260.7,17762921
Vedanta Limited,VEDL,2023-12-18,260.0,263.5,256.9,260.7,257.2,12388584
Vedanta Limited,VEDL,2023-12-15,258.55,259.85,255.65,257.2,254.65,17235864
Vedanta Limited,VEDL,2023-12-14,255.8,258.0,248.8,254.65,253.35,18271383
Vedanta Limited,VEDL,2023-12-13,247.2,255.8,243.65,253.35,246.65,15557190
Vedanta Limited,VEDL,2023-12-12,249.0,251.35,245.65,246.65,248.55,5675356
Vedanta Limited,VEDL,2023-12-11,247.15,249.75,244.3,248.55,244.8,5346227
Vedanta Limited,VEDL,2023-12-08,249.75,254.0,241.5,244.8,248.85,13224817
Vedanta Limited,VEDL,2023-12-07,250.95,251.25,245.45,248.85,249.45,6937185
Vedanta Limited,VEDL,2023-12-06,244.0,252.2,240.8,249.45,242.4,17430210
Vedanta Limited,VEDL,2023-12-05,242.2,246.8,239.0,242.4,241.9,10005319
Vedanta Limited,VEDL,2023-12-04,244.5,244.5,239.5,241.9,239.4,12552937
Vedanta Limited,VEDL,2023-12-01,234.8,242.0,233.55,239.4,233.35,9817732
Vedanta Limited,VEDL,2023-11-30,233.9,234.9,230.75,233.35,233.45,19036194
Vedanta Limited,VEDL,2023-11-29,235.4,236.7,231.65,233.45,234.4,7774049
Vedanta Limited,VEDL,2023-11-28,235.0,235.0,231.9,234.4,232.2,7469037
Vedanta Limited,VEDL,2023-11-24,234.75,235.5,231.1,232.2,234.15,3866099
Vedanta Limited,VEDL,2023-11-23,236.55,237.35,233.25,234.15,236.35,3977608
Vedanta Limited,VEDL,2023-11-22,240.0,240.15,233.95,236.35,240.3,5432510
Vedanta Limited,VEDL,2023-11-21,241.55,242.55,239.55,240.3,239.55,4018369
Vedanta Limited,VEDL,2023-11-20,239.2,241.35,238.05,239.55,239.5,4219360
Vedanta Limited,VEDL,2023-11-17,238.0,243.95,238.0,239.5,238.8,9273728
Vedanta Limited,VEDL,2023-11-16,241.0,241.7,234.35,238.8,240.1,6844037
Vedanta Limited,VEDL,2023-11-15,243.0,245.75,237.55,240.1,241.95,6420011
Vedanta Limited,VEDL,2023-11-13,244.5,244.7,241.4,241.95,245.05,4210127
