StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
V-Guard Industries Limited,VGUARD,2024-03-28,333.85,337.0,327.15,331.35,329.85,442696
V-Guard Industries Limited,VGUARD,2024-03-27,321.95,334.9,321.95,329.85,320.1,446460
V-Guard Industries Limited,VGUARD,2024-03-26,321.9,324.45,319.05,320.1,321.9,151394
V-Guard Industries Limited,VGUARD,2024-03-22,321.0,324.95,318.15,321.9,319.95,120870
V-Guard Industries Limited,VGUARD,2024-03-21,320.8,325.0,318.05,319.95,318.35,134038
V-Guard Industries Limited,VGUARD,2024-03-20,321.55,322.5,315.4,318.35,321.4,206520
V-Guard Industries Limited,VGUARD,2024-03-19,324.65,325.85,318.2,321.4,324.65,121940
V-Guard Industries Limited,VGUARD,2024-03-18,324.0,325.85,319.35,324.65,319.85,159900
V-Guard Industries Limited,VGUARD,2024-03-15,324.55,324.7,316.15,319.85,324.55,185855
V-Guard Industries Limited,VGUARD,2024-03-14,306.95,326.6,303.1,324.55,306.1,526789
V-Guard Industries Limited,VGUARD,2024-03-13,331.15,333.45,303.1,306.1,331.05,771657
V-Guard Industries Limited,VGUARD,2024-03-12,337.0,339.7,329.0,331.05,336.05,369769
V-Guard Industries Limited,VGUARD,2024-03-11,349.0,352.0,332.45,336.05,344.45,787681
V-Guard Industries Limited,VGUARD,2024-03-07,344.8,350.2,342.25,344.45,343.1,896484
V-Guard Industries Limited,VGUARD,2024-03-06,343.7,344.5,332.0,343.1,342.8,658279
V-Guard Industries Limited,VGUARD,2024-03-05,348.1,348.35,340.55,342.8,348.0,516598
V-Guard Industries Limited,VGUARD,2024-03-04,346.45,350.35,339.4,348.0,341.85,1566218
V-Guard Industries Limited,VGUARD,2024-03-02,343.9,347.45,340.0,341.85,337.85,235814
V-Guard Industries Limited,VGUARD,2024-03-01,326.25,343.0,324.2,337.85,324.95,1283856
V-Guard Industries Limited,VGUARD,2024-02-29,333.0,333.75,321.45,324.95,330.05,1422194
V-Guard Industries Limited,VGUARD,2024-02-28,325.65,344.4,324.5,330.05,322.3,7608365
V-Guard Industries Limited,VGUARD,2024-02-27,317.3,326.8,314.55,322.3,315.85,1187174
V-Guard Industries Limited,VGUARD,2024-02-26,310.0,317.0,308.8,315.85,310.95,310684
V-Guard Industries Limited,VGUARD,2024-02-23,312.5,315.9,306.45,310.95,311.85,241947
V-Guard Industries Limited,VGUARD,2024-02-22,314.0,318.3,311.0,311.85,312.75,254292
V-Guard Industries Limited,VGUARD,2024-02-21,314.85,320.7,310.3,312.75,313.3,951817
