StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-28,644.0,644.5,629.95,636.6,633.7,82137
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-27,639.0,644.95,626.65,633.7,635.8,56212
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-27,630.0,630.0,630.0,630.0,531.0,810000
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-26,624.6,638.5,624.6,635.8,630.9,85903
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-22,627.85,634.4,622.25,630.9,627.85,77292
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-21,628.05,635.2,620.3,627.85,626.15,79824
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-20,609.6,645.0,609.55,626.15,609.6,303908
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-19,605.2,618.65,603.1,609.6,607.5,60641
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-18,603.0,616.4,596.05,607.5,605.2,53150
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-15,604.3,617.45,602.2,605.2,604.35,50181
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-14,619.15,622.7,596.05,604.35,610.0,184250
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-13,610.0,616.9,598.8,610.0,614.25,134915
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-12,642.55,645.8,597.05,614.25,642.55,777308
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-11,637.7,644.95,630.2,642.55,637.7,142274
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-07,622.6,650.7,617.1,637.7,622.6,99824
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-06,619.25,633.4,611.25,622.6,619.25,150722
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-05,612.25,625.0,605.0,619.25,618.25,105522
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-04,630.0,634.55,611.0,618.25,629.75,93774
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-02,625.0,636.0,621.9,629.75,631.6,9504
Vijaya Diagnostic Centre Limited,VIJAYA,2024-03-01,640.0,643.25,629.0,631.6,644.5,98811
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-29,650.0,653.35,638.0,644.5,656.5,71350
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-28,670.0,676.6,648.1,656.5,665.1,107835
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-27,657.5,668.7,654.3,665.1,657.5,97197
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-26,653.9,661.0,648.05,657.5,653.9,45654
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-23,664.95,664.95,648.0,653.9,655.1,54018
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-22,645.0,658.0,640.0,655.1,645.0,221541
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-21,636.5,650.0,628.95,645.0,633.35,193813
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-20,630.0,646.5,630.0,633.35,633.75,148977
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-19,630.0,637.75,626.0,633.75,635.35,144942
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-16,627.15,653.4,627.15,635.35,627.15,132823
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-15,627.6,644.6,625.15,627.15,627.6,67554
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-14,621.0,634.95,621.0,627.6,631.65,75985
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-13,644.4,647.75,622.45,631.65,644.4,110268
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-12,644.0,647.7,635.75,644.4,644.35,94259
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-09,663.0,667.5,631.0,644.35,662.1,285322
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-08,675.0,688.95,645.2,662.1,669.05,419765
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-07,667.7,718.8,645.45,669.05,630.1,3487727
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-06,629.0,643.7,623.85,630.1,620.15,654015
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-05,648.7,654.0,608.55,620.15,648.7,353468
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-02,656.15,665.2,643.65,648.7,658.7,48978
Vijaya Diagnostic Centre Limited,VIJAYA,2024-02-01,663.7,671.15,656.8,658.7,660.4,73197
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-31,653.35,675.1,652.35,660.4,650.1,157052
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-30,648.55,666.7,646.7,650.1,648.85,70331
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-29,651.25,657.15,644.55,648.85,648.0,44787
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-25,637.7,651.0,632.0,648.0,635.45,114950
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-24,635.0,655.35,624.8,635.45,636.35,293320
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-23,650.0,661.75,631.2,636.35,644.4,153562
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-20,649.8,660.05,635.6,644.4,649.8,63403
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-19,667.75,668.55,647.0,649.8,664.5,66739
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-18,673.3,675.65,646.85,664.5,673.3,72965
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-17,671.0,676.0,652.2,673.3,669.75,82290
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-16,673.0,679.4,666.45,669.75,672.55,76960
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-15,672.0,680.65,666.7,672.55,668.85,75704
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-12,685.55,685.6,665.8,668.85,682.15,74608
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-11,690.0,698.95,670.1,682.15,685.3,119266
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-10,665.65,694.0,660.85,685.3,677.55,154695
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-09,672.95,690.0,664.75,677.55,670.2,153969
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-08,671.8,678.45,659.0,670.2,675.7,65626
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-05,669.3,683.45,668.5,675.7,666.15,157911
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-04,669.5,670.25,651.7,666.15,662.3,132547
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-03,676.0,676.0,660.0,662.3,677.6,99155
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-02,669.0,691.55,658.65,677.6,675.5,209975
Vijaya Diagnostic Centre Limited,VIJAYA,2024-01-01,675.0,684.15,645.35,675.5,675.7,304374
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-29,650.85,678.0,645.55,675.7,654.7,348328
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-28,649.25,656.7,639.2,654.7,649.25,389246
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-27,634.0,651.1,623.7,649.25,630.8,294732
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-26,639.0,646.75,627.0,630.8,640.9,448041
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-22,650.0,659.7,635.05,640.9,647.25,840885
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-21,672.15,672.15,643.0,647.25,674.55,1702080
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-20,637.0,685.0,635.0,674.55,628.45,1899202
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-19,629.95,648.95,625.0,628.45,615.15,731401
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-18,622.0,643.95,612.25,615.15,612.3,239667
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-15,616.0,625.45,608.0,612.3,621.75,106877
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-14,620.45,633.8,617.0,621.75,617.25,138903
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-13,617.6,626.0,608.05,617.25,617.6,69433
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-12,623.0,627.65,609.6,617.6,623.2,102482
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-11,611.0,630.85,609.7,623.2,611.7,257510
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-08,600.0,622.65,599.95,611.7,602.0,323139
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-07,610.0,612.5,595.1,602.0,607.85,174965
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-06,630.0,631.45,603.0,607.85,622.4,179998
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-05,638.75,686.1,614.15,622.4,634.75,1507193
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-04,644.9,644.9,632.35,634.75,628.15,146853
Vijaya Diagnostic Centre Limited,VIJAYA,2023-12-01,638.75,644.0,622.0,628.15,638.8,113314
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-30,630.7,642.5,618.85,638.8,630.7,126425
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-29,642.0,645.95,627.0,630.7,641.4,195657
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-28,610.95,645.0,610.95,641.4,607.9,499347
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-24,589.85,614.6,584.4,607.9,584.0,320245
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-23,609.7,615.0,580.8,584.0,609.7,266730
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-22,622.9,624.35,601.35,609.7,621.5,87824
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-21,617.05,624.75,610.6,621.5,612.55,101829
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-20,598.2,624.4,594.15,612.55,597.25,186955
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-17,595.0,604.85,589.95,597.25,606.05,228127
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-16,610.0,634.8,583.95,606.05,608.45,203836
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-15,622.25,626.8,601.55,608.45,623.1,204231
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-13,636.95,652.5,615.6,623.1,638.75,326836
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-12,635.0,649.1,632.05,638.75,630.1,95357
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-10,594.0,653.9,594.0,630.1,590.9,3210355
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-09,584.15,597.65,576.35,590.9,583.45,162960
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-08,572.45,601.0,568.6,583.45,567.9,487506
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-07,589.0,591.35,563.05,567.9,585.45,208674
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-06,576.0,590.0,576.0,585.45,579.85,84584
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-03,578.0,587.0,572.25,579.85,576.65,113613
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-02,572.95,589.95,572.05,576.65,572.95,80904
Vijaya Diagnostic Centre Limited,VIJAYA,2023-11-01,580.0,597.85,566.5,572.95,586.75,174335
Vijaya Diagnostic Centre Limited,VIJAYA,2023-10-31,577.95,603.0,571.6,586.75,577.8,946120
Vijaya Diagnostic Centre Limited,VIJAYA,2023-10-30,563.8,587.05,559.05,577.8,564.15,401527
Vijaya Diagnostic Centre Limited,VIJAYA,2023-10-27,550.0,570.0,543.05,564.15,541.45,69015
Vijaya Diagnostic Centre Limited,VIJAYA,2023-10-26,550.0,555.0,536.7,541.45,550.65,347410
Vijaya Diagnostic Centre Limited,VIJAYA,2023-10-25,554.9,558.9,546.0,550.65,554.9,76266
Vijaya Diagnostic Centre Limited,VIJAYA,2023-10-23,568.0,568.0,541.25,554.9,568.0,161256
Vijaya Diagnostic Centre Limited,VIJAYA,2023-10-20,580.15,582.6,564.2,568.0,584.8,71187
Vijaya Diagnostic Centre Limited,VIJAYA,2023-10-19,576.05,588.95,564.0,584.8,587.3,229938
Vijaya Diagnostic Centre Limited,VIJAYA,2023-10-18,574.25,593.8,568.4,587.3,573.15,363602
