StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Vardhman Textiles Limited,VTL,2024-03-28,433.0,446.0,429.35,442.3,433.65,198534
Vardhman Textiles Limited,VTL,2024-03-27,441.75,441.75,428.6,433.65,441.4,109454
Vardhman Textiles Limited,VTL,2024-03-26,439.3,444.1,429.25,441.4,439.3,162869
Vardhman Textiles Limited,VTL,2024-03-22,433.05,440.1,427.6,439.3,433.05,183297
Vardhman Textiles Limited,VTL,2024-03-21,427.0,434.05,424.0,433.05,426.5,128348
Vardhman Textiles Limited,VTL,2024-03-20,426.75,433.6,418.0,426.5,427.75,173630
Vardhman Textiles Limited,VTL,2024-03-19,422.0,433.0,412.4,427.75,420.1,209796
Vardhman Textiles Limited,VTL,2024-03-18,420.0,424.95,411.35,420.1,420.15,210550
Vardhman Textiles Limited,VTL,2024-03-15,425.95,425.95,409.35,420.15,426.4,230260
Vardhman Textiles Limited,VTL,2024-03-14,400.0,435.0,400.0,426.4,403.75,199701
Vardhman Textiles Limited,VTL,2024-03-13,429.0,429.0,396.0,403.75,428.1,348208
Vardhman Textiles Limited,VTL,2024-03-12,434.35,435.35,425.0,428.1,434.3,271056
Vardhman Textiles Limited,VTL,2024-03-11,444.4,445.0,431.6,434.3,442.15,144333
Vardhman Textiles Limited,VTL,2024-03-07,431.0,444.45,429.8,442.15,434.55,283158
Vardhman Textiles Limited,VTL,2024-03-06,437.1,439.95,427.3,434.55,441.15,200259
Vardhman Textiles Limited,VTL,2024-03-05,430.8,446.55,427.05,441.15,430.8,163043
Vardhman Textiles Limited,VTL,2024-03-04,429.0,434.15,425.9,430.8,431.2,383737
Vardhman Textiles Limited,VTL,2024-03-02,429.8,432.55,428.75,431.2,429.8,12170
Vardhman Textiles Limited,VTL,2024-03-01,431.95,433.65,428.0,429.8,428.7,155856
Vardhman Textiles Limited,VTL,2024-02-29,430.0,432.6,425.15,428.7,428.85,643275
Vardhman Textiles Limited,VTL,2024-02-28,440.1,444.8,425.4,428.85,443.2,240735
Vardhman Textiles Limited,VTL,2024-02-27,444.95,445.0,434.6,443.2,440.15,248409
Vardhman Textiles Limited,VTL,2024-02-26,434.0,444.65,430.6,440.15,434.9,195015
Vardhman Textiles Limited,VTL,2024-02-23,435.4,437.2,427.5,434.9,433.25,163112
Vardhman Textiles Limited,VTL,2024-02-22,439.95,441.25,430.55,433.25,438.35,161331
Vardhman Textiles Limited,VTL,2024-02-21,446.0,451.9,434.05,438.35,442.85,263311
Vardhman Textiles Limited,VTL,2024-02-20,446.0,453.6,440.4,442.85,445.75,202802
Vardhman Textiles Limited,VTL,2024-02-19,450.05,455.95,441.75,445.75,444.1,371354
Vardhman Textiles Limited,VTL,2024-02-16,435.8,447.5,430.0,444.1,434.0,289676
Vardhman Textiles Limited,VTL,2024-02-15,445.1,446.5,429.35,434.0,442.85,290874
Vardhman Textiles Limited,VTL,2024-02-14,420.5,449.7,415.0,442.85,423.1,344535
Vardhman Textiles Limited,VTL,2024-02-13,425.0,431.05,410.3,423.1,423.1,304970
Vardhman Textiles Limited,VTL,2024-02-12,443.4,448.5,412.0,423.1,442.4,436622
Vardhman Textiles Limited,VTL,2024-02-09,449.95,451.0,428.55,442.4,445.1,414224
Vardhman Textiles Limited,VTL,2024-02-08,442.0,453.8,441.95,445.1,439.25,982302
Vardhman Textiles Limited,VTL,2024-02-07,430.25,440.0,429.1,439.25,427.45,707746
Vardhman Textiles Limited,VTL,2024-02-06,425.05,435.0,423.55,427.45,427.8,414576
Vardhman Textiles Limited,VTL,2024-02-05,428.4,440.0,423.0,427.8,422.2,920368
Vardhman Textiles Limited,VTL,2024-02-02,430.0,430.75,413.1,422.2,427.3,403102
Vardhman Textiles Limited,VTL,2024-02-01,434.7,435.95,421.0,427.3,427.8,902896
Vardhman Textiles Limited,VTL,2024-01-31,396.7,429.95,395.7,427.8,394.7,3277732
Vardhman Textiles Limited,VTL,2024-01-30,403.9,407.45,393.05,394.7,401.85,253368
Vardhman Textiles Limited,VTL,2024-01-29,398.4,404.5,395.85,401.85,397.05,243197
Vardhman Textiles Limited,VTL,2024-01-25,394.0,402.95,392.7,397.05,394.25,343711
Vardhman Textiles Limited,VTL,2024-01-24,396.8,415.0,385.0,394.25,392.1,1570080
Vardhman Textiles Limited,VTL,2024-01-23,401.5,401.9,387.4,392.1,401.35,202693
Vardhman Textiles Limited,VTL,2024-01-20,396.0,407.95,394.0,401.35,396.4,136443
Vardhman Textiles Limited,VTL,2024-01-19,402.95,404.15,392.9,396.4,401.4,202750
Vardhman Textiles Limited,VTL,2024-01-18,401.0,404.6,388.65,401.4,400.1,157798
Vardhman Textiles Limited,VTL,2024-01-17,400.0,405.85,397.3,400.1,405.35,205367
Vardhman Textiles Limited,VTL,2024-01-16,409.0,411.95,396.7,405.35,409.0,217366
Vardhman Textiles Limited,VTL,2024-01-15,405.0,410.0,400.0,409.0,404.15,325149
Vardhman Textiles Limited,VTL,2024-01-12,401.5,413.3,401.45,404.15,399.2,389973
Vardhman Textiles Limited,VTL,2024-01-11,388.0,404.4,388.0,399.2,387.85,570214
Vardhman Textiles Limited,VTL,2024-01-10,384.8,390.0,381.55,387.85,383.3,208971
Vardhman Textiles Limited,VTL,2024-01-09,380.05,390.15,380.05,383.3,378.15,326507
Vardhman Textiles Limited,VTL,2024-01-08,384.05,385.0,376.15,378.15,382.1,219462
Vardhman Textiles Limited,VTL,2024-01-05,383.25,385.5,380.1,382.1,382.8,141677
Vardhman Textiles Limited,VTL,2024-01-04,382.75,387.75,381.5,382.8,382.75,206398
Vardhman Textiles Limited,VTL,2024-01-03,391.5,391.5,380.1,382.75,388.0,227304
Vardhman Textiles Limited,VTL,2024-01-02,393.05,394.9,387.0,388.0,392.9,127762
Vardhman Textiles Limited,VTL,2024-01-01,386.1,394.95,386.05,392.9,386.15,178750
Vardhman Textiles Limited,VTL,2023-12-29,379.8,388.3,375.15,386.15,377.15,214837
Vardhman Textiles Limited,VTL,2023-12-28,387.6,389.8,374.9,377.15,387.6,415981
Vardhman Textiles Limited,VTL,2023-12-27,391.1,394.75,384.8,387.6,391.0,125943
Vardhman Textiles Limited,VTL,2023-12-26,394.65,395.75,385.6,391.0,392.65,97663
Vardhman Textiles Limited,VTL,2023-12-22,391.4,395.85,383.55,392.65,390.4,133300
Vardhman Textiles Limited,VTL,2023-12-21,385.0,397.8,382.4,390.4,390.6,170817
Vardhman Textiles Limited,VTL,2023-12-20,408.75,408.75,380.5,390.6,404.65,257789
Vardhman Textiles Limited,VTL,2023-12-19,400.7,407.45,395.5,404.65,400.7,175574
Vardhman Textiles Limited,VTL,2023-12-18,405.0,408.0,394.5,400.7,403.05,224724
Vardhman Textiles Limited,VTL,2023-12-15,396.1,403.8,393.5,403.05,396.05,285045
Vardhman Textiles Limited,VTL,2023-12-14,399.4,400.65,393.0,396.05,398.65,161733
Vardhman Textiles Limited,VTL,2023-12-13,393.1,400.4,388.0,398.65,393.05,214583
Vardhman Textiles Limited,VTL,2023-12-12,395.0,399.0,391.0,393.05,395.0,138704
Vardhman Textiles Limited,VTL,2023-12-11,396.0,398.85,390.0,395.0,394.6,167204
Vardhman Textiles Limited,VTL,2023-12-08,399.05,403.15,392.05,394.6,397.95,315027
Vardhman Textiles Limited,VTL,2023-12-07,411.0,411.0,397.65,397.95,408.35,235678
Vardhman Textiles Limited,VTL,2023-12-06,412.95,412.95,405.15,408.35,412.95,305352
Vardhman Textiles Limited,VTL,2023-12-05,409.9,415.8,406.45,412.95,405.85,182556
Vardhman Textiles Limited,VTL,2023-12-04,419.0,426.0,400.8,405.85,413.75,283019
Vardhman Textiles Limited,VTL,2023-12-01,405.8,418.0,405.8,413.75,405.45,270352
Vardhman Textiles Limited,VTL,2023-11-30,411.2,416.0,402.5,405.45,410.45,333899
Vardhman Textiles Limited,VTL,2023-11-29,418.8,418.85,408.0,410.45,416.3,666466
Vardhman Textiles Limited,VTL,2023-11-28,425.0,426.5,413.35,416.3,421.65,390003
Vardhman Textiles Limited,VTL,2023-11-24,422.1,428.45,419.85,421.65,424.25,432961
Vardhman Textiles Limited,VTL,2023-11-23,424.0,433.65,411.1,424.25,419.0,1558828
Vardhman Textiles Limited,VTL,2023-11-22,384.0,423.4,378.95,419.0,384.2,5691926
Vardhman Textiles Limited,VTL,2023-11-21,386.0,386.9,381.1,384.2,385.6,124498
Vardhman Textiles Limited,VTL,2023-11-20,385.0,390.7,381.05,385.6,379.45,414754
Vardhman Textiles Limited,VTL,2023-11-17,368.05,383.5,366.05,379.45,371.8,284075
Vardhman Textiles Limited,VTL,2023-11-16,370.4,375.45,361.3,371.8,368.55,172228
Vardhman Textiles Limited,VTL,2023-11-15,363.65,372.75,361.5,368.55,363.3,213398
Vardhman Textiles Limited,VTL,2023-11-13,367.0,368.4,360.45,363.3,367.1,124837
Vardhman Textiles Limited,VTL,2023-11-12,367.5,370.0,365.0,367.1,366.65,21663
Vardhman Textiles Limited,VTL,2023-11-10,371.0,373.35,364.0,366.65,372.1,166387
Vardhman Textiles Limited,VTL,2023-11-09,365.25,377.9,356.9,372.1,365.25,290929
