StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Wipro Limited,WIPRO,2024-03-28,476.7,483.05,475.3,480.1,472.3,7727575
Wipro Limited,WIPRO,2024-03-27,479.7,480.95,471.25,472.3,479.85,7160334
Wipro Limited,WIPRO,2024-03-26,486.0,490.95,479.05,479.85,487.1,9136673
Wipro Limited,WIPRO,2024-03-22,489.25,490.75,479.55,487.1,500.45,14323251
Wipro Limited,WIPRO,2024-03-21,499.65,505.3,498.45,500.45,493.5,5822290
Wipro Limited,WIPRO,2024-03-20,496.05,501.25,489.2,493.5,494.85,4192672
Wipro Limited,WIPRO,2024-03-19,509.0,509.0,493.15,494.85,510.2,4808693
Wipro Limited,WIPRO,2024-03-18,518.0,518.55,509.0,510.2,517.0,3196980
Wipro Limited,WIPRO,2024-03-15,514.75,518.25,506.4,517.0,517.95,6824543
Wipro Limited,WIPRO,2024-03-14,501.15,518.9,495.15,517.95,504.4,6412736
Wipro Limited,WIPRO,2024-03-13,513.8,518.7,496.8,504.4,510.85,6790240
Wipro Limited,WIPRO,2024-03-12,512.75,522.5,507.75,510.85,514.55,5826380
Wipro Limited,WIPRO,2024-03-11,517.4,518.95,512.3,514.55,515.5,5565756
Wipro Limited,WIPRO,2024-03-07,513.75,520.4,510.5,515.5,513.15,4853991
Wipro Limited,WIPRO,2024-03-06,513.7,514.85,500.0,513.15,513.3,5545961
Wipro Limited,WIPRO,2024-03-05,517.75,520.5,510.65,513.3,520.5,5260774
Wipro Limited,WIPRO,2024-03-04,522.95,526.4,518.55,520.5,522.85,2831185
Wipro Limited,WIPRO,2024-03-02,523.45,524.8,522.0,522.85,519.1,340134
Wipro Limited,WIPRO,2024-03-01,522.4,525.2,517.55,519.1,518.6,4710315
Wipro Limited,WIPRO,2024-02-29,517.3,524.25,513.2,518.6,517.7,7231382
Wipro Limited,WIPRO,2024-02-28,530.0,530.95,515.0,517.7,531.45,6394528
Wipro Limited,WIPRO,2024-02-27,534.0,537.4,527.55,531.45,532.9,5199630
Wipro Limited,WIPRO,2024-02-26,536.25,536.5,526.05,532.9,536.15,4410318
Wipro Limited,WIPRO,2024-02-23,535.0,541.25,533.3,536.15,531.05,9930497
Wipro Limited,WIPRO,2024-02-22,522.8,533.0,521.45,531.05,521.4,7298241
Wipro Limited,WIPRO,2024-02-21,535.9,536.3,519.5,521.4,531.95,6557787
Wipro Limited,WIPRO,2024-02-20,535.8,538.15,526.25,531.95,535.95,5187063
Wipro Limited,WIPRO,2024-02-19,545.9,545.9,531.35,535.95,543.0,9301379
Wipro Limited,WIPRO,2024-02-16,522.5,545.0,520.95,543.0,518.5,17471322
Wipro Limited,WIPRO,2024-02-15,516.95,522.85,513.05,518.5,514.5,7285388
Wipro Limited,WIPRO,2024-02-14,503.95,517.0,497.05,514.5,511.6,11297328
Wipro Limited,WIPRO,2024-02-13,503.1,513.0,491.7,511.6,501.45,11186788
Wipro Limited,WIPRO,2024-02-12,491.0,510.8,491.0,501.45,490.45,24436750
Wipro Limited,WIPRO,2024-02-09,490.9,494.75,482.75,490.45,488.85,3946894
Wipro Limited,WIPRO,2024-02-08,495.9,500.1,485.1,488.85,495.2,5651920
Wipro Limited,WIPRO,2024-02-07,500.95,501.7,492.55,495.2,499.65,4551767
Wipro Limited,WIPRO,2024-02-06,484.7,501.8,483.1,499.65,482.35,14512019
Wipro Limited,WIPRO,2024-02-05,483.0,489.5,479.15,482.35,483.15,5783302
Wipro Limited,WIPRO,2024-02-02,475.0,486.5,475.0,483.15,471.35,8148111
Wipro Limited,WIPRO,2024-02-01,477.55,477.7,470.6,471.35,478.15,3914060
Wipro Limited,WIPRO,2024-01-31,472.5,479.9,469.0,478.15,472.5,5292240
Wipro Limited,WIPRO,2024-01-30,474.4,482.9,471.5,472.5,473.0,5914007
Wipro Limited,WIPRO,2024-01-29,470.0,477.0,470.0,473.0,470.0,5025650
Wipro Limited,WIPRO,2024-01-25,478.05,479.35,468.55,470.0,478.05,6426490
Wipro Limited,WIPRO,2024-01-25,478.05,478.05,478.05,478.05,399.7,349572
Wipro Limited,WIPRO,2024-01-24,471.0,479.0,468.05,478.05,469.9,5854375
Wipro Limited,WIPRO,2024-01-23,478.05,486.0,467.05,469.9,477.95,9986168
Wipro Limited,WIPRO,2024-01-20,486.4,488.9,469.05,477.95,485.05,6045801
Wipro Limited,WIPRO,2024-01-19,488.0,493.35,483.6,485.05,482.65,7749310
Wipro Limited,WIPRO,2024-01-18,482.4,489.0,468.4,482.65,482.4,13072462
Wipro Limited,WIPRO,2024-01-17,475.15,491.5,472.0,482.4,485.0,14334466
Wipro Limited,WIPRO,2024-01-16,495.0,495.0,480.5,485.0,494.6,12956246
Wipro Limited,WIPRO,2024-01-15,511.95,529.0,489.15,494.6,465.45,63922132
Wipro Limited,WIPRO,2024-01-12,455.0,469.0,455.0,465.45,448.2,18043367
Wipro Limited,WIPRO,2024-01-11,454.95,456.9,446.7,448.2,453.6,4319409
Wipro Limited,WIPRO,2024-01-10,451.45,456.0,449.0,453.6,450.75,4437338
Wipro Limited,WIPRO,2024-01-09,458.0,462.5,449.95,450.75,450.35,7232524
Wipro Limited,WIPRO,2024-01-08,457.5,460.0,449.05,450.35,456.6,5041443
Wipro Limited,WIPRO,2024-01-05,455.05,463.0,453.5,456.6,452.4,8444565
Wipro Limited,WIPRO,2024-01-04,457.0,459.85,451.4,452.4,455.9,7585168
Wipro Limited,WIPRO,2024-01-03,463.9,463.9,455.0,455.9,469.2,9767182
Wipro Limited,WIPRO,2024-01-02,478.0,478.0,464.3,469.2,477.15,7141257
Wipro Limited,WIPRO,2024-01-01,473.0,483.5,468.3,477.15,471.3,10173639
Wipro Limited,WIPRO,2023-12-29,470.95,475.35,466.1,471.3,469.45,7980570
Wipro Limited,WIPRO,2023-12-28,472.55,477.4,467.65,469.45,470.95,8419978
Wipro Limited,WIPRO,2023-12-27,468.5,475.4,464.1,470.95,470.1,12631496
Wipro Limited,WIPRO,2023-12-26,454.0,475.8,448.35,470.1,462.65,27314322
Wipro Limited,WIPRO,2023-12-22,435.3,466.3,434.0,462.65,434.0,23040407
Wipro Limited,WIPRO,2023-12-21,428.9,436.5,427.2,434.0,431.95,5331504
Wipro Limited,WIPRO,2023-12-20,442.0,449.5,429.35,431.95,438.7,13224971
Wipro Limited,WIPRO,2023-12-19,445.6,447.35,435.0,438.7,445.25,8032347
Wipro Limited,WIPRO,2023-12-18,446.0,453.5,442.0,445.25,446.55,10091036
Wipro Limited,WIPRO,2023-12-15,436.05,449.5,433.5,446.55,434.4,20783617
Wipro Limited,WIPRO,2023-12-14,423.5,436.0,423.25,434.4,419.65,12340688
Wipro Limited,WIPRO,2023-12-13,423.55,424.3,415.0,419.65,422.2,4848408
Wipro Limited,WIPRO,2023-12-12,420.7,427.9,420.15,422.2,420.6,5951682
Wipro Limited,WIPRO,2023-12-11,420.0,422.2,417.25,420.6,422.6,5042121
Wipro Limited,WIPRO,2023-12-08,418.8,424.5,415.0,422.6,418.25,7739561
Wipro Limited,WIPRO,2023-12-07,420.0,421.5,416.65,418.25,418.75,5625276
Wipro Limited,WIPRO,2023-12-06,406.75,420.4,405.95,418.75,404.35,11041035
