StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Zee Entertainment Enterprises Limited,ZEEL,2024-03-28,143.0,144.65,138.0,138.55,141.35,29308668
Zee Entertainment Enterprises Limited,ZEEL,2024-03-27,140.7,145.6,139.4,141.35,139.25,72718298
Zee Entertainment Enterprises Limited,ZEEL,2024-03-26,142.7,143.2,138.45,139.25,142.45,17706163
Zee Entertainment Enterprises Limited,ZEEL,2024-03-22,140.9,144.8,140.5,142.45,140.9,15330156
Zee Entertainment Enterprises Limited,ZEEL,2024-03-21,143.2,143.65,140.4,140.9,140.65,10714726
Zee Entertainment Enterprises Limited,ZEEL,2024-03-20,141.9,143.6,138.35,140.65,140.7,15709638
Zee Entertainment Enterprises Limited,ZEEL,2024-03-19,143.3,144.8,139.9,140.7,142.95,10707225
Zee Entertainment Enterprises Limited,ZEEL,2024-03-18,142.0,145.55,142.0,142.95,141.7,10919077
Zee Entertainment Enterprises Limited,ZEEL,2024-03-15,146.95,149.1,141.0,141.7,146.9,19414252
Zee Entertainment Enterprises Limited,ZEEL,2024-03-14,145.4,152.55,145.15,146.9,145.25,16457230
Zee Entertainment Enterprises Limited,ZEEL,2024-03-13,157.5,159.45,141.7,145.25,156.35,23856313
Zee Entertainment Enterprises Limited,ZEEL,2024-03-12,156.9,161.2,153.6,156.35,156.05,19572653
Zee Entertainment Enterprises Limited,ZEEL,2024-03-11,161.1,164.4,155.0,156.05,160.6,16333389
Zee Entertainment Enterprises Limited,ZEEL,2024-03-07,154.3,163.0,152.45,160.6,154.05,26002110
Zee Entertainment Enterprises Limited,ZEEL,2024-03-06,155.5,156.3,150.0,154.05,155.05,16147540
Zee Entertainment Enterprises Limited,ZEEL,2024-03-05,156.2,156.9,153.3,155.05,154.9,12693564
Zee Entertainment Enterprises Limited,ZEEL,2024-03-04,159.0,159.95,153.8,154.9,158.4,13717476
Zee Entertainment Enterprises Limited,ZEEL,2024-03-02,159.25,159.8,156.8,158.4,155.3,4752176
Zee Entertainment Enterprises Limited,ZEEL,2024-03-01,160.0,161.95,154.5,155.3,160.95,33783224
Zee Entertainment Enterprises Limited,ZEEL,2024-02-29,162.7,164.8,154.5,160.95,162.0,75726897
Zee Entertainment Enterprises Limited,ZEEL,2024-02-28,173.9,174.75,159.35,162.0,173.05,31725213
Zee Entertainment Enterprises Limited,ZEEL,2024-02-27,171.15,176.75,170.75,173.05,171.35,17653282
Zee Entertainment Enterprises Limited,ZEEL,2024-02-26,174.55,176.95,170.4,171.35,173.45,11795993
Zee Entertainment Enterprises Limited,ZEEL,2024-02-23,170.6,177.2,169.1,173.45,168.15,27251454
Zee Entertainment Enterprises Limited,ZEEL,2024-02-22,165.8,169.9,163.4,168.15,164.6,29874674
Zee Entertainment Enterprises Limited,ZEEL,2024-02-21,173.4,176.25,163.75,164.6,192.65,106831188
Zee Entertainment Enterprises Limited,ZEEL,2024-02-20,186.0,205.25,184.0,192.65,178.5,85302095
Zee Entertainment Enterprises Limited,ZEEL,2024-02-19,184.0,185.4,177.7,178.5,183.75,17690102
Zee Entertainment Enterprises Limited,ZEEL,2024-02-16,188.0,190.9,182.5,183.75,187.9,16202833
Zee Entertainment Enterprises Limited,ZEEL,2024-02-15,203.4,203.4,186.45,187.9,200.2,22513855
Zee Entertainment Enterprises Limited,ZEEL,2024-02-14,183.0,202.85,180.3,200.2,188.65,36486252
Zee Entertainment Enterprises Limited,ZEEL,2024-02-13,188.2,190.8,180.0,188.65,187.9,17661292
Zee Entertainment Enterprises Limited,ZEEL,2024-02-12,206.0,209.7,185.55,187.9,203.25,30673450
Zee Entertainment Enterprises Limited,ZEEL,2024-02-09,195.0,206.4,185.25,203.25,193.3,69898250
Zee Entertainment Enterprises Limited,ZEEL,2024-02-08,185.0,195.0,184.65,193.3,182.35,45808076
Zee Entertainment Enterprises Limited,ZEEL,2024-02-07,178.15,184.15,178.15,182.35,175.8,28616071
Zee Entertainment Enterprises Limited,ZEEL,2024-02-06,178.0,181.2,174.55,175.8,178.0,18508957
Zee Entertainment Enterprises Limited,ZEEL,2024-02-05,178.2,181.6,175.3,178.0,172.9,26473589
Zee Entertainment Enterprises Limited,ZEEL,2024-02-02,173.0,179.0,169.7,172.9,170.55,31839130
Zee Entertainment Enterprises Limited,ZEEL,2024-02-01,177.15,177.2,169.3,170.55,173.1,12092548
Zee Entertainment Enterprises Limited,ZEEL,2024-01-31,172.0,174.4,167.5,173.1,170.9,16230285
Zee Entertainment Enterprises Limited,ZEEL,2024-01-30,162.9,176.3,161.3,170.9,161.75,60085292
Zee Entertainment Enterprises Limited,ZEEL,2024-01-29,164.0,167.9,161.05,161.75,163.2,29686724
Zee Entertainment Enterprises Limited,ZEEL,2024-01-25,167.0,168.0,158.1,163.2,166.35,38211764
Zee Entertainment Enterprises Limited,ZEEL,2024-01-24,158.0,170.4,158.0,166.35,155.95,146400155
Zee Entertainment Enterprises Limited,ZEEL,2024-01-23,208.3,208.3,152.5,155.95,231.4,228434365
Zee Entertainment Enterprises Limited,ZEEL,2024-01-20,237.0,242.6,230.0,231.4,235.0,18767517
Zee Entertainment Enterprises Limited,ZEEL,2024-01-19,251.5,253.0,229.05,235.0,248.2,73034564
Zee Entertainment Enterprises Limited,ZEEL,2024-01-18,245.85,264.0,233.6,248.2,245.85,55813937
Zee Entertainment Enterprises Limited,ZEEL,2024-01-17,248.6,257.45,245.0,245.85,253.3,19673798
Zee Entertainment Enterprises Limited,ZEEL,2024-01-16,243.9,254.95,243.25,253.3,242.8,28921018
Zee Entertainment Enterprises Limited,ZEEL,2024-01-15,251.95,252.75,242.05,242.8,249.95,17638995
Zee Entertainment Enterprises Limited,ZEEL,2024-01-12,253.6,257.2,248.45,249.95,251.15,15288111
Zee Entertainment Enterprises Limited,ZEEL,2024-01-11,261.0,262.35,250.0,251.15,259.8,19043312
Zee Entertainment Enterprises Limited,ZEEL,2024-01-10,259.85,267.8,256.4,259.8,256.3,59317188
Zee Entertainment Enterprises Limited,ZEEL,2024-01-09,256.15,269.0,240.3,256.3,278.15,157297159
Zee Entertainment Enterprises Limited,ZEEL,2024-01-08,286.1,286.6,276.35,278.15,283.05,11033896
Zee Entertainment Enterprises Limited,ZEEL,2024-01-05,292.0,293.2,280.6,283.05,290.6,20893253
Zee Entertainment Enterprises Limited,ZEEL,2024-01-04,286.4,292.65,284.5,290.6,285.65,12952680
Zee Entertainment Enterprises Limited,ZEEL,2024-01-03,288.0,291.0,282.35,285.65,287.7,12136773
Zee Entertainment Enterprises Limited,ZEEL,2024-01-02,286.0,291.25,278.55,287.7,285.05,28467964
Zee Entertainment Enterprises Limited,ZEEL,2024-01-01,275.1,287.65,274.15,285.05,274.7,17805173
