StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Zensar Technologies Limited,ZENSARTECH,2024-03-28,613.0,622.0,597.8,606.75,606.8,1446556
Zensar Technologies Limited,ZENSARTECH,2024-03-27,606.2,609.45,594.35,606.8,600.35,1081187
Zensar Technologies Limited,ZENSARTECH,2024-03-26,590.0,607.85,587.15,600.35,590.3,1653802
Zensar Technologies Limited,ZENSARTECH,2024-03-22,584.15,591.4,578.6,590.3,591.2,942129
Zensar Technologies Limited,ZENSARTECH,2024-03-21,587.8,595.1,580.05,591.2,576.2,1879577
Zensar Technologies Limited,ZENSARTECH,2024-03-20,578.3,584.25,569.15,576.2,578.3,938581
Zensar Technologies Limited,ZENSARTECH,2024-03-19,584.9,584.9,563.0,578.3,583.55,1378417
Zensar Technologies Limited,ZENSARTECH,2024-03-18,551.5,604.25,548.7,583.55,554.15,6076286
Zensar Technologies Limited,ZENSARTECH,2024-03-15,551.05,562.7,545.15,554.15,551.95,702722
Zensar Technologies Limited,ZENSARTECH,2024-03-14,523.95,557.0,516.0,551.95,525.2,738682
Zensar Technologies Limited,ZENSARTECH,2024-03-13,563.0,563.25,515.0,525.2,564.15,1345464
Zensar Technologies Limited,ZENSARTECH,2024-03-12,574.25,584.1,555.55,564.15,574.25,1217880
Zensar Technologies Limited,ZENSARTECH,2024-03-11,594.0,594.95,570.95,574.25,591.0,995925
Zensar Technologies Limited,ZENSARTECH,2024-03-07,567.0,596.0,554.3,591.0,563.5,2892318
Zensar Technologies Limited,ZENSARTECH,2024-03-06,539.05,567.0,528.7,563.5,543.0,1554356
Zensar Technologies Limited,ZENSARTECH,2024-03-05,555.0,557.2,536.25,543.0,557.2,1175793
Zensar Technologies Limited,ZENSARTECH,2024-03-04,554.7,565.0,545.5,557.2,549.95,958732
Zensar Technologies Limited,ZENSARTECH,2024-03-02,547.35,552.8,545.95,549.95,544.35,44793
Zensar Technologies Limited,ZENSARTECH,2024-03-01,553.0,557.7,542.0,544.35,549.6,379961
Zensar Technologies Limited,ZENSARTECH,2024-02-29,544.2,555.0,540.1,549.6,544.25,784335
Zensar Technologies Limited,ZENSARTECH,2024-02-28,547.25,553.95,538.15,544.25,545.1,1042518
Zensar Technologies Limited,ZENSARTECH,2024-02-27,535.0,547.35,528.9,545.1,532.15,864765
Zensar Technologies Limited,ZENSARTECH,2024-02-26,538.0,540.2,530.3,532.15,537.75,414739
Zensar Technologies Limited,ZENSARTECH,2024-02-23,530.5,539.8,525.65,537.75,529.35,1229770
Zensar Technologies Limited,ZENSARTECH,2024-02-22,531.85,537.0,527.55,529.35,528.2,578322
Zensar Technologies Limited,ZENSARTECH,2024-02-21,531.85,534.95,522.8,528.2,527.85,539306
Zensar Technologies Limited,ZENSARTECH,2024-02-20,534.5,536.0,525.0,527.85,532.85,538820
Zensar Technologies Limited,ZENSARTECH,2024-02-19,537.5,541.15,527.2,532.85,535.9,647968
Zensar Technologies Limited,ZENSARTECH,2024-02-16,537.3,539.55,531.05,535.9,532.0,533431
Zensar Technologies Limited,ZENSARTECH,2024-02-15,525.2,541.3,525.05,532.0,520.0,603140
Zensar Technologies Limited,ZENSARTECH,2024-02-14,525.0,534.45,519.05,520.0,525.0,865263
Zensar Technologies Limited,ZENSARTECH,2024-02-13,537.85,541.1,521.2,525.0,539.5,1498364
Zensar Technologies Limited,ZENSARTECH,2024-02-12,567.95,574.5,535.0,539.5,564.7,1095517
Zensar Technologies Limited,ZENSARTECH,2024-02-09,582.2,584.8,555.0,564.7,582.2,1045958
Zensar Technologies Limited,ZENSARTECH,2024-02-08,593.05,594.9,579.5,582.2,591.75,681785
Zensar Technologies Limited,ZENSARTECH,2024-02-07,600.1,604.0,582.5,591.75,592.15,1377771
Zensar Technologies Limited,ZENSARTECH,2024-02-06,564.8,604.0,564.4,592.15,564.4,4594128
Zensar Technologies Limited,ZENSARTECH,2024-02-05,562.45,570.0,560.0,564.4,560.95,584942
Zensar Technologies Limited,ZENSARTECH,2024-02-02,571.0,574.95,559.0,560.95,566.6,782580
Zensar Technologies Limited,ZENSARTECH,2024-02-01,570.05,574.0,563.3,566.6,574.25,775514
Zensar Technologies Limited,ZENSARTECH,2024-01-31,569.8,578.0,563.05,574.25,566.1,819183
Zensar Technologies Limited,ZENSARTECH,2024-01-30,570.6,576.95,561.3,566.1,570.6,760595
Zensar Technologies Limited,ZENSARTECH,2024-01-29,582.0,584.4,565.0,570.6,575.95,841293
Zensar Technologies Limited,ZENSARTECH,2024-01-25,574.85,579.65,567.0,575.95,569.95,870449
Zensar Technologies Limited,ZENSARTECH,2024-01-24,549.4,572.0,548.3,569.95,544.2,1400404
Zensar Technologies Limited,ZENSARTECH,2024-01-23,562.0,573.0,541.0,544.2,561.65,2033183
Zensar Technologies Limited,ZENSARTECH,2024-01-20,560.8,565.75,558.9,561.65,557.85,357992
Zensar Technologies Limited,ZENSARTECH,2024-01-19,562.4,570.7,554.0,557.85,557.05,1027908
Zensar Technologies Limited,ZENSARTECH,2024-01-18,575.7,575.7,548.0,557.05,575.7,1560624
Zensar Technologies Limited,ZENSARTECH,2024-01-17,566.95,579.9,560.9,575.7,572.95,986550
Zensar Technologies Limited,ZENSARTECH,2024-01-16,585.25,585.55,565.0,572.95,583.0,1042281
Zensar Technologies Limited,ZENSARTECH,2024-01-15,579.0,596.65,578.15,583.0,569.75,2141163
Zensar Technologies Limited,ZENSARTECH,2024-01-12,569.0,587.05,566.25,569.75,563.15,2645387
Zensar Technologies Limited,ZENSARTECH,2024-01-11,568.05,574.0,561.0,563.15,565.0,989599
Zensar Technologies Limited,ZENSARTECH,2024-01-10,563.95,582.1,560.35,565.0,562.0,1495212
Zensar Technologies Limited,ZENSARTECH,2024-01-09,578.4,585.65,560.0,562.0,573.2,1898648
Zensar Technologies Limited,ZENSARTECH,2024-01-08,586.15,590.0,571.5,573.2,583.85,729154
Zensar Technologies Limited,ZENSARTECH,2024-01-05,586.55,595.0,577.1,583.85,584.7,1184596
Zensar Technologies Limited,ZENSARTECH,2024-01-04,582.0,589.0,571.4,584.7,577.75,2356075
Zensar Technologies Limited,ZENSARTECH,2024-01-03,592.95,596.4,571.05,577.75,591.7,1868440
Zensar Technologies Limited,ZENSARTECH,2024-01-02,610.6,614.25,587.0,591.7,607.2,1627720
Zensar Technologies Limited,ZENSARTECH,2024-01-01,613.4,626.65,605.15,607.2,610.65,1269873
Zensar Technologies Limited,ZENSARTECH,2023-12-29,623.0,624.3,606.85,610.65,620.05,1288502
Zensar Technologies Limited,ZENSARTECH,2023-12-28,631.6,631.95,613.4,620.05,627.25,1171054
Zensar Technologies Limited,ZENSARTECH,2023-12-27,621.0,644.0,619.3,627.25,619.15,3151200
Zensar Technologies Limited,ZENSARTECH,2023-12-26,622.7,626.25,612.7,619.15,620.05,1352026
Zensar Technologies Limited,ZENSARTECH,2023-12-22,633.0,639.95,604.1,620.05,624.9,3298618
Zensar Technologies Limited,ZENSARTECH,2023-12-21,564.0,630.0,556.0,624.9,573.7,6486663
Zensar Technologies Limited,ZENSARTECH,2023-12-20,606.8,630.0,522.15,573.7,602.25,3935978
Zensar Technologies Limited,ZENSARTECH,2023-12-19,615.65,619.85,597.15,602.25,612.65,2248971
Zensar Technologies Limited,ZENSARTECH,2023-12-18,596.95,633.95,596.95,612.65,593.6,9842245
Zensar Technologies Limited,ZENSARTECH,2023-12-15,538.1,606.1,537.95,593.6,534.95,18568868
Zensar Technologies Limited,ZENSARTECH,2023-12-14,524.7,549.0,524.7,534.95,520.65,2425366
Zensar Technologies Limited,ZENSARTECH,2023-12-13,520.5,526.0,516.0,520.65,518.65,458784
Zensar Technologies Limited,ZENSARTECH,2023-12-12,520.05,526.95,514.0,518.65,520.05,540980
Zensar Technologies Limited,ZENSARTECH,2023-12-11,534.0,538.75,518.05,520.05,533.1,766451
Zensar Technologies Limited,ZENSARTECH,2023-12-08,526.55,534.9,517.15,533.1,526.65,976549
Zensar Technologies Limited,ZENSARTECH,2023-12-07,530.95,536.1,525.4,526.65,531.05,382465
Zensar Technologies Limited,ZENSARTECH,2023-12-06,532.45,537.95,527.0,531.05,531.7,470004
Zensar Technologies Limited,ZENSARTECH,2023-12-05,536.4,542.95,528.0,531.7,535.9,554698
Zensar Technologies Limited,ZENSARTECH,2023-12-04,541.0,543.0,531.25,535.9,535.05,530499
Zensar Technologies Limited,ZENSARTECH,2023-12-01,540.0,541.35,529.0,535.05,538.45,722873
Zensar Technologies Limited,ZENSARTECH,2023-11-30,529.1,539.8,527.05,538.45,527.6,736852
Zensar Technologies Limited,ZENSARTECH,2023-11-29,535.45,542.8,524.05,527.6,532.7,698488
Zensar Technologies Limited,ZENSARTECH,2023-11-28,542.5,545.7,532.0,532.7,539.6,425214
Zensar Technologies Limited,ZENSARTECH,2023-11-24,540.0,543.65,537.7,539.6,540.05,466938
Zensar Technologies Limited,ZENSARTECH,2023-11-23,538.8,545.85,532.95,540.05,537.25,678314
