StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Zomato Limited,ZOMATO,2024-03-28,179.8,184.7,176.0,182.1,179.45,42567446
Zomato Limited,ZOMATO,2024-03-27,183.6,189.0,177.2,179.45,182.6,50528769
Zomato Limited,ZOMATO,2024-03-26,173.4,183.65,172.2,182.6,174.2,64590292
Zomato Limited,ZOMATO,2024-03-22,170.45,174.9,169.05,174.2,169.65,41776494
Zomato Limited,ZOMATO,2024-03-21,168.0,171.0,166.4,169.65,165.6,42227967
Zomato Limited,ZOMATO,2024-03-20,159.45,166.7,159.0,165.6,157.95,45544054
Zomato Limited,ZOMATO,2024-03-19,158.6,161.45,156.5,157.95,158.25,24847687
Zomato Limited,ZOMATO,2024-03-18,162.5,164.45,157.25,158.25,160.05,35382756
Zomato Limited,ZOMATO,2024-03-15,152.85,161.7,152.45,160.05,152.75,95085427
Zomato Limited,ZOMATO,2024-03-14,147.1,157.3,144.3,152.75,148.65,45708365
Zomato Limited,ZOMATO,2024-03-13,157.45,158.25,147.5,148.65,156.9,53202095
Zomato Limited,ZOMATO,2024-03-12,156.6,157.9,152.15,156.9,154.85,31159766
Zomato Limited,ZOMATO,2024-03-11,161.0,163.2,149.0,154.85,160.0,51519591
Zomato Limited,ZOMATO,2024-03-07,161.75,163.45,158.65,160.0,161.55,43685238
Zomato Limited,ZOMATO,2024-03-06,164.4,164.4,157.5,161.55,165.85,95621548
Zomato Limited,ZOMATO,2024-03-05,170.75,171.5,164.05,165.85,169.8,29313864
Zomato Limited,ZOMATO,2024-03-04,168.0,175.6,168.0,169.8,167.65,55751426
Zomato Limited,ZOMATO,2024-03-02,167.2,168.3,165.15,167.65,166.5,3028812
Zomato Limited,ZOMATO,2024-03-01,168.0,173.5,165.6,166.5,165.45,42587331
Zomato Limited,ZOMATO,2024-02-29,156.45,168.85,155.45,165.45,159.35,175785440
Zomato Limited,ZOMATO,2024-02-28,161.9,161.95,155.35,159.35,161.3,41883110
Zomato Limited,ZOMATO,2024-02-27,163.75,163.85,158.0,161.3,164.2,29921497
Zomato Limited,ZOMATO,2024-02-26,165.2,168.5,163.15,164.2,164.05,33433566
Zomato Limited,ZOMATO,2024-02-23,162.4,164.8,160.8,164.05,162.1,37200710
Zomato Limited,ZOMATO,2024-02-22,159.55,163.0,156.6,162.1,158.65,67614848
