StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-28,993.0,1021.0,985.0,1007.35,999.7,1873843
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-27,1027.75,1027.75,998.25,999.7,1017.05,1452036
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-26,1000.0,1027.8,995.0,1017.05,999.75,1781245
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-22,993.0,1006.9,982.35,999.75,993.15,1181935
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-21,979.9,995.0,972.0,993.15,971.4,797283
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-20,969.85,984.0,946.25,971.4,969.85,1849050
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-19,993.0,997.3,967.1,969.85,991.25,924503
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-18,983.9,1009.9,973.1,991.25,983.9,1710784
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-15,980.95,994.65,971.25,983.9,995.3,1066140
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-14,970.95,999.9,962.15,995.3,968.65,1275922
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-13,984.2,996.9,960.85,968.65,987.7,1221703
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-12,999.7,1007.45,980.0,987.7,994.45,1139238
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-11,985.95,1015.5,980.5,994.45,976.75,1932290
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-07,962.0,981.95,958.05,976.75,961.85,921521
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-06,952.9,964.9,934.35,961.85,953.75,840117
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-05,953.0,956.6,939.3,953.75,946.25,928697
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-04,921.7,952.05,921.7,946.25,921.7,1542314
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-02,925.55,931.05,919.2,921.7,925.35,97012
Zydus Lifesciences Limited,ZYDUSLIFE,2024-03-01,948.35,948.35,923.6,925.35,941.9,1099628
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-29,934.45,948.65,922.55,941.9,932.6,1151822
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-28,946.45,951.95,925.05,932.6,942.85,643023
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-27,947.0,953.65,938.5,942.85,942.55,860496
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-26,928.1,948.15,922.55,942.55,923.25,1420030
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-23,900.05,937.0,898.1,923.25,904.3,1568847
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-22,896.0,907.5,889.0,904.3,893.8,940029
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-21,896.95,902.65,889.0,893.8,895.75,795916
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-20,908.0,912.8,892.5,895.75,907.55,1009373
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-19,897.15,910.0,892.4,907.55,891.9,1032096
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-16,885.65,893.75,880.35,891.9,878.95,826132
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-15,872.0,885.0,863.45,878.95,867.8,622903
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-14,846.0,872.0,844.65,867.8,857.8,884541
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-13,856.0,866.85,844.85,857.8,856.65,1510782
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-12,809.75,863.35,803.05,856.65,805.05,6951210
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-09,806.0,820.95,768.8,805.05,802.05,2721642
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-08,795.45,808.0,792.3,802.05,791.6,746665
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-07,804.85,804.85,786.55,791.6,797.4,1103135
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-06,780.0,809.2,775.0,797.4,760.9,3627017
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-05,761.5,777.95,754.1,760.9,761.15,1160781
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-02,760.0,766.9,752.0,761.15,759.55,511333
Zydus Lifesciences Limited,ZYDUSLIFE,2024-02-01,763.0,766.95,749.2,759.55,760.8,471177
Zydus Lifesciences Limited,ZYDUSLIFE,2024-01-31,755.9,766.0,745.0,760.8,755.9,993266
Zydus Lifesciences Limited,ZYDUSLIFE,2024-01-30,750.3,764.5,750.0,755.9,748.5,1126826
Zydus Lifesciences Limited,ZYDUSLIFE,2024-01-29,739.9,750.45,733.55,748.5,736.5,517784
Zydus Lifesciences Limited,ZYDUSLIFE,2024-01-25,753.4,753.4,732.9,736.5,752.4,768082
Zydus Lifesciences Limited,ZYDUSLIFE,2024-01-24,733.8,753.9,726.45,752.4,729.15,2330199
